"district.region.code","district.region.name","ward.code","ward.name","village.1","market.name.1","n"
64,"mtwara",640101,"mumbaka","mumbaka","mumbaka",33
64,"mtwara",640102,"mnavira","mnavira","mnavira",4
64,"mtwara",640102,"mnavira","muhesi","muhesi",4
64,"mtwara",640103,"sululu","lukula","nanyumbu",1
64,"mtwara",640103,"sululu","lumesule","maneme",2
64,"mtwara",640103,"sululu","lumesule","nanyumbu",1
64,"mtwara",640103,"sululu","maneme","nanyumbu",57
64,"mtwara",640104,"chanikanguo","chanikanguo","chanikanguo",26
64,"mtwara",640104,"chanikanguo","mailisita","mailisita",4
64,"mtwara",640105,"mkundi","majembe","mkundi",20
64,"mtwara",640106,"mwengemtapika","upanga","upanga",2
64,"mtwara",640107,"nangoo","mwongozo","nangoo",8
64,"mtwara",640108,"mchauru","mchauru","mchauru",20
64,"mtwara",640108,"mchauru","nakarara","makong.onda",2
64,"mtwara",640109,"makong.onda","nakarara","makong.onda",18
64,"mtwara",640110,"chikolopola","chikolopola","chikolopola",4
64,"mtwara",640111,"mbuyuni","mbuyuni","mbuyuni",21
64,"mtwara",640112,"chiungutwa","chiungutwa","chiungutwa",22
64,"mtwara",640113,"mtandi","mtandi.b","mtandi",22
64,"mtwara",640114,"silabu","upanga","nangaya",2
64,"mtwara",640114,"silabu","upanga","upanga",15
64,"mtwara",640116,"lukuledi","lukuledi","lukuledi",12
64,"mtwara",640117,"lukuledi","lukuledi","lukuledi",6
64,"mtwara",640118,"chiwale","kivukoni","chiwale",21
64,"mtwara",640119,"mwena","chibwini","mwena",8
64,"mtwara",640120,"namalenga","nagaga","namalenga",20
64,"mtwara",640120,"namalenga","ndomoni","ndomoni",1
64,"mtwara",640121,"nanjota","nanjota","nanjota",28
64,"mtwara",640122,"ndomoni","mbaju","ndomoni",3
64,"mtwara",640122,"ndomoni","ndomoni","ndomoni",7
64,"mtwara",640123,"kitangari","kitangari","kitangari",4
64,"mtwara",640123,"kitangari","lukuledi","lukuledi",1
64,"mtwara",640124,"luchingu","luchingu","luchingu",4
64,"mtwara",640125,"nangwala","nangwala","nangwala",3
64,"mtwara",640126,"mtonya","majengo","majengo",1
64,"mtwara",640126,"mtonya","majengo","mtonya",3
64,"mtwara",640126,"mtonya","mbaju","ndomoni",1
64,"mtwara",640126,"mtonya","nangwala","nangwala",1
64,"mtwara",640127,"tulindane","tupendane","tulindane",4
64,"mtwara",640127,"tulindane","upanga","upanga",1
65,"morogoro",650101,"minepa","itete","itete",1
65,"morogoro",650101,"minepa","mbuyuni","mbuyuni",54
65,"morogoro",650101,"minepa","minepa","minepa",1
65,"morogoro",650102,"milola","mavimba","mavimba",47
65,"morogoro",650102,"milola","milola","mavimba",2
65,"morogoro",650102,"milola","tanga","tanga",1
65,"morogoro",650104,"iragua","namhanga","mbenja",35
65,"morogoro",650104,"iragua","namhanga","namhanga",1
65,"morogoro",650106,"lukande","lukande","lukande",32
65,"morogoro",650107,"mbuga","iputi","iputi",26
65,"morogoro",650107,"mbuga","mbuga","iputi",1
65,"morogoro",650107,"mbuga","nkongo","iputi",1
65,"morogoro",650113,"mbuyuni","mbuyuni","mbuyuni",1
65,"morogoro",650118,"itete","itete","itete",22
65,"morogoro",650118,"itete","njiwa","itete",1
65,"morogoro",650118,"itete","njiwa.juu","itete",84
65,"morogoro",650119,"salamiti","kiswago","mfanyabiashara",1
65,"morogoro",650119,"salamiti","kiswago","salamiti",93
65,"morogoro",650119,"salamiti","salamiti","salamiti",1
65,"morogoro",650121,"tanga","tanga","tanga",37
65,"morogoro",650123,"namawala","idandu","kikurukutu",20
65,"morogoro",650123,"namawala","namwawala","namwawala",1
65,"morogoro",650124,"mofu","miyomboni","mnunuzi",1
65,"morogoro",650124,"mofu","miyomboni","mofu",22
65,"morogoro",650127,"sagamaganga","sagamaganga","sagamaganga",43
65,"morogoro",650129,"parakuyo","sagamaganga","sagamaganga",1
65,"morogoro",650130,"rudewa.gongoni","gongoni","gongoni",43
65,"morogoro",650137,"mzia","mziha","mziha",57
66,"dodoma",660101,"nondwa","nondwa","nondwa",27
66,"dodoma",660102,"mundemu","mundemu","mundemu",22
66,"dodoma",660105,"mpalanga","bahi.sokoni","bahi",1
66,"dodoma",660107,"msisi","msisi","msisi",29
66,"dodoma",660108,"ibihwa","mnkola","mnkola",29
66,"dodoma",660108,"ibihwa","mnkola","mnunuzi",1
66,"dodoma",660109,"mwitikira","msisi","msisi",1
66,"dodoma",660110,"bahi","bahi.sokoni","bahi",43
66,"dodoma",660114,"babayu","kongogo","kongogo",42
66,"dodoma",660115,"lamaiti","lamaiti","lamaiti",43
66,"dodoma",660115,"lamaiti","mindola","lamaiti",1
66,"dodoma",660116,"kigwe","kigwe","kigwe",56
66,"dodoma",660117,"ibugule","nkhome","nkhome",48
66,"dodoma",660118,"makanda","makanda","makanda",44
66,"dodoma",660119,"zanica","mayamaya","mayamaya",40
66,"dodoma",660120,"dodoma.mjini","lamaiti","lamaiti",1
66,"dodoma",660120,"dodoma.mjini","mpunguzi","mpunguzi",35
68,"mwanza",680101,"ngudu","kakola","kakola",2
68,"mwanza",680101,"ngudu","kakola","ngudu",65
68,"mwanza",680101,"ngudu","sumaha","ngudu",1
68,"mwanza",680102,"kabila","kabila","kabila",1
68,"mwanza",680102,"kabila","ndagalu","kabila",77
68,"mwanza",680102,"kabila","ndagalu","ndagalu",1
68,"mwanza",680103,"misasi","manawa","manawa",2
68,"mwanza",680103,"misasi","manawa","misasi",68
68,"mwanza",680103,"misasi","misasi","misasi",4
68,"mwanza",680104,"ng.ombe","manawa","misasi",1
68,"mwanza",680105,"hungumalwa","kakola","ngudu",1
70,"njombe",700101,"wangingombe","wanging.ombe","wanging.ombe",62
71,"rukwa",710101,"namanyele","isunta","isunta",54
71,"rukwa",710101,"namanyele","mtenga","isunta",1
71,"rukwa",710102,"kate","ntalamila","ntalamila",40
71,"rukwa",710102,"kate","sintali","ntalamila",1
71,"rukwa",710103,"muze","ilanga","muze",1
71,"rukwa",710103,"muze","kilyamatundu","kilyamatundu",1
71,"rukwa",710103,"muze","muze","muze",42
71,"rukwa",710105,"kipeta","kilyamatundu","kilyamatundu",63
71,"rukwa",710105,"kipeta","mpona","kilyamatundu",1
72,"songwe",720101,"mkomba","mbao","221",1
72,"songwe",720101,"mkomba","mbao","mbao",10
72,"songwe",720101,"mkomba","ntungwa","mbao",36
72,"songwe",720101,"mkomba","ntungwa","ntungwa",1
72,"songwe",720102,"idiwili","idiwili","idiwili",39
72,"songwe",720102,"idiwili","ntungwa","mbao",1
73,"iringa",730101,"itunundu","itunundu","itunundu",2
73,"iringa",730101,"itunundu","kimande","itunundu",2
73,"iringa",730101,"itunundu","kimande","kimande",50
73,"iringa",730102,"ihowanza","ihowanza","ihowanza",44
73,"iringa",730102,"ihowanza","mufindi","ihowanza",1
