"","place","ward","dist_suffix","dist_nosuffix","pwd","wd","Ward_N","Dist20_N","Region20_N","Dist20_nosuffix","wdr20","wd20","pwd.dist","wd.dist","dist","dist_sum","accept","is.ward","is.district","Dist20_N.b","Region20_N.b","Dist20_nosuffix.b","Ward_N.b","accept.b","accept.c"
"27","buhingo","buhingo","misungwi.dc","misungwi","buhingo-buhingo-misungwi","buhingo-misungwi","buhingo","misungwi.dc","mwanza","misungwi","buhingo-misungwi-mwanza","buhingo-misungwi",0.239130434782609,0,NA,0.239130434782609,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"28","buhunda","isesa","misungwi.dc","misungwi","buhunda-isesa-misungwi","isesa-misungwi","isesa","misungwi.dc","mwanza","misungwi","isesa-misungwi-mwanza","isesa-misungwi",0.305916305916306,0,NA,0.305916305916306,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"29","bumhala","buhala","bariadi.dc","bariadi","bumhala-buhala-bariadi","buhala-bariadi","bunamhala","bariadi.tc","simiyu","bariadi","bunamhala-bariadi-simiyu","bunamhala-bariadi",0.310234699940582,0.177871148459384,NA,0.488105848399966,"manual",NA,NA,NA,NA,NA,NA,NA,"1"
"30","bunamala","bunamala","bariadi.tc","bariadi","bunamala-bunamala-bariadi","bunamala-bariadi","bunamhala","bariadi.tc","simiyu","bariadi","bunamhala-bariadi-simiyu","bunamhala-bariadi",0.232222222222222,0.0196078431372548,NA,0.251830065359477,"manual",NA,NA,NA,NA,NA,NA,NA,"1"
"31","bunamhala","bunamhala","itilima.dc","itilima","bunamhala-bunamhala-itilima","bunamhala-itilima","bunamhala","bariadi.tc","simiyu","bariadi","bunamhala-bariadi-simiyu","bunamhala-bariadi",0.220841455490578,0.182503770739065,NA,0.403345226229643,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","bunamhala","mwamapalala","itilima.dc","itilima","bunamhala-mwamapalala-itilima","mwamapalala-itilima","mwamapalala","itilima.dc","simiyu","itilima","mwamapalala-itilima-simiyu","mwamapalala-itilima",0.275104206138689,0,NA,0.275104206138689,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"33","bunamhala","nyamalapa","itilima.dc","itilima","bunamhala-nyamalapa-itilima","nyamalapa-itilima","nyamalapa","itilima.dc","simiyu","itilima","nyamalapa-itilima-simiyu","nyamalapa-itilima",0.299788823911631,0,NA,0.299788823911631,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"34","bunamhala.mbugani","nyamalapa","itilima.dc","itilima","bunamhala.mbugani-nyamalapa-itilima","nyamalapa-itilima","nyamalapa","itilima.dc","simiyu","itilima","nyamalapa-itilima-simiyu","nyamalapa-itilima",0.327088554720134,0,NA,0.327088554720134,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"35","bungulwa","bungulwa","kwimba.dc","kwimba","bungulwa-bungulwa-kwimba","bungulwa-kwimba","bungulwa","kwimba.dc","mwanza","kwimba","bungulwa-kwimba-mwanza","bungulwa-kwimba",0.202618288144604,0,NA,0.202618288144604,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"36","bungulwa","nhundi","kwimba.dc","kwimba","bungulwa-nhundi-kwimba","nhundi-kwimba","ng.hundi","kwimba.dc","mwanza","kwimba","ng.hundi-kwimba-mwanza","ng.hundi-kwimba",0.278619528619529,0.0444444444444445,NA,0.323063973063973,"manual",NA,NA,NA,NA,NA,NA,NA,"1"
"37","bupandagila","nyakabindi","bariadi.tc","bariadi","bupandagila-nyakabindi-bariadi","nyakabindi-bariadi","nyakabindi","bariadi.tc","simiyu","bariadi","nyakabindi-bariadi-simiyu","nyakabindi-bariadi",0.327777777777778,0,NA,0.327777777777778,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"38","bushigwamara","kalemala","busega.dc","busega","bushigwamara-kalemala-busega","kalemala-busega","kalemela","busega.dc","simiyu","busega","kalemela-busega-simiyu","kalemela-busega",0.319264069264069,0.0682539682539683,NA,0.387518037518038,"manual",NA,NA,NA,NA,NA,NA,NA,"1"
"39","bushitara","busilili","maswa.dc","maswa","bushitara-busilili-maswa","busilili-maswa","busilili","maswa.dc","simiyu","maswa","busilili-maswa-simiyu","busilili-maswa",0.251322751322751,0,NA,0.251322751322751,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"40","busulwe","lyoma","kwimba.dc","kwimba","busulwe-lyoma-kwimba","lyoma-kwimba","lyoma","kwimba.dc","mwanza","kwimba","lyoma-kwimba-mwanza","lyoma-kwimba",0.342481203007519,0,NA,0.342481203007519,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"41","butu","ngoheranga","malinyi.dc","malinyi","butu-ngoheranga-malinyi","ngoheranga-malinyi","ngoheranga","malinyi.dc","morogoro","malinyi","ngoheranga-malinyi-morogoro","ngoheranga-malinyi",0.323403113258186,0,NA,0.323403113258186,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"42","buzunza","kidinda","bariadi.cc.mc.tc","bariadi","buzunza-kidinda-bariadi","kidinda-bariadi","nkindwabiye","bariadi.dc","simiyu","bariadi","nkindwabiye-bariadi-simiyu","nkindwabiye-bariadi",0.329792117515903,0.205179615705932,NA,0.534971733221834,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","bwage","mzia","mvomero.dc","mvomero","bwage-mzia-mvomero","mzia-mvomero","mtibwa","mvomero.dc","morogoro","mvomero","mtibwa-mvomero-morogoro","mtibwa-mvomero",0.371175523349436,0.0992063492063492,NA,0.470381872555786,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","bwage","mziha","mvomero.dc","mvomero","bwage-mziha-mvomero","mziha-mvomero","mtibwa","mvomero.dc","morogoro","mvomero","mtibwa-mvomero-morogoro","mtibwa-mvomero",0.384820747520976,0.122710622710623,NA,0.507531370231599,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","bwage.nyumbani","kanga","mvomero.dc","mvomero","bwage.nyumbani-kanga-mvomero","kanga-mvomero","kanga","mvomero.dc","morogoro","mvomero","kanga-mvomero-morogoro","kanga-mvomero",0.430735930735931,0,NA,0.430735930735931,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"46","bwage.nyumbani","mziha","mvomero.dc","mvomero","bwage.nyumbani-mziha-mvomero","mziha-mvomero","mtibwa","mvomero.dc","morogoro","mvomero","mtibwa-mvomero-morogoro","mtibwa-mvomero",0.439958592132505,0.122710622710623,NA,0.562669214843128,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","bwawani","chikopelo","bahi.dc","bahi","bwawani-chikopelo-bahi","chikopelo-bahi","chikola","bahi.dc","dodoma","bahi","chikola-bahi-dodoma","chikola-bahi",0.331791600212653,0.144660894660895,NA,0.476452494873548,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","bwawani","kiberenge","ifakara.dc","ifakara","bwawani-kiberenge-ifakara","kiberenge-ifakara","kibimba","ngara.dc","kagera","ngara","kibimba-ngara-kagera","kibimba-ngara",0.256296296296296,0.259838201014672,NA,0.516134497310968,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","byuna","mwadobana","bariadi.dc","bariadi","byuna-mwadobana-bariadi","mwadobana-bariadi","madobana","bariadi.dc","simiyu","bariadi","madobana-bariadi-simiyu","madobana-bariadi",0.320971867007673,0.0196078431372548,NA,0.340579710144927,"manual",NA,NA,NA,NA,NA,NA,NA,"1"
"50","chabutwa","mkula","busega.dc","busega","chabutwa-mkula-busega","mkula-busega","mkula","busega.dc","simiyu","busega","mkula-busega-simiyu","mkula-busega",0.341687552213868,0,NA,0.341687552213868,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"51","chala","chala","namanyere.dc","namanyere","chala-chala-namanyere","chala-namanyere","chalangwa","chunya.dc","mbeya","chunya","chalangwa-chunya-mbeya","chalangwa-chunya",0.247092776504541,0.283964646464646,NA,0.531057422969188,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","chala","chala","nkasi.dc","nkasi","chala-chala-nkasi","chala-nkasi","chala","nkasi.dc","rukwa","nkasi","chala-nkasi-rukwa","chala-nkasi",0.246606334841629,0,NA,0.246606334841629,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"53","chalinze","chalinze","chalinze.dc","chalinze","chalinze-chalinze-chalinze","chalinze-chalinze","kimange","chalinze.dc","pwani","chalinze","kimange-chalinze-pwani","kimange-chalinze",0.328397093102975,0.166572398190045,NA,0.494969491293021,"acceptD0",NA,"Y","chalinze.dc","pwani","chalinze",NA,"acceptD0",NA
"54","chalisuka","madibila","mbarali.dc","mbarali","chalisuka-madibila-mbarali","madibila-mbarali","madibira","mbarali.dc","mbeya","mbarali","madibira-mbarali-mbeya","madibira-mbarali",0.338201014671603,0.108333333333333,NA,0.446534348004936,"manual",NA,NA,NA,NA,NA,NA,NA,"1"
"55","chalisuka","madibira","mbarali.dc","mbarali","chalisuka-madibira-mbarali","madibira-mbarali","madibira","mbarali.dc","mbeya","mbarali","madibira-mbarali-mbeya","madibira-mbarali",0.32983682983683,0,NA,0.32983682983683,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"56","chalisuka","madibira","mfindi.dc","mfindi","chalisuka-madibira-mfindi","madibira-mfindi","ihalimba","mufindi.dc","iringa","mufindi","ihalimba-mufindi-iringa","ihalimba-mufindi",0.260144927536232,0.145405982905983,NA,0.405550910442215,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","chalisuka.madibira","madibira","mbarali.dc","mbarali","chalisuka.madibira-madibira-mbarali","madibira-mbarali","madibira","mbarali.dc","mbeya","mbarali","madibira-mbarali-mbeya","madibira-mbarali",0.331493506493507,0,NA,0.331493506493507,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"58","chamalendi","chamalendi","mpimbwe.dc","mpimbwe","chamalendi-chamalendi-mpimbwe","chamalendi-mpimbwe","chambani","mkoani","kusini.pemba","mkoani","chambani-mkoani-kusini.pemba","chambani-mkoani",0.309804684124103,0.259259259259259,NA,0.569063943383363,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","chamdindi","nyang.oro","iringa.dc","iringa","chamdindi-nyang.oro-iringa","nyang.oro-iringa","nyang.oro","iringa.dc","iringa","iringa","nyang.oro-iringa-iringa","nyang.oro-iringa",0.243881722142592,0,NA,0.243881722142592,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"60","chamela","chamela","kwima.dc","kwima","chamela-chamela-kwima","chamela-kwima","chala","nkasi.dc","rukwa","nkasi","chala-nkasi-rukwa","chala-nkasi",0.296451914098973,0.2002072002072,NA,0.496659114306173,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","chamela","chamela","kwimba.dc","kwimba","chamela-chamela-kwimba","chamela-kwimba","malya","kwimba.dc","mwanza","kwimba","malya-kwimba-mwanza","malya-kwimba",0.287347155768208,0.12950937950938,NA,0.416856535277588,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","chamela","ngudu","kwimba.dc","kwimba","chamela-ngudu-kwimba","ngudu-kwimba","ngudu","kwimba.dc","mwanza","kwimba","ngudu-kwimba-mwanza","ngudu-kwimba",0.265131578947368,0,NA,0.265131578947368,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"63","chamgasa","kalemela","busega.dc","busega","chamgasa-kalemela-busega","kalemela-busega","kalemela","busega.dc","simiyu","busega","kalemela-busega-simiyu","kalemela-busega",0.301346801346801,0,NA,0.301346801346801,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"64","chandulu","haya","magu.dc","magu","chandulu-haya-magu","haya-magu","ng.haya","magu.dc","mwanza","magu","ng.haya-magu-mwanza","ng.haya-magu",0.386695906432749,0.0833333333333334,NA,0.470029239766082,"manual",NA,NA,NA,NA,NA,NA,NA,"1"
"65","changata","igava","mbarali.dc","mbarali","changata-igava-mbarali","igava-mbarali","igava","mbarali.dc","mbeya","mbarali","igava-mbarali-mbeya","igava-mbarali",0.309569377990431,0,NA,0.309569377990431,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"66","chanikanguo","chanikanguo","masasi.dc","masasi","chanikanguo-chanikanguo-masasi","chanikanguo-masasi","chanika","handeni.tc","tanga","handeni","chanika-handeni-tanga","chanika-handeni",0.255026455026455,0.263973063973064,NA,0.518999518999519,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","chanikanguocha","chanikanguo","masasi.dc","masasi","chanikanguocha-chanikanguo-masasi","chanikanguo-masasi","mchangani","kati","kusini.unguja","kati","mchangani-kati-kusini.unguja","mchangani-kati",0.303751803751804,0.242063492063492,NA,0.545815295815296,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","chapwa","chapwa","mbozi.dc","mbozi","chapwa-chapwa-mbozi","chapwa-mbozi","ihanda","mbozi.dc","songwe","mbozi","ihanda-mbozi-songwe","ihanda-mbozi",0.386762360446571,0.166666666666667,NA,0.553429027113238,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","chasa","babayu","chemba.dc","chemba","chasa-babayu-chemba","babayu-chemba","chemba","chemba.dc","dodoma","chemba","chemba-chemba-dodoma","chemba-chemba",0.324493927125506,0.205128205128205,NA,0.529622132253711,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","chase","babayu","bahi.dc","bahi","chase-babayu-bahi","babayu-bahi","babayu","bahi.dc","dodoma","bahi","babayu-bahi-dodoma","babayu-bahi",0.324870118987766,0,NA,0.324870118987766,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"71","chase","babayu","chemba.dc","chemba","chase-babayu-chemba","babayu-chemba","babayu","bahi.dc","dodoma","bahi","babayu-bahi-dodoma","babayu-bahi",0.345029239766082,0.157226107226107,NA,0.502255346992189,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","chase","makorongo","bahi.dc","bahi","chase-makorongo-bahi","makorongo-bahi","makorongo","chemba.dc","dodoma","chemba","makorongo-chemba-dodoma","makorongo-chemba",0.284015345268542,0.124771062271062,NA,0.408786407539605,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","chasi","babayu","chemba.dc","chemba","chasi-babayu-chemba","babayu-chemba","babayu","bahi.dc","dodoma","bahi","babayu-bahi-dodoma","babayu-bahi",0.300419853051432,0.157226107226107,NA,0.457645960277539,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","chenje","kate","nkasi.dc","nkasi","chenje-kate-nkasi","kate-nkasi","kate","nkasi.dc","rukwa","nkasi","kate-nkasi-rukwa","kate-nkasi",0.388480392156863,0,NA,0.388480392156863,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"75","chibelela","chibelela","bahi.dc","bahi","chibelela-chibelela-bahi","chibelela-bahi","chibelela","bahi.dc","dodoma","bahi","chibelela-bahi-dodoma","chibelela-bahi",0.232142857142857,0,NA,0.232142857142857,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"76","chibelela","chibelela","dodoma.cc","dodoma","chibelela-chibelela-dodoma","chibelela-dodoma","chibelela","bahi.dc","dodoma","bahi","chibelela-bahi-dodoma","chibelela-bahi",0.0958485958485958,0.175595238095238,NA,0.271443833943834,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","chibuji","nyang.honga","misungwi.dc","misungwi","chibuji-nyang.honga-misungwi","nyang.honga-misungwi","nyang.oro","iringa.dc","iringa","iringa","nyang.oro-iringa-iringa","nyang.oro-iringa",0.302622498274672,0.256089743589744,NA,0.558712241864416,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","chibuji","nyangh.onge","misungwi.dc","misungwi","chibuji-nyangh.onge-misungwi","nyangh.onge-misungwi","nyamugali","buhigwe.dc","kigoma","buhigwe","nyamugali-buhigwe-kigoma","nyamugali-buhigwe",0.316938178780284,0.297662141779789,NA,0.614600320560073,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","chibuji","nyangh.ongwa","misungwi.dc","misungwi","chibuji-nyangh.ongwa-misungwi","nyangh.ongwa-misungwi","nyang.oro","iringa.dc","iringa","iringa","nyang.oro-iringa-iringa","nyang.oro-iringa",0.310011660836249,0.266407203907204,NA,0.576418864743452,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","chibwini","mwena","masasi.dc","masasi","chibwini-mwena-masasi","mwena-masasi","mwena","masasi.dc","mtwara","masasi","mwena-masasi-mtwara","mwena-masasi",0.341687552213868,0,NA,0.341687552213868,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"81","chidilo","ibugule","bahi.dc","bahi","chidilo-ibugule-bahi","ibugule-bahi","ibugule","bahi.dc","dodoma","bahi","ibugule-bahi-dodoma","ibugule-bahi",0.354385964912281,0,NA,0.354385964912281,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"82","chidilo","mpalanga","bahi.dc","bahi","chidilo-mpalanga-bahi","mpalanga-bahi","mpalanga","bahi.dc","dodoma","bahi","mpalanga-bahi-dodoma","mpalanga-bahi",0.323015873015873,0,NA,0.323015873015873,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"83","chifutuka","chifutuka","bahi.dc","bahi","chifutuka-chifutuka-bahi","chifutuka-bahi","chikola","bahi.dc","dodoma","bahi","chikola-bahi-dodoma","chikola-bahi",0.366360978203084,0.150793650793651,NA,0.517154628996734,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","chigawe","namalenga","masasi.dc","masasi","chigawe-namalenga-masasi","namalenga-masasi","namalenga","masasi.dc","mtwara","masasi","namalenga-masasi-mtwara","namalenga-masasi",0.294685990338164,0,NA,0.294685990338164,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"85","chigongwe","chigongwe","dodoma.cc","dodoma","chigongwe-chigongwe-dodoma","chigongwe-dodoma","chigongwe","dodoma.cc","dodoma","dodoma","chigongwe-dodoma-dodoma","chigongwe-dodoma",0.2305834262356,0,NA,0.2305834262356,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"86","chigugu","chigugu","masasi.dc","masasi","chigugu-chigugu-masasi","chigugu-masasi","chigugu","masasi.dc","mtwara","masasi","chigugu-masasi-mtwara","chigugu-masasi",0.256854256854257,0,NA,0.256854256854257,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"87","chiguluka","chiguluka","bahi.dc","bahi","chiguluka-chiguluka-bahi","chiguluka-bahi","chikola","bahi.dc","dodoma","bahi","chikola-bahi-dodoma","chikola-bahi",0.358918128654971,0.12950937950938,NA,0.48842750816435,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","chiguluka","chipanga","bahi.dc","bahi","chiguluka-chipanga-bahi","chipanga-bahi","chipanga","bahi.dc","dodoma","bahi","chipanga-bahi-dodoma","chipanga-bahi",0.310386473429952,0,NA,0.310386473429952,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"89","chihanga","chihanga","dodoma.cc","dodoma","chihanga-chihanga-dodoma","chihanga-dodoma","chihanga","dodoma.cc","dodoma","dodoma","chihanga-dodoma-dodoma","chihanga-dodoma",0.251411170528818,0,NA,0.251411170528818,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"90","chikola","chikola","bahi.dc","bahi","chikola-chikola-bahi","chikola-bahi","chikola","bahi.dc","dodoma","bahi","chikola-bahi-dodoma","chikola-bahi",0.20906432748538,0,NA,0.20906432748538,"accept0",NA,NA,NA,NA,NA,NA,NA,NA
"91","chikole","kangakero","malinyi.dc","malinyi","chikole-kangakero-malinyi","kangakero-malinyi","kanyigo","missenyi.dc","kagera","missenyi","kanyigo-missenyi-kagera","kanyigo-missenyi",0.313945249597423,0.250816993464052,NA,0.564762243061476,NA,NA,NA,NA,NA,NA,NA,NA,NA
