"ET_ID","Region_Nam","District_N","Ward_Name","region","district","ward"
29,"Dodoma","Mpwapwa","Matomondo","dodoma","mpwapwa","matomondo"
30,"Dodoma","Mpwapwa","Kimagai","dodoma","mpwapwa","kimagai"
31,"Dodoma","Mpwapwa","Kibakwe","dodoma","mpwapwa","kibakwe"
32,"Dodoma","Mpwapwa","Lumuma","dodoma","mpwapwa","lumuma"
33,"Dodoma","Mpwapwa","Luhundwa","dodoma","mpwapwa","luhundwa"
34,"Dodoma","Mpwapwa","Massa","dodoma","mpwapwa","massa"
35,"Dodoma","Mpwapwa","Ipera","dodoma","mpwapwa","ipera"
36,"Dodoma","Mpwapwa","Rudi","dodoma","mpwapwa","rudi"
37,"Dodoma","Mpwapwa","Mlunduzi","dodoma","mpwapwa","mlunduzi"
38,"Dodoma","Mpwapwa","Wotta","dodoma","mpwapwa","wotta"
39,"Dodoma","Mpwapwa","Mima","dodoma","mpwapwa","mima"
40,"Dodoma","Mpwapwa","Berege","dodoma","mpwapwa","berege"
41,"Dodoma","Mpwapwa","Chunyu","dodoma","mpwapwa","chunyu"
42,"Dodoma","Mpwapwa","Mbuga","dodoma","mpwapwa","mbuga"
43,"Dodoma","Mpwapwa","Godegode","dodoma","mpwapwa","godegode"
44,"Dodoma","Mpwapwa","Mpwapwa","dodoma","mpwapwa","mpwapwa"
45,"Dodoma","Mpwapwa","Lupeta","dodoma","mpwapwa","lupeta"
46,"Dodoma","Mpwapwa","Gulwe","dodoma","mpwapwa","gulwe"
47,"Dodoma","Mpwapwa","Nghambi","dodoma","mpwapwa","nghambi"
48,"Dodoma","Mpwapwa","Chitemo","dodoma","mpwapwa","chitemo"
49,"Dodoma","Mpwapwa","Iwondo","dodoma","mpwapwa","iwondo"
50,"Dodoma","Mpwapwa","Kingiti","dodoma","mpwapwa","kingiti"
51,"Dodoma","Mpwapwa","Lufu","dodoma","mpwapwa","lufu"
52,"Dodoma","Mpwapwa","Pwaga","dodoma","mpwapwa","pwaga"
53,"Dodoma","Mpwapwa","Galigali","dodoma","mpwapwa","galigali"
54,"Dodoma","Mpwapwa","Mtera","dodoma","mpwapwa","mtera"
55,"Dodoma","Mpwapwa","Chipogoro","dodoma","mpwapwa","chipogoro"
56,"Dodoma","Mpwapwa","Malolo","dodoma","mpwapwa","malolo"
57,"Dodoma","Kongwa","Kongwa","dodoma","kongwa","kongwa"
58,"Dodoma","Kongwa","Sejeli","dodoma","kongwa","sejeli"
59,"Dodoma","Kongwa","Hogoro","dodoma","kongwa","hogoro"
60,"Dodoma","Kongwa","Zoissa","dodoma","kongwa","zoissa"
61,"Dodoma","Kongwa","Mkoka","dodoma","kongwa","mkoka"
62,"Dodoma","Kongwa","Njoge","dodoma","kongwa","njoge"
63,"Dodoma","Kongwa","Mtanana","dodoma","kongwa","mtanana"
64,"Dodoma","Kongwa","Pandambili","dodoma","kongwa","pandambili"
65,"Dodoma","Kongwa","Mlali","dodoma","kongwa","mlali"
66,"Dodoma","Kongwa","Iduo","dodoma","kongwa","iduo"
67,"Dodoma","Kongwa","Sagara","dodoma","kongwa","sagara"
68,"Dodoma","Kongwa","Kibaigwa","dodoma","kongwa","kibaigwa"
69,"Dodoma","Kongwa","Ugogoni","dodoma","kongwa","ugogoni"
70,"Dodoma","Kongwa","Chamkoroma","dodoma","kongwa","chamkoroma"
71,"Dodoma","Kongwa","Makawa","dodoma","kongwa","makawa"
72,"Dodoma","Kongwa","Chitego","dodoma","kongwa","chitego"
73,"Dodoma","Kongwa","Matongoro","dodoma","kongwa","matongoro"
74,"Dodoma","Kongwa","Ngomai","dodoma","kongwa","ngomai"
75,"Dodoma","Kongwa","Songambele","dodoma","kongwa","songambele"
76,"Dodoma","Kongwa","Chiwe","dodoma","kongwa","chiwe"
77,"Dodoma","Kongwa","Lenjulu","dodoma","kongwa","lenjulu"
78,"Dodoma","Kongwa","Nghumbi","dodoma","kongwa","nghumbi"
79,"Dodoma","Chamwino","Haneti","dodoma","chamwino","haneti"
80,"Dodoma","Chamwino","Segala","dodoma","chamwino","segala"
81,"Dodoma","Chamwino","Itiso","dodoma","chamwino","itiso"
82,"Dodoma","Chamwino","Dabalo","dodoma","chamwino","dabalo"
83,"Dodoma","Chamwino","Membe","dodoma","chamwino","membe"
84,"Dodoma","Chamwino","Msanga","dodoma","chamwino","msanga"
85,"Dodoma","Chamwino","Chilonwa","dodoma","chamwino","chilonwa"
86,"Dodoma","Chamwino","Buigiri","dodoma","chamwino","buigiri"
87,"Dodoma","Chamwino","Majeleko","dodoma","chamwino","majeleko"
88,"Dodoma","Chamwino","Manchali","dodoma","chamwino","manchali"
89,"Dodoma","Chamwino","Ikowa","dodoma","chamwino","ikowa"
90,"Dodoma","Chamwino","Msamalo","dodoma","chamwino","msamalo"
91,"Dodoma","Chamwino","Igandu","dodoma","chamwino","igandu"
92,"Dodoma","Chamwino","Muungano","dodoma","chamwino","muungano"
93,"Dodoma","Chamwino","Mvumi Makulu","dodoma","chamwino","mvumi.makulu"
94,"Dodoma","Chamwino","Handali","dodoma","chamwino","handali"
95,"Dodoma","Chamwino","Mvumi Mission","dodoma","chamwino","mvumi.mission"
96,"Dodoma","Chamwino","Idifu","dodoma","chamwino","idifu"
97,"Dodoma","Chamwino","Makang'wa","dodoma","chamwino","makang.wa"
98,"Dodoma","Chamwino","Iringamvumi","dodoma","chamwino","iringamvumi"
99,"Dodoma","Chamwino","Manzase","dodoma","chamwino","manzase"
100,"Dodoma","Chamwino","Fufu","dodoma","chamwino","fufu"
101,"Dodoma","Chamwino","Mlowa Bwawani","dodoma","chamwino","mlowa.bwawani"
102,"Dodoma","Chamwino","Mpwayungu","dodoma","chamwino","mpwayungu"
103,"Dodoma","Chamwino","Nghambaku","dodoma","chamwino","nghambaku"
104,"Dodoma","Chamwino","Chinugulu","dodoma","chamwino","chinugulu"
105,"Dodoma","Chamwino","Manda","dodoma","chamwino","manda"
106,"Dodoma","Chamwino","Huzi","dodoma","chamwino","huzi"
107,"Dodoma","Chamwino","Loje","dodoma","chamwino","loje"
108,"Dodoma","Chamwino","Chiboli","dodoma","chamwino","chiboli"
109,"Dodoma","Chamwino","Nhinhi","dodoma","chamwino","nhinhi"
110,"Dodoma","Chamwino","Zajilwa","dodoma","chamwino","zajilwa"
111,"Dodoma","Dodoma Urban","Viwandani","dodoma","dodoma.urban","viwandani"
112,"Dodoma","Dodoma Urban","Uhuru","dodoma","dodoma.urban","uhuru"
113,"Dodoma","Dodoma Urban","Chamwino","dodoma","dodoma.urban","chamwino"
114,"Dodoma","Dodoma Urban","Kiwanja cha ndege","dodoma","dodoma.urban","kiwanja.cha.ndege"
115,"Dodoma","Dodoma Urban","Makole","dodoma","dodoma.urban","makole"
116,"Dodoma","Dodoma Urban","Miyuji","dodoma","dodoma.urban","miyuji"
117,"Dodoma","Dodoma Urban","Msalato","dodoma","dodoma.urban","msalato"
118,"Dodoma","Dodoma Urban","Makutupora","dodoma","dodoma.urban","makutupora"
119,"Dodoma","Dodoma Urban","Chihanga","dodoma","dodoma.urban","chihanga"
120,"Dodoma","Dodoma Urban","Hombolo","dodoma","dodoma.urban","hombolo"
121,"Dodoma","Dodoma Urban","Ipala","dodoma","dodoma.urban","ipala"
122,"Dodoma","Dodoma Urban","Nzuguni","dodoma","dodoma.urban","nzuguni"
123,"Dodoma","Dodoma Urban","Dom-Makulu","dodoma","dodoma.urban","dom.makulu"
124,"Dodoma","Dodoma Urban","Mtumba","dodoma","dodoma.urban","mtumba"
125,"Dodoma","Dodoma Urban","Kikombo","dodoma","dodoma.urban","kikombo"
126,"Dodoma","Dodoma Urban","Ngh'ongh'onha","dodoma","dodoma.urban","ngh.ongh.onha"
127,"Dodoma","Dodoma Urban","Mpunguzi","dodoma","dodoma.urban","mpunguzi"
128,"Dodoma","Dodoma Urban","Tambukareli","dodoma","dodoma.urban","tambukareli"
129,"Dodoma","Dodoma Urban","Kilimani","dodoma","dodoma.urban","kilimani"
130,"Dodoma","Dodoma Urban","Kikuyu Kusini","dodoma","dodoma.urban","kikuyu.kusini"
131,"Dodoma","Dodoma Urban","Kikuyu Kaskazini","dodoma","dodoma.urban","kikuyu.kaskazini"
132,"Dodoma","Dodoma Urban","Mkonze","dodoma","dodoma.urban","mkonze"
133,"Dodoma","Dodoma Urban","Mbabala","dodoma","dodoma.urban","mbabala"
134,"Dodoma","Dodoma Urban","Zuzu","dodoma","dodoma.urban","zuzu"
135,"Dodoma","Dodoma Urban","Hazina","dodoma","dodoma.urban","hazina"
136,"Dodoma","Dodoma Urban","Madukani","dodoma","dodoma.urban","madukani"
137,"Dodoma","Dodoma Urban","Majengo","dodoma","dodoma.urban","majengo"
138,"Dodoma","Dodoma Urban","Kizota","dodoma","dodoma.urban","kizota"
139,"Dodoma","Dodoma Urban","Nala","dodoma","dodoma.urban","nala"
140,"Dodoma","Dodoma Urban","Mbalawala","dodoma","dodoma.urban","mbalawala"
141,"Dodoma","Dodoma Urban","Ntyuka","dodoma","dodoma.urban","ntyuka"
142,"Dodoma","Dodoma Urban","Chigongwe","dodoma","dodoma.urban","chigongwe"
143,"Dodoma","Dodoma Urban","Chang'ombe","dodoma","dodoma.urban","chang.ombe"
144,"Dodoma","Dodoma Urban","Iyumbu","dodoma","dodoma.urban","iyumbu"
145,"Dodoma","Dodoma Urban","Chahwa","dodoma","dodoma.urban","chahwa"
146,"Dodoma","Dodoma Urban","Mnadani","dodoma","dodoma.urban","mnadani"
147,"Dodoma","Dodoma Urban","Ipagala","dodoma","dodoma.urban","ipagala"
148,"Dodoma","Bahi","Makanda","dodoma","bahi","makanda"
149,"Dodoma","Bahi","Lamaiti","dodoma","bahi","lamaiti"
150,"Dodoma","Bahi","Babayu","dodoma","bahi","babayu"
151,"Dodoma","Bahi","Zanka","dodoma","bahi","zanka"
152,"Dodoma","Bahi","Msisi","dodoma","bahi","msisi"
153,"Dodoma","Bahi","Mundemu","dodoma","bahi","mundemu"
154,"Dodoma","Bahi","Bahi","dodoma","bahi","bahi"
155,"Dodoma","Bahi","Mpamantwa","dodoma","bahi","mpamantwa"
156,"Dodoma","Bahi","Ibihwa","dodoma","bahi","ibihwa"
157,"Dodoma","Bahi","Ilindi","dodoma","bahi","ilindi"
158,"Dodoma","Bahi","Kigwe","dodoma","bahi","kigwe"
159,"Dodoma","Bahi","Chikola","dodoma","bahi","chikola"
160,"Dodoma","Bahi","Chipanga","dodoma","bahi","chipanga"
161,"Dodoma","Bahi","Chali","dodoma","bahi","chali"
162,"Dodoma","Bahi","Nondwa","dodoma","bahi","nondwa"
163,"Dodoma","Bahi","Mpalanga","dodoma","bahi","mpalanga"
164,"Dodoma","Bahi","Ibugule","dodoma","bahi","ibugule"
165,"Dodoma","Bahi","Chibelela","dodoma","bahi","chibelela"
166,"Dodoma","Bahi","Mwitikira","dodoma","bahi","mwitikira"
167,"Dodoma","Bahi","Mtitaa","dodoma","bahi","mtitaa"
168,"Dodoma","Chemba","Makorongo","dodoma","chemba","makorongo"
169,"Dodoma","Chemba","Ovada","dodoma","chemba","ovada"
170,"Dodoma","Chemba","Msaada","dodoma","chemba","msaada"
171,"Dodoma","Chemba","Kimaha","dodoma","chemba","kimaha"
172,"Dodoma","Chemba","Churuku","dodoma","chemba","churuku"
173,"Dodoma","Chemba","Songoro","dodoma","chemba","songoro"
174,"Dodoma","Chemba","Mondo","dodoma","chemba","mondo"
175,"Dodoma","Chemba","Dalai","dodoma","chemba","dalai"
176,"Dodoma","Chemba","Mrijo","dodoma","chemba","mrijo"
177,"Dodoma","Chemba","Chandama","dodoma","chemba","chandama"
178,"Dodoma","Chemba","Goima","dodoma","chemba","goima"
179,"Dodoma","Chemba","Chemba","dodoma","chemba","chemba"
180,"Dodoma","Chemba","Paranga","dodoma","chemba","paranga"
181,"Dodoma","Chemba","Gwandi","dodoma","chemba","gwandi"
182,"Dodoma","Chemba","Farkwa","dodoma","chemba","farkwa"
183,"Dodoma","Chemba","Mpendo","dodoma","chemba","mpendo"
184,"Dodoma","Chemba","Sanzawa","dodoma","chemba","sanzawa"
185,"Dodoma","Chemba","Kwamtoro","dodoma","chemba","kwamtoro"
186,"Dodoma","Chemba","Lalta","dodoma","chemba","lalta"
187,"Arusha","Monduli","Engaruka","arusha","monduli","engaruka"
188,"Arusha","Monduli","Monduli juu","arusha","monduli","monduli.juu"
189,"Arusha","Monduli","Engutoto","arusha","monduli","engutoto"
190,"Arusha","Monduli","Monduli Mjini","arusha","monduli","monduli.mjini"
191,"Arusha","Monduli","Moita","arusha","monduli","moita"
192,"Arusha","Monduli","Sepeko","arusha","monduli","sepeko"
193,"Arusha","Monduli","Lolkisale","arusha","monduli","lolkisale"
194,"Arusha","Monduli","Makuyuni","arusha","monduli","makuyuni"
195,"Arusha","Monduli","Esilalei","arusha","monduli","esilalei"
196,"Arusha","Monduli","Mto wa Mbu","arusha","monduli","mto.wa.mbu"
197,"Arusha","Monduli","Lepurko","arusha","monduli","lepurko"
198,"Arusha","Monduli","Meserani","arusha","monduli","meserani"
199,"Arusha","Monduli","Mswakini","arusha","monduli","mswakini"
200,"Arusha","Monduli","Majengo","arusha","monduli","majengo"
201,"Arusha","Meru","Ngarenanyuki","arusha","meru","ngarenanyuki"
202,"Arusha","Meru","Leguruki","arusha","meru","leguruki"
203,"Arusha","Meru","King'ori","arusha","meru","king.ori"
204,"Arusha","Meru","Maji ya chai","arusha","meru","maji.ya.chai"
205,"Arusha","Meru","Kikatiti","arusha","meru","kikatiti"
206,"Arusha","Meru","Maroroni","arusha","meru","maroroni"
207,"Arusha","Meru","Makiba","arusha","meru","makiba"
208,"Arusha","Meru","Mbuguni","arusha","meru","mbuguni"
209,"Arusha","Meru","Kikwe","arusha","meru","kikwe"
210,"Arusha","Meru","Usariver","arusha","meru","usariver"
211,"Arusha","Meru","Nkoaranga","arusha","meru","nkoaranga"
212,"Arusha","Meru","Poli","arusha","meru","poli"
213,"Arusha","Meru","Seela Sing'isi","arusha","meru","seela.sing.isi"
214,"Arusha","Meru","Akheri","arusha","meru","akheri"
215,"Arusha","Meru","Nkoanrua","arusha","meru","nkoanrua"
216,"Arusha","Meru","Songoro","arusha","meru","songoro"
217,"Arusha","Meru","Nkoarisambu","arusha","meru","nkoarisambu"
218,"Arusha","Arusha Urban","Kati","arusha","arusha.urban","kati"
219,"Arusha","Arusha Urban","Kaloleni","arusha","arusha.urban","kaloleni"
220,"Arusha","Arusha Urban","Sekei","arusha","arusha.urban","sekei"
221,"Arusha","Arusha Urban","Kimandolu","arusha","arusha.urban","kimandolu"
222,"Arusha","Arusha Urban","Baraa","arusha","arusha.urban","baraa"
223,"Arusha","Arusha Urban","Oloirieni","arusha","arusha.urban","oloirieni"
224,"Arusha","Arusha Urban","Themi","arusha","arusha.urban","themi"
225,"Arusha","Arusha Urban","Lemara","arusha","arusha.urban","lemara"
226,"Arusha","Arusha Urban","Terrat","arusha","arusha.urban","terrat"
227,"Arusha","Arusha Urban","Sokoni I","arusha","arusha.urban","sokoni.i"
228,"Arusha","Arusha Urban","Daraja Mbili","arusha","arusha.urban","daraja.mbili"
229,"Arusha","Arusha Urban","Unga Ltd","arusha","arusha.urban","unga.ltd"
230,"Arusha","Arusha Urban","Sombetini","arusha","arusha.urban","sombetini"
231,"Arusha","Arusha Urban","Ngarenaro","arusha","arusha.urban","ngarenaro"
232,"Arusha","Arusha Urban","Levolosi","arusha","arusha.urban","levolosi"
233,"Arusha","Arusha Urban","Engutoto","arusha","arusha.urban","engutoto"
234,"Arusha","Arusha Urban","Elerai","arusha","arusha.urban","elerai"
235,"Arusha","Arusha Urban","Olasiti","arusha","arusha.urban","olasiti"
236,"Arusha","Arusha Urban","Moshono","arusha","arusha.urban","moshono"
237,"Arusha","Karatu","Karatu","arusha","karatu","karatu"
238,"Arusha","Karatu","Endamarariek","arusha","karatu","endamarariek"
239,"Arusha","Karatu","Buger","arusha","karatu","buger"
240,"Arusha","Karatu","Endabash","arusha","karatu","endabash"
241,"Arusha","Karatu","Kansay","arusha","karatu","kansay"
242,"Arusha","Karatu","Baray","arusha","karatu","baray"
243,"Arusha","Karatu","Mang'ola","arusha","karatu","mang.ola"
244,"Arusha","Karatu","Daa","arusha","karatu","daa"
245,"Arusha","Karatu","Oldean","arusha","karatu","oldean"
246,"Arusha","Karatu","Qurus","arusha","karatu","qurus"
247,"Arusha","Karatu","Ganako","arusha","karatu","ganako"
248,"Arusha","Karatu","Rhotia","arusha","karatu","rhotia"
249,"Arusha","Karatu","Mbulumbulu","arusha","karatu","mbulumbulu"
250,"Arusha","Karatu","Endamaghang","arusha","karatu","endamaghang"
251,"Arusha","Ngorongoro","Orgosorok","arusha","ngorongoro","orgosorok"
252,"Arusha","Ngorongoro","Digodigo","arusha","ngorongoro","digodigo"
253,"Arusha","Ngorongoro","Oldonyo Sambu","arusha","ngorongoro","oldonyo.sambu"
254,"Arusha","Ngorongoro","Pinyinyi","arusha","ngorongoro","pinyinyi"
255,"Arusha","Ngorongoro","Sale","arusha","ngorongoro","sale"
256,"Arusha","Ngorongoro","Malambo","arusha","ngorongoro","malambo"
257,"Arusha","Ngorongoro","Naiyobi","arusha","ngorongoro","naiyobi"
258,"Arusha","Ngorongoro","Nainokanoka","arusha","ngorongoro","nainokanoka"
259,"Arusha","Ngorongoro","Olbalbal","arusha","ngorongoro","olbalbal"
260,"Arusha","Ngorongoro","Ngorongoro","arusha","ngorongoro","ngorongoro"
261,"Arusha","Ngorongoro","Endulen","arusha","ngorongoro","endulen"
262,"Arusha","Ngorongoro","Kakesio","arusha","ngorongoro","kakesio"
263,"Arusha","Ngorongoro","Arash","arusha","ngorongoro","arash"
264,"Arusha","Ngorongoro","Soitsambu","arusha","ngorongoro","soitsambu"
265,"Arusha","Ngorongoro","Engusero Sambu","arusha","ngorongoro","engusero.sambu"
266,"Arusha","Ngorongoro","Oloirien","arusha","ngorongoro","oloirien"
267,"Arusha","Ngorongoro","Samunge","arusha","ngorongoro","samunge"
268,"Arusha","Ngorongoro","Alailelai","arusha","ngorongoro","alailelai"
269,"Arusha","Ngorongoro","Maalon","arusha","ngorongoro","maalon"
270,"Arusha","Ngorongoro","Ololosokwan","arusha","ngorongoro","ololosokwan"
271,"Arusha","Ngorongoro","Oloipiri","arusha","ngorongoro","oloipiri"
272,"Arusha","Arusha","Olkokola","arusha","arusha","olkokola"
273,"Arusha","Arusha","Ilkiding'a","arusha","arusha","ilkiding.a"
274,"Arusha","Arusha","Bangata","arusha","arusha","bangata"
275,"Arusha","Arusha","Sokon II","arusha","arusha","sokon.ii"
276,"Arusha","Arusha","Oltoroto","arusha","arusha","oltoroto"
277,"Arusha","Arusha","Moivo","arusha","arusha","moivo"
278,"Arusha","Arusha","Kiranyi","arusha","arusha","kiranyi"
279,"Arusha","Arusha","Kimnyaki","arusha","arusha","kimnyaki"
280,"Arusha","Arusha","Oltrumet","arusha","arusha","oltrumet"
281,"Arusha","Arusha","Mwandeti","arusha","arusha","mwandeti"
282,"Arusha","Arusha","Mussa","arusha","arusha","mussa"
283,"Arusha","Arusha","Kisongo","arusha","arusha","kisongo"
284,"Arusha","Arusha","Mateves","arusha","arusha","mateves"
285,"Arusha","Arusha","Oljoro","arusha","arusha","oljoro"
286,"Arusha","Arusha","Bwawani","arusha","arusha","bwawani"
287,"Arusha","Arusha","Nduruma","arusha","arusha","nduruma"
288,"Arusha","Arusha","Mlangarini","arusha","arusha","mlangarini"
289,"Arusha","Arusha","Sambasha","arusha","arusha","sambasha"
290,"Arusha","Arusha","Olorieni","arusha","arusha","olorieni"
291,"Arusha","Arusha","Olmotonyi","arusha","arusha","olmotonyi"
292,"Arusha","Longido","Kitumbeine","arusha","longido","kitumbeine"
293,"Arusha","Longido","Engikaret","arusha","longido","engikaret"
294,"Arusha","Longido","Eleng'ata Dapash","arusha","longido","eleng.ata.dapash"
295,"Arusha","Longido","Ilorienito","arusha","longido","ilorienito"
296,"Arusha","Longido","Gelai Meirugoi","arusha","longido","gelai.meirugoi"
297,"Arusha","Longido","Gelai lumbwa","arusha","longido","gelai.lumbwa"
298,"Arusha","Longido","Matale","arusha","longido","matale"
299,"Arusha","Longido","Engarenaibor","arusha","longido","engarenaibor"
300,"Arusha","Longido","Mundarara","arusha","longido","mundarara"
301,"Arusha","Longido","Kimokouwa","arusha","longido","kimokouwa"
302,"Arusha","Longido","Namanga","arusha","longido","namanga"
303,"Arusha","Longido","Orbomba","arusha","longido","orbomba"
304,"Arusha","Longido","Longido","arusha","longido","longido"
305,"Arusha","Longido","Tingatinga","arusha","longido","tingatinga"
306,"Arusha","Longido","Olmolog","arusha","longido","olmolog"
307,"Arusha","Longido","Kamwanga","arusha","longido","kamwanga"
308,"Kilimanjaro","Rombo","Mamsera","kilimanjaro","rombo","mamsera"
309,"Kilimanjaro","Rombo","Mahida","kilimanjaro","rombo","mahida"
310,"Kilimanjaro","Rombo","Mengwe","kilimanjaro","rombo","mengwe"
311,"Kilimanjaro","Rombo","Keni Mengeni","kilimanjaro","rombo","keni.mengeni"
312,"Kilimanjaro","Rombo","Aleni","kilimanjaro","rombo","aleni"
313,"Kilimanjaro","Rombo","Shimbi","kilimanjaro","rombo","shimbi"
314,"Kilimanjaro","Rombo","Makiidi","kilimanjaro","rombo","makiidi"
315,"Kilimanjaro","Rombo","Kelamfua Mokala","kilimanjaro","rombo","kelamfua.mokala"
316,"Kilimanjaro","Rombo","Ushiri Ikuini","kilimanjaro","rombo","ushiri.ikuini"
317,"Kilimanjaro","Rombo","Mrao Keryo","kilimanjaro","rombo","mrao.keryo"
318,"Kilimanjaro","Rombo","Kirwa Keni","kilimanjaro","rombo","kirwa.keni"
319,"Kilimanjaro","Rombo","Katangara Mrere","kilimanjaro","rombo","katangara.mrere"
320,"Kilimanjaro","Rombo","Kisale Msaranga","kilimanjaro","rombo","kisale.msaranga"
321,"Kilimanjaro","Rombo","Olele","kilimanjaro","rombo","olele"
322,"Kilimanjaro","Rombo","Kirongo Samanga","kilimanjaro","rombo","kirongo.samanga"
323,"Kilimanjaro","Rombo","Kitirima Kingachi","kilimanjaro","rombo","kitirima.kingachi"
324,"Kilimanjaro","Rombo","Ubetu Kahe","kilimanjaro","rombo","ubetu.kahe"
325,"Kilimanjaro","Rombo","Nanjara Reha","kilimanjaro","rombo","nanjara.reha"
326,"Kilimanjaro","Rombo","Tarakea Motamburu","kilimanjaro","rombo","tarakea.motamburu"
327,"Kilimanjaro","Rombo","Motamburu Kitendeni","kilimanjaro","rombo","motamburu.kitendeni"
328,"Kilimanjaro","Rombo","Marangu Kitowo","kilimanjaro","rombo","marangu.kitowo"
329,"Kilimanjaro","Rombo","Ngoyoni","kilimanjaro","rombo","ngoyoni"
330,"Kilimanjaro","Rombo","Manda","kilimanjaro","rombo","manda"
331,"Kilimanjaro","Rombo","Holili","kilimanjaro","rombo","holili"
332,"Kilimanjaro","Mwanga","Kileo","kilimanjaro","mwanga","kileo"
333,"Kilimanjaro","Mwanga","Mwanga","kilimanjaro","mwanga","mwanga"
334,"Kilimanjaro","Mwanga","Msangeni","kilimanjaro","mwanga","msangeni"
335,"Kilimanjaro","Mwanga","Kifula","kilimanjaro","mwanga","kifula"
336,"Kilimanjaro","Mwanga","Kighare","kilimanjaro","mwanga","kighare"
337,"Kilimanjaro","Mwanga","Kirongwe","kilimanjaro","mwanga","kirongwe"
338,"Kilimanjaro","Mwanga","Kwakoa","kilimanjaro","mwanga","kwakoa"
339,"Kilimanjaro","Mwanga","Lembeni","kilimanjaro","mwanga","lembeni"
340,"Kilimanjaro","Mwanga","Jipe","kilimanjaro","mwanga","jipe"
341,"Kilimanjaro","Mwanga","Mwaniko","kilimanjaro","mwanga","mwaniko"
342,"Kilimanjaro","Mwanga","Chomvu","kilimanjaro","mwanga","chomvu"
343,"Kilimanjaro","Mwanga","Ngujini","kilimanjaro","mwanga","ngujini"
344,"Kilimanjaro","Mwanga","Kirya","kilimanjaro","mwanga","kirya"
345,"Kilimanjaro","Mwanga","Kilomeni","kilimanjaro","mwanga","kilomeni"
346,"Kilimanjaro","Mwanga","Shighatini","kilimanjaro","mwanga","shighatini"
347,"Kilimanjaro","Mwanga","Lang'ata","kilimanjaro","mwanga","lang.ata"
348,"Kilimanjaro","Mwanga","Mgagao","kilimanjaro","mwanga","mgagao"
349,"Kilimanjaro","Mwanga","Toloha","kilimanjaro","mwanga","toloha"
350,"Kilimanjaro","Mwanga","Kigoningoni","kilimanjaro","mwanga","kigoningoni"
351,"Kilimanjaro","Mwanga","Kivisini","kilimanjaro","mwanga","kivisini"
352,"Kilimanjaro","Same","Same","kilimanjaro","same","same"
353,"Kilimanjaro","Same","Ruvu","kilimanjaro","same","ruvu"
354,"Kilimanjaro","Same","Njoro","kilimanjaro","same","njoro"
355,"Kilimanjaro","Same","Kisiwani","kilimanjaro","same","kisiwani"
356,"Kilimanjaro","Same","Msindo","kilimanjaro","same","msindo"
357,"Kilimanjaro","Same","Mshewa","kilimanjaro","same","mshewa"
358,"Kilimanjaro","Same","Mhezi","kilimanjaro","same","mhezi"
359,"Kilimanjaro","Same","Mwembe","kilimanjaro","same","mwembe"
360,"Kilimanjaro","Same","Vudee","kilimanjaro","same","vudee"
361,"Kilimanjaro","Same","Vuje","kilimanjaro","same","vuje"
362,"Kilimanjaro","Same","Bombo","kilimanjaro","same","bombo"
363,"Kilimanjaro","Same","Mtii","kilimanjaro","same","mtii"
364,"Kilimanjaro","Same","Maore","kilimanjaro","same","maore"
365,"Kilimanjaro","Same","Ndungu","kilimanjaro","same","ndungu"
