fid,date,date.end,date.of.interview,date.final,country,region.final,district.final,ward.final,village.final,market.final,market.type,respondent.role,other.market.visited,number.markets.visited,trader,trade.pattern,gps.coordinates.of.the.market.final,unique.row.identifier.uuid.
1144535,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Mkulima na mfugaji,0,0,0,NA,-5.6537633 35.618705 1069.6 4.8,2d436ad6-dc16-11ec-9416-9440c9ab47f0
1144621,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Mnunuzi na muuzaji,1,3,1,Nanunua mbuzi/kondoo kwa wafugaji wengine kisha nawapa  watu wananiswagia kupeleka mnadani kuwauza,-5.6537145 35.6186872 1009.6276522696654 3.4,7048224e-dc08-11ec-9416-9440c9ab47f0
1144622,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Kuuza mifugo,1,3,0,NA,-5.6537393 35.6186545 1020.6617601999288 4.4,754f5a25-dc08-11ec-9416-9440c9ab47f0
1144623,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Kuuza mifugo,1,2,0,NA,-5.6537968 35.6185675 1012.5878276371166 5.0,6e01c190-dc08-11ec-9416-9440c9ab47f0
1144624,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Kununua na kuuza mifugo,1,3,1,Nanunua mbuzi/kondoo kwa wafugaji majumbani kwao au kabla hawajafika mnadani kisha nawaswaga kwenda mnada wa siku hiyo kuwauza kwa bei ya faida,-5.6538293 35.6186188 1009.4150911617928 4.7,67df9deb-dc08-11ec-9416-9440c9ab47f0
1144625,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Kununua mifugo,0,0,0,NA,-5.6536963 35.6185736 982.9941231019292 4.916,74b13ac3-dc08-11ec-9416-9440c9ab47f0
1144626,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Kununua mifugo,1,1,0,NA,-5.6537958 35.6185893 1014.0803994212224 4.9,747457f0-dc08-11ec-9416-9440c9ab47f0
1144627,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Kununua na kuuza mifugo,1,6,1,Nanunua mifugo kutoka kwa wafugaji kwenye maboma yao au kabla hawajafika minadani kisha nawaswaga na kwenda kuwauza minadani,-5.6537232 35.6186715 1043.1289822004667 4.6,6fd17242-dc08-11ec-9416-9440c9ab47f0
1144628,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Mnunuzi,0,0,0,NA,-5.6536969 35.6185704 1014.8896487340497 4.7,6ef9cf5c-dc08-11ec-9416-9440c9ab47f0
1144630,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Galagaja/Dalali,1,5,1,Nanunua mbuzi na kondoo kwa wafugaji kabla hawajafika mnadani kisha nawaswaga na kuwauza kwa mnadani kwa faida,-5.6540677 35.6187072 1006.8323224497419 4.416,73b23202-dc08-11ec-9416-9440c9ab47f0
1144631,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Muuzaji,1,2,0,NA,-5.6537953 35.618688 1036.393310546875 3.9,75eef9c0-dc08-11ec-9416-9440c9ab47f0
1144632,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Muuzaji,1,2,0,NA,-5.6537325 35.618754 1038.6695556640625 4.288,716feb34-dc08-11ec-9416-9440c9ab47f0
1144633,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Muuzaji,0,0,0,NA,-5.6538543 35.6185249 1036.5340576171875 4.63,67360f87-dc08-11ec-9416-9440c9ab47f0
1144634,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Muuzaji,1,2,0,NA,-5.6536532 35.6184992 1038.869384765625 4.288,789c3f5d-dc08-11ec-9416-9440c9ab47f0
1144635,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Mnunuzi,1,1,0,NA,-5.6537271 35.618564 1035.5430908203125 4.922,75ccf352-dc08-11ec-9416-9440c9ab47f0
1144636,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Muuzaji,1,2,0,NA,-5.6536849 35.6186756 1023.601318359375 4.824,66847228-dc08-11ec-9416-9440c9ab47f0
1144637,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Mnunuzi na muuzaji,1,3,1,Nanunua hapa hapa mnadani na kuuza hapa hapa,-5.6538604 35.6185582 1021.064208984375 4.63,6d13c3d8-dc08-11ec-9416-9440c9ab47f0
1144638,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Mnunuzi  na muuzaji,1,1,1,Nanunua na kuuza hapa hapa mnadani,-5.6538604 35.6185582 1021.064208984375 4.63,6c6fa689-dc08-11ec-9416-9440c9ab47f0
1144639,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Mnunuzi,1,3,1,Nanunua naenda kuchinja na kuuza nyama,-5.6538545 35.6186686 1023.7906494140625 4.265,6d888b98-dc08-11ec-9416-9440c9ab47f0
1144640,2022-05-11,2022-05-11,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Muuzaji,0,0,0,NA,-5.6537515 35.6187343 1028.8834228515625 4.63,66341bdc-dc08-11ec-9416-9440c9ab47f0
1144641,2022-05-11,2022-05-12,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Muuzaji,1,4,1,1.Naanza kwa kununua mifugo minadani na baadae naizalisha na wakizaliana narudi kuwauza tena mnadani - 2.miezi  ya kawaida najihusisha  na kulima tu na kufuga pia,-5.6537969 35.6187573 1030.920759982396 4.824,6c91f86a-dc08-11ec-9416-9440c9ab47f0
1144642,2022-05-11,2022-05-12,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Mnunuzi,1,3,1,1.Nanunua  minadani kwaajili ya biashara na naisafirisha kwenda  minada mingine  tunawapeleka mjini na nazunguka minada yote - 2.nakuwa bize na minada,-5.6538296 35.6185934 1036.447064727985 4.808,6515a435-dc08-11ec-9416-9440c9ab47f0
1144643,2022-05-11,2022-05-12,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Muuzaji,1,3,1,1.Nanunua nyumbani  kwa wafugaji wengine namimi naifuga na ninapopungukiwa chochote  nakuja kuuza mnadani - 2. Miezi  ya kawaida nakuwa  nachunga mifugo mbuzi na kondoo na kwenda shabani kulima,-5.6538455 35.6185694 1035.8495798305873 4.873,64b552ff-dc08-11ec-9416-9440c9ab47f0
1144644,2022-05-11,2022-05-12,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Muuzaji,1,3,1,"1.Naanza kununua kwa wafugaji kijijini na baadae tunawapeleka kuuza mnadani - 2. Na kipindi ambacho sio cha mnada huwa naenda kuchunga, nalima na kazi za  kawaida  tu",-5.6538301 35.6185841 1037.9370227185582 4.853,6480eaa1-dc08-11ec-9416-9440c9ab47f0
1144645,2022-05-11,2022-05-12,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Nimekuja kuuza,1,2,1,1.Ninawanunua  minadani na baadae naludi kuziuza mnada wowote   - 2.miezi ya kawaida nachunga na kulima,-5.6538885 35.6186314 1022.6125811141947 4.727,794bccb4-dc08-11ec-9416-9440c9ab47f0
1144646,2022-05-11,2022-05-12,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Nimekuja kununua,1,4,1,1.Nanunua  mifugo mnadani na naenda kuuza mnada mwingine 2.Siku ambazo is za minada napumzika,-5.6537722 35.6184975 1031.0030883563409 4.094,793752bc-dc08-11ec-9416-9440c9ab47f0
1144647,2022-05-11,2022-05-12,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Muuzaji,1,3,1,Nanunua   kwa  majirani nafuga nyumbani ma baadae nawauza  - na miezi ya kawaida nakuwa nafyeka mashamba kwaajili  ya chakula,-5.6537157 35.6186354 1014.3919801062343 4.288,6fc06918-dc08-11ec-9416-9440c9ab47f0
1144648,2022-05-11,2022-05-12,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Mnunuzi,1,1,1,1.Nakuja kununua mbuzi na kondoo kwa mnada huu tu na  - 2.miezi ya kawaida nakuwa nachinja  nauza buchani,-5.6537914 35.6185755 1012.0267928637452 4.912,703567df-dc08-11ec-9416-9440c9ab47f0
1144649,2022-05-11,2022-05-12,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Mnunuzi,1,5,1,1.Nanunua kwa wafugaji wa mbuzi  na naenda kuuza kama kitoweo  hivyo kwa  - 2.miezi ya kawaida nakuwa buchani  kwaajili ya kuuza nyama,-5.6539171 35.6184756 1024.6225602922111 4.99,723aa3d0-dc08-11ec-9416-9440c9ab47f0
1144650,2022-05-11,2022-05-12,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Mnunuzi,1,4,1,1. Nanunua minada yote nazunguka kwenye kila mnada na napeleka mnada wa msalato  - 2.Kila siku kuna minada hivyo natembea minada yote kila ninaapokuwa na mahitaji ya kupata mifugo  naenda mahali popote,-5.6538709 35.6184877 1026.1342796909776 4.192,7150cdf7-dc08-11ec-9416-9440c9ab47f0
1144651,2022-05-11,2022-05-12,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Mnunuzi,1,3,1,Nanunulia mnadani na nachinja na kuuza hapohapo mnadani ndio kazi yangu,-5.6538124 35.618618 1024.109694233854 4.744,78f12587-dc08-11ec-9416-9440c9ab47f0
1144652,2022-05-11,2022-05-12,2022-05-11,2022-05-11,6,dodoma,bahi,babayu,kongogo,kongogo,1,Nanunua,1,2,0,NA,-5.6537576 35.618669 1026.0937629452199 4.094,673be6d2-dc08-11ec-9416-9440c9ab47f0
1145138,2022-05-12,2022-05-12,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Kununua mbuzi/kondoo kwa ajili ya kuchinja,1,6,1,Nanunua mbuzi/kondoo kutoka kwa wauzaji kwenye mnada husika kisha nawachinja hahapo mnadani na kuuza nyama,-5.9349794 35.4382282 975.0243198093951 5.0,6dcd2b06-dc08-11ec-9416-9440c9ab47f0
1145139,2022-05-12,2022-05-12,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Muuzaji,0,0,0,NA,-5.9349064 35.4382172 986.0030840964839 5.0,797b1f54-dc08-11ec-9416-9440c9ab47f0
1145140,2022-05-12,2022-05-12,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Muuzaji,1,3,0,NA,-5.934858 35.4383152 970.1687862442387 4.5,71cf30d4-dc08-11ec-9416-9440c9ab47f0
1145141,2022-05-12,2022-05-12,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Muuzaji,0,0,0,NA,-5.9347855 35.4383293 980.8571671337536 4.9,6c0b183b-dc08-11ec-9416-9440c9ab47f0
1145142,2022-05-12,2022-05-12,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Mnunuzi,0,0,0,NA,-5.9347089 35.4383421 969.1921468530854 4.916,6d769d81-dc08-11ec-9416-9440c9ab47f0
1145143,2022-05-12,2022-05-12,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Mnunuzi,1,4,1,Nanunua mbuzi/kondoo minadani na kuwasafirisha hadi Kibaha kiwandani kuwauza,-5.9348663 35.4381641 975.4503592477704 4.9,76926245-dc08-11ec-9416-9440c9ab47f0
1145146,2022-05-12,2022-05-13,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Galagaja /dalali,1,3,1,Nafika kila mnada nanua mifugo na kuuza hapo hapo,-5.9349854 35.438251 975.2325439453125 4.995,67504de3-dc08-11ec-9416-9440c9ab47f0
1145147,2022-05-12,2022-05-13,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Muuzaji,1,1,0,NA,-5.9349693 35.43825 978.7799072265625 4.288,757c7f6a-dc08-11ec-9416-9440c9ab47f0
1145148,2022-05-12,2022-05-12,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Muuzaji,0,0,1,1.Nawatoa  nyumbani  nakuja kuwauza mnadani Nikishanunua basi naludi nyumbani. - 2. Nakuwa najishugulisha na kilimo,-5.9347695 35.4383086 982.4965559760449 3.977,6f4f8f3a-dc08-11ec-9416-9440c9ab47f0
1145149,2022-05-12,2022-05-13,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Muuzaji,1,1,0,NA,-5.9348172 35.4383417 985.234375 4.801,712a2961-dc08-11ec-9416-9440c9ab47f0
1145150,2022-05-12,2022-05-12,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,muuzaji,1,2,1,Nakuja kuuza tu nikipata  pesa nanunua mbolea kwaajili ya kilimo,-5.9346972 35.4382071 983.3634930453771 4.716,6956b36a-dc08-11ec-9416-9440c9ab47f0
1145151,2022-05-12,2022-05-13,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Galagaja,1,2,1,nanunua hapa hapa na kuuza hapa hapa mnadani,-5.934793 35.4383719 978.02783203125 3.9,765e10f9-dc08-11ec-9416-9440c9ab47f0
1145152,2022-05-12,2022-05-13,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Galagaja,1,2,1,Nanunua hapa hapa mnadani au njiani na kuuza hapa hapa mnadani,-5.9347865 35.4383955 975.7822265625 4.744,6e92b4d6-dc08-11ec-9416-9440c9ab47f0
1145153,2022-05-12,2022-05-13,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Mnunuzi,1,2,0,NA,-5.9348678 35.4383689 980.0633544921875 4.094,63c84650-dc08-11ec-9416-9440c9ab47f0
1145154,2022-05-12,2022-05-12,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Muuzaji,1,5,1,Naanza kwa kununua kwa wafugaji na nakuja kuuza huku napata faida mara mbili na baada ya hapo najianda na kilimo,-5.9347733 35.4382314 985.2376900383412 4.931,73b6c40b-dc08-11ec-9416-9440c9ab47f0
1145155,2022-05-12,2022-05-13,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Muuzaji,0,0,0,NA,-5.9347666 35.4383803 972.066162109375 4.898,772e8845-dc08-11ec-9416-9440c9ab47f0
1145156,2022-05-12,2022-05-12,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Mnunuzi,1,3,1,Naanza kwa kununua  kwa kununua mnadani na baada ya hapo nawapeleka  nyumbani  kwaajili ya kuzalisha  na siku za kawaida nakuwa  najishughulisha na kilimo,-5.9348434 35.438243 980.2876522173746 4.995,75b6f617-dc08-11ec-9416-9440c9ab47f0
1145157,2022-05-12,2022-05-13,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Mfanya biashara,1,5,1,Nakuja nanunua mnadani na kusafirisha mikoani,-5.9347182 35.4383967 973.7200927734375 4.824,6e13f4e8-dc08-11ec-9416-9440c9ab47f0
1145158,2022-05-12,2022-05-12,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Nauza,1,3,1,Mi nauza tu siku za minada siku nyingine  nakuwa tu nyumbani,-5.9349104 35.4382015 992.2192618101482 4.931,69173460-dc08-11ec-9416-9440c9ab47f0
1145159,2022-05-12,2022-05-12,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Muuzaji,1,3,1,Nawachukua nyumbani  nawaleta mnadani na miezi  ya kawaida Mimi mjasiria mali kipindi ambacho sio cha mnada nafanya ujasiria mali,-5.9349094 35.438223 984.6516625947944 4.776,6f8d1dc7-dc08-11ec-9416-9440c9ab47f0
1145160,2022-05-12,2022-05-12,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Nanunua na kuuza hapahapa,0,0,1,"Nakuja mnadani nanunua na nikisha wanunua naming nawauza tena ni kwa mnada huu tu ,miezi ya kawaida nakuwepo tu nyumbani",-5.9349438 35.4382664 978.3027720666896 4.269,762c71a7-dc08-11ec-9416-9440c9ab47f0
1145161,2022-05-12,2022-05-12,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Nauza,1,4,1,Nawanunua kwa  wafugaji  na nakuja kuwauza mnadani sikumza kawaida najishughulisha  na shamba,-5.93494 35.4382451 980.6707422725062 4.502,64650bfe-dc08-11ec-9416-9440c9ab47f0
1145162,2022-05-12,2022-05-13,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Mjasiriamali,1,2,1,NA,-5.934976 35.4381701 1003.9 4.325,28f137ac-dc16-11ec-9416-9440c9ab47f0
1145163,2022-05-12,2022-05-13,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Mkulima na Mfugaji,1,4,0,NA,-5.9348074 35.4381094 1003.2 4.8,2de9a270-dc16-11ec-9416-9440c9ab47f0
1145164,2022-05-12,2022-05-13,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Mkulima na mfugaji,0,0,0,NA,-5.9346991 35.4385512 967.9165535898202 4.4,2f8108d6-dc16-11ec-9416-9440c9ab47f0
1145165,2022-05-12,2022-05-13,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Mkulima na mfugaji,1,3,1,"Mapafu, minyoo",-5.9347797 35.4381675 993.6 4.8,2844becd-dc16-11ec-9416-9440c9ab47f0
1145166,2022-05-12,2022-05-13,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Mkulima na Mfugaji,1,2,0,NA,-5.9348666 35.4380442 989.1 4.775,26435630-dc16-11ec-9416-9440c9ab47f0
1145167,2022-05-12,2022-05-13,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Mkulima na mfugaji,1,1,0,NA,-5.9349147 35.4381993 972.8 4.65,23aa9d88-dc16-11ec-9416-9440c9ab47f0
1145168,2022-05-12,2022-05-13,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Mkulima na mjasiriamali,0,0,0,NA,-5.9349237 35.4381163 983.2 4.82,2d721c5e-dc16-11ec-9416-9440c9ab47f0
1145169,2022-05-12,2022-05-13,2022-05-12,2022-05-12,6,dodoma,bahi,ibihwa,mnkola,mnkola,1,Mkulima na Mfugaji,1,2,0,NA,-5.9347033 35.4381983 984.1 3.9,219b5bd7-dc16-11ec-9416-9440c9ab47f0
1145585,2022-05-13,2022-05-14,2022-05-13,2022-05-13,6,dodoma,bahi,kigwe,kigwe,kigwe,1,Mkulima na mfugaji,1,3,0,NA,-6.0890405 35.4914193 928.1616632139063 4.912,217ad0ac-dc16-11ec-9416-9440c9ab47f0
1145586,2022-05-13,2022-05-14,2022-05-13,2022-05-13,6,dodoma,bahi,kigwe,kigwe,kigwe,1,Biashara,1,5,1,NA,-6.0890105 35.4914211 928.6061664723711 3.9,2cd68cfe-dc16-11ec-9416-9440c9ab47f0
1145587,2022-05-13,2022-05-14,2022-05-13,2022-05-13,6,dodoma,bahi,kigwe,kigwe,kigwe,1,Mkulima,0,0,1,NA,-6.0890145 35.4914365 925.0784524015754 4.898,265d5ff0-dc16-11ec-9416-9440c9ab47f0
1145588,2022-05-13,2022-05-14,2022-05-13,2022-05-13,6,dodoma,bahi,kigwe,kigwe,kigwe,3,Mkulima na  Mfugaji,0,0,0,NA,-6.0889687 35.4913903 922.3859298214996 4.801,21457ba2-dc16-11ec-9416-9440c9ab47f0
1145589,2022-05-13,2022-05-14,2022-05-13,2022-05-13,6,dodoma,bahi,kigwe,kigwe,kigwe,1,Mkulima na mfugaji,1,3,1,Kununua mifugo ya wafugaji na kuuza mnadani,-6.0889991 35.4914132 924.1970660489767 3.977,27f98a43-dc16-11ec-9416-9440c9ab47f0
1145590,2022-05-13,2022-05-14,2022-05-13,2022-05-13,6,dodoma,bahi,kigwe,kigwe,kigwe,1,Mkulima na Mfugaji,0,0,0,NA,-6.0890257 35.4914137 925.1644671048633 4.873,2cb0955a-dc16-11ec-9416-9440c9ab47f0
1145591,2022-05-13,2022-05-14,2022-05-13,2022-05-13,6,dodoma,bahi,kigwe,kigwe,kigwe,1,Mkulima na Mfugaji,0,0,0,NA,-6.0890203 35.4914215 927.1451820663477 4.484,2542eb22-dc16-11ec-9416-9440c9ab47f0
1145592,2022-05-13,2022-05-14,2022-05-13,2022-05-13,6,dodoma,bahi,kigwe,kigwe,kigwe,1,Mkulima  na Mjasiriamali,1,3,1,Ananunua mbuzi na kondoo na kuuza,-6.0890341 35.4914608 922.427574055406 4.094,268c1d2d-dc16-11ec-9416-9440c9ab47f0
1145593,2022-05-13,2022-05-14,2022-05-13,2022-05-13,6,dodoma,bahi,kigwe,kigwe,kigwe,1,Mfanyabiashara,1,4,0,NA,-6.0890373 35.4914632 911.8470390621519 4.898,295e73e4-dc16-11ec-9416-9440c9ab47f0
1145594,2022-05-13,2022-05-14,2022-05-13,2022-05-13,6,dodoma,bahi,kigwe,kigwe,kigwe,1,Biashara ya mifugo,1,4,1,Sina utaratibu maalum nikufika na kuanzia manunuzi,-6.0890484 35.491476 916.570036998779 3.9,2898590a-dc16-11ec-9416-9440c9ab47f0
1145595,2022-05-13,2022-05-14,2022-05-13,2022-05-13,6,dodoma,bahi,kigwe,kigwe,kigwe,1,Mkulima,0,0,0,NA,-6.0889927 35.4913849 925.2799556381426 3.9,23ffebc6-dc16-11ec-9416-9440c9ab47f0
1145596,2022-05-13,2022-05-14,2022-05-13,2022-05-13,6,dodoma,bahi,kigwe,kigwe,kigwe,1,Mfanyabiashara,1,3,1,Hakuna utaratibu wowote,-6.0889729 35.4914574 926.6874840180843 4.63,2112b38b-dc16-11ec-9416-9440c9ab47f0
1145597,2022-05-13,2022-05-14,2022-05-13,2022-05-13,6,dodoma,bahi,kigwe,kigwe,kigwe,1,Mfanyabiashara,1,10,1,NA,-6.0889777 35.4914647 925.2516409839143 4.912,2db730e7-dc16-11ec-9416-9440c9ab47f0
1145598,2022-05-13,2022-05-14,2022-05-13,2022-05-13,6,dodoma,bahi,kigwe,kigwe,kigwe,1,Mkulima na mfugaji,0,0,0,NA,-6.0889754 35.4914219 919.8915772370094 4.744,22106953-dc16-11ec-9416-9440c9ab47f0
1145599,2022-05-13,2022-05-14,2022-05-13,2022-05-13,6,dodoma,bahi,kigwe,kigwe,kigwe,1,Mkulima,1,3,0,NA,-6.0889958 35.4914387 925.964426081594 4.055,2fc2e29d-dc16-11ec-9416-9440c9ab47f0
1145623,2022-05-13,2022-05-13,2022-05-13,2022-05-13,6,dodoma,bahi,kigwe,kigwe,kigwe,1,Mnunuzi,0,0,1,"Nakuja hapa mnadani siku ya mnada, nanunua mbuzi/kondoo mnadani na kuwasafirisha kwenda Dodoma mjini kwa ajili ya kuwachinja na kuuza nyama",-6.0889356 35.4914026 916.8480717087003 4.9,3d5a9b64-dc0e-11ec-9416-9440c9ab47f0
1145624,2022-05-13,2022-05-13,2022-05-13,2022-05-13,6,dodoma,bahi,kigwe,kigwe,kigwe,1,Muuzaji,0,0,0,NA,-6.0890344 35.491409 921.5667065026543 4.6,411ce19e-dc0e-11ec-9416-9440c9ab47f0
1145625,2022-05-13,2022-05-13,2022-05-13,2022-05-13,6,dodoma,bahi,kigwe,kigwe,kigwe,1,Muuzaji,0,0,0,NA,-6.0890521 35.4913964 929.4819083595615 4.5,484ddbb8-dc0e-11ec-9416-9440c9ab47f0
