place,ward.A,dist.A,reg.A
kona.ya.miyagala,minyagala,tanganyika,tanganyika
kungwi,sibwesa,tanganyika,tanganyika
kuuza.kenya,silali,silali,silali
laini,laini,itilima.dc,simiyu
laini.meatu.langangabiriri,laini.meatu.langangabiriri,itilima.na.meatu.maswa,itilima.na.meatu.maswa
laini.migato,laini.migato,itilima.dc,simiyu
lalago.mwakidiga.mwangongo,kishapu.na.lalago,kishapu.na.maswa,kishapu.na.maswa
lamadi,kata,lamadi,lamadi
likaye,igawa,malinyi.dc,morogoro
liloya,chikukwe,masasi.dc,mtwara
lipangalala,lipangalala,ifakara.tc,morogoro
luchingu.a,tulindane,newala.dc,mtwara
lugala,mbalaawala,bahi.dc,dodoma
lugoda,lugoda,mufindi.dc,iringa
luhafwe,tongwe,tanganyika,tanganyika
lukande,lukande,lukande,lukande
lundelunde,mumbaka,masasi.dc,mtwara
lunyala,majengo,nkasi.dc,rukwa
lupemenda,igawa,malinyi.dc,morogoro
lupunga,lupunga,malinyi.dc,morogoro
lyoma,ngudu,ngudu,ngudu
mabambasi,mabambasi,mpimbwe.dc,katavi
machombe,machombe,masasi.dc,mtwara
madukani,lipangalala,ifakara.tc,morogoro
mafinga,mafinga,mufindi.dc,iringa
magigiwe,magigiwe,magigiwe,magigiwe
magogo,sibwesa,tanganyika,tanganyika
magogo.sibwesa,sibwesa,tanganyika,tanganyika
magudugudu,magudugudu,chamwino.dc,dodoma
magula,magula,nsimbo.dc,katavi
mailisita,chanikanguo,masasi.dc,mtwara
majengo,majengo,mpanda.dc,katavi
makambako,makambako,njombe.dc,njombe
makambako,mji.mwema,njema,njema
makambako,mji.mwema,njombe.dc,njombe
makanda,makanda,makanda,makanda
maleza,kate,sumbawanga.dc,rukwa
maleza,maleza,sumbawanga.dc,rukwa
maligisu.kasoli,maligisu.kasoli,kwimba.bariadi,kwimba.bariadi
mandang.ombe,mbaragane,maswa.dc,simiyu
mango,mango,bariadi.tc,simiyu
mapo,mapo,mapo,mapo
masasi,chanikanguo,masasi.dc,mtwara
masasi,masasi,masasi.dc,mtwara
masasi,masasi,nanyumbu.dc,mtwara
masasi.dar.es.salaam.newala,masasi.dar.es.salaam.newala,masasi.newala,masasi.newala
masasi.mjini,chipole,masasi.dc,mtwara
masasi.mjini,mwengemtapika,masasi.dc,mtwara
masasi.mjini,napupa,masasi.dc,mtwara
masasi.mtangalanga.chitekete.makonga,mitesa.mbuyuni.newala.mji,newala.masasi,newala.masasi
mashete,mashete,nkasi.dc,rukwa
mashete,mashetw,nkasi.dc,rukwa
masimba,masimba,chemba.dc,dodoma
masinda,masinda,chemba.dc,dodoma
masuguru,masuguru,masuguru,masuguru
maswa,maswa,shinyanga.dc,shinyanga
matawale,matawale,masasi.dc,mtwara
matemela,matemela,matemela,matemela
mavimba,mavimba,ulanga.dc,morogoro
mavimba,milola,ulanga.dc,morogoro
mavimba.itobanilo,milola,ulanga.dc,morogoro
mavimba.kaliagogo.nyumbani,milola,ulanga.dc,morogoro
mavimba.kanyagatwende,milola,ulanga.dc,morogoro
mavimba.kijijini,milola,ulanga.dc,morogoro
mawale,parakuyo,kilosa.dc,morogoro
mayale,mayale,wanging.ombe.dc,njombe
mayamaya,mayamaya,bahi.dc,dodoma
maziwa,maziwa,bahi.dc,dodoma
mbagalambuyuni,kata.mkonona,nanyumbu.dc,mtwara
mbalagani,mbalagani,maswa.dc,simiyu
mbao,mbao,momba.dc,songwe
mbao,mkomba,momba.dc,songwe
mbaragane,mbaragane,maswa.dc,simiyu
mbeha,mbeha,mvomero.dc,morogoro
mbeya,mbeya,mbeya.dc,mbeya
mbeya,mbeya,mwanjelwa,mwanjelwa
mbeya.iringa.na.newala,mbeya.iringa.na.newala,mbeya.iringa.na.newala,mbeya.iringa.na.newala
mbeya.mjini,mbeya.mjini,mbeya.dc,mbeya
mbugani,banemhi,bariadi.dc,simiyu
mbuyu.kwa.mbuyu,mbuyu.kwa.mbuyu,nanyumbu.dc,mtwara
mdenga.nandagala.mmbulu,nangoo.nandagala,nangoo.lindi,nangoo.lindi
megelo,migelo,megelo,megelo
meta,meta,newala.dc,mtwara
meta,newala,newala.dc,mtwara
mgongoni,sibwesa,tanganyika,tanganyika
migato.laini.tundaburigi,tindaburigi,itilima.na.meatu,itilima.na.meatu
mihale,mihale,bunda.dc,mara
mikang.ombe,katuma,tanganyika,tanganyika
mikochi,namwawala,mlimba,mlimba
mikochi.nyumbani,namwawala,mlimba,mlimba
mikochini,namawala,mlimba,mlimba
milala,milala,tanganyika,tanganyika
milimate,milimate,nsimbo.dc,katavi
milinda,mpembe,tanganyika,tanganyika
milola,milola,ulanga.dc,morogoro
milunda,milunda,masasi.dc,mtwara
milundelunde,mumbaka,masasi.dc,mtwara
minyagala,mnyagala,tanganyika,tanganyika
minyagala,sibwesa,tanganyika,tanganyika
minyula,kate,namanyere,namanyere
miomboni,mofu,mlimba,mlimba
miomboni.nyumbani,mofu,mlimba,mlimba
mirinda,kapalamsenga,tanganyika,tanganyika
misufini.uhuru.park,misufini,morogoro.mc,morogoro
mitobo,burabujiga,bariadi.tc,simiyu
mitumbati,mitumbati,mitumbati,mitumbati
mitumbati,mkonona,mkonona,mkonona
miwangani.idete,namwawala,mlimba,mlimba
miyagala,sibwesa,tanganyika,tanganyika
miyomboni,mofu,mlimba,mlimba
miyula,kate,namanyere,namanyere
mkalenda,mkalenda,newala.dc,mtwara
mkochini,namawala,mlimba,mlimba
mkokwa,mwamkulu,mpanda.dc,katavi
mkole,mkole,nkasi.dc,rukwa
mkomange,igawa,malinyi.dc,morogoro
mkomba,mkomba,momba.dc,songwe
mkudumba,newala,newala.dc,mtwara
mkunyikwa,mad,mb,mb
mmbwendi,mkangale,nkasi.dc,rukwa
mnadani.kidinda,kidinda,bariadi.tc,simiyu
mnarani,mnarani,ifakara.tc,morogoro
mnyagala,mnyagala,tanganyika,tanganyika
mnyagala,sibwesa,tanganyika,tanganyika
mnygala,mnyagala,tanganyika,tanganyika
moba,kashishi,mpimbwe.dc,katavi
mofu,mofu,mlimba,mlimba
mofu.nyumbani,mofu,mlimba,mlimba
mogero,mawindi,mba,mba
mondo,mnyagala,tanganyika,tanganyika
mpanda,majalila,mpanda.dc,katavi
mpemba.tunduma,mpemba,momba.dc,songwe
mpembe,katuma,tanganyika,tanganyika
mpembe,mpembe,tanganyika,tanganyika
mpinga,kigwe,kigwe,kigwe
mpinga,mpinga,bahi.dc,dodoma
mpolo,utengule.usangu,utengule.usangu,utengule.usangu
msadia,nyambwe,mpimbwe.dc,katavi
msalama,songea,songea.dc,ruvuma
msembeta,msembeta,dodoma.cc,dodoma
msikisi.farm.17.ndomoni.ndomondo,msikisi.nachingwea,masasi.nachingwea,masasi.nachingwea
mtakuja,minyagala,tanganyika,tanganyika
mtakuja,sibwesa,tanganyika,tanganyika
mufindi,mufindi,mufindi.dc,iringa
muhunze,kata,kishapu.dc,shinyanga
mumbaka,mumbaka,masasi.dc,mtwara
muze,muze,mpimbwe.dc,katavi
mwabuhi,kabila,kwimba.dc,mwanza
mwakibiga,mwakidiga,maswa.dc,simiyu
mwakilalo,nyangokolo,bariadi.dc,simiyu
mwakulu,mwakulu,tanganyika,tanganyika
mwamkulu,mwamkulu,mpanda.dc,katavi
mwamkulu,mwamkulu,nkasi.dc,rukwa
mwamkulu,mwamkulu,nsimbo.dc,katavi
mwamnkulu,mwamnkulu,tanganyika,tanganyika
mwamwapuli,sibwesa,tanganyika,tanganyika
mwanangwa,mwanangwa,masasi.dc,mtwara
mwankulu,mwamnkulu,tanganyika,tanganyika
mwankwaya,banehmi,bariadi.dc,simiyu
mwanza.machinjioni,mwanza.machinjioni,mwanza.machinjioni,mwanza.machinjioni
mwenge,mwengemtapika,masasi.dc,mtwara
mwengemtapika,mwengemtapika,masasi.dc,mtwara
mweniemba,mkuru,momba.dc,songwe
mwese,mwese,tanganyika,tanganyika
mwiji,mwiji,chunya.dc,mbeya
n.gwang.wale,kamondo,bariadi.tc,simiyu
nachingwea,nachingwea,nachingwea.dc,lindi
nairombo,nairombo,masasi.dc,mtwara
nakarara,nakarara,masasi.dc,mtwara
namwawala,namwawala,malinyi.dc,morogoro
namwawala,namwawala,mlimba,mlimba
nandangala,nandagala,rungwe.dc,mbeya
nangaya,mwengemtapika,masasi.dc,mtwara
nangwala,nangwala,newala.dc,mtwara
nanji.igumbilo,milola,ulanga.dc,morogoro
nanyumbu.masasi.mjini.maparawe,nanyumbu.napupa.mchauru,masasi.nanyumbu,masasi.nanyumbu
nanyumbu.tabora.mbeya.sumbawanga,nanyumbu.mbeya.sumbawanga.tabora,nanyumbu.mbeya.tabora.sumbawanga,nanyumbu.mbeya.tabora.sumbawanga
napupa,napupa,masasi.dc,mtwara
nchinila,nchinila,bahi.dc,dodoma
ndibwa,ndibwa,masasi.dc,mtwara
nduha,kabila,kwimba.dc,mwanza
newala,newala,masasi.dc,mtwara
newala,newala,newala.dc,mtwara
newala.na.nanyumbu,newala.na.nanyumbu,newala.na.nanyumbu,newala.na.nanyumbu
ng.wang.aranga,ng.wang.aranga,kwimba.dc,mwanza
ngalaiwe,igangwe,chunya.dc,mbeya
ngalaiwe,ngalaiwe,chunya.dc,mbeya
ngeme,mwamaplalal,bariadi.tc,simiyu
ngudu,ngudu,ngudu,ngudu
nhundi,gatuli,kwimba.dc,mwanza
njombe,anasambaza.kata.mbali.mbali,njombe.dc,njombe
njombe,chaugingi,njombe.dc,njombe
njombe,chaugingi,rujewa,rujewa
njombe,mji.mwema,njombe.dc,njombe
njombe,njombe,njombe.dc,njombe
nkhwenda,nkhwenda,bahi.dc,dodoma
nkuli,ikungu,bariadi.dc,simiyu
nkungwi,sibwesa,tanganyika,tanganyika
nkuswe,nkuswe,nkuswe,nkuswe
nkwavii,isangawana,chunya.dc,mbeya
ntalamila,intamila,sumbawanga.dc,rukwa
ntalamila,ntalamila,namanyere,namanyere
ntuchi,ntuchi,namanyere,namanyere
ntula,kashishi,mpimbwe.dc,katavi
ntungwa,mkomba,mkomba,mkomba
nyakiswa,nyakiswa,musoma.dc,mara
nyambwe,nyambwe,mpimbwe.dc,katavi
nyamswa,nyamuswa,bariadi.tc,simiyu
nyangokorwa,nyangokorwa,bariadi.dc,simiyu
nyashimo,kalemela,magu.dc,mwanza
nyashimo,kibinda,busega.dc,simiyu
nyashimo,nyashimo,busega.dc,simiyu
nyatwali,nyatwali,bunda.dc,mara
nyumbani.lukande,lukande,lukande,lukande
nyumbani.mnadani,mnadani,maswa.dc,simiyu
paramawe,paramawe,namanyere,namanyere
paramawe,paramawe,nkasi.dc,rukwa
pugu,pugu,kibaha.dc,pwani
pugu,pugu,pugu,pugu
pwani.dar.es.salaam,pwani.dar.es.salaam,pwani.dar.es.salaam,pwani.dar.es.salaam
sagamaganga,signal,ifakara.tc,morogoro
sagamaganga,signali,ifakara.tc,morogoro
sagamaganga.nyumbani,signal,ifakara.tc,morogoro
saja,nagelo,handeni.dc,tanga
saja,tanga,kilindi.dc,tanga
salama,haya,kwimba.dc,mwanza
salulu,signali,ifakara.tc,morogoro
sanga,sanga,busega.dc,simiyu
santa.maria,mwamkulu,tanganyika,tanganyika
santamaria,kabwaga,tanganyika,tanganyika
sante,mkomba,momba.dc,songwe
sebwesa,sibwesa,tanganyika,tanganyika
senga,kamsamba,kamsamba,kamsamba
sentaunyenya,madiru,mpimbwe.dc,katavi
sentemalaria,sibwesa,tanganyika,tanganyika
serengeti,nyatwali,bunda.tc,mara
serengeti,nyatwali,mara,mara
sibwesa,sibwesa,tanganyika,tanganyika
sibwesa,simbwesa,tanganyika,tanganyika
signal.kipingo,signal,ifakara.tc,morogoro
silali,silali,silali,silali
songambele,inyonga,inyonga,inyonga
songambele,kamsisi,mlele.dc,katavi
songea,songea,songea.dc,ruvuma
songea,songea,songea.mc,ruvuma
songwe,ukululu,mbozi.dc,songwe
sululu,signal,ifakara.tc,morogoro
sumabwanga,sumabwanga,sumbawanga.dc,rukwa
sumbawanga,kantalamba,sumbawanga.dc,rukwa
sumbawanga,maswi,sumbawanga.dc,rukwa
sunsula,sunsula,bariadi.dc,simiyu
tabora,tabora,tabora.mc,tabora
tanga.kilwa,zinga,kilwa.dc,lindi
tulindane,tulindane,newala.dc,mtwara
tuliza.moyo,milola,ulanga.dc,morogoro
tulizamoyo.igumbiro,milola,ulanga.dc,morogoro
tumaini,itenka,tumaini,tumaini
tunduma,mwaka,momba.dc,songwe
tunduma,sogea,songwe.dc,songwe
tunduma,tunduma,momba.dc,songwe
tupendane,tulindane,newala.dc,mtwara
turiani,turiani,mvomero.dc,morogoro
udimaa,kintinku,bahi.dc,dodoma
udui,udui,bariadi.dc,simiyu
ugoda,lugoda,mufindi.dc,iringa
ulwilaulwila,ulwilaulwila,nsimbo.dc,katavi
upanga,silabu,masasi.dc,mtwara
uponera.ibuyu,uponera,ulanga.dc,morogoro
uwanja.fisi,napupa,masasi.dc,mtwara
uwanja.wa.fisi,napupa,masasi.dc,mtwara
uwanja.wa.fisi,wapiwapi,masasi.dc,mtwara
viwanja.sitini,viwanja.sitini,ifakara.tc,morogoro
viwanjasitini.nyumbani,viwanjasitini,ifakara.tc,morogoro
wami.sokoine,dakawa,mvomero.dc,morogoro
wapiwapi,napupa,masasi.dc,mtwara
wapiwapi,silabu,masasi.dc,mtwara
