"fid.see.mrktc.generalinfo.","unique.row.id.see.mrktc.generalinfo.","unique.row.id","1.what.are.the.activities.that.you.are.doing.in.this.market.today.","if.other.specify.5","type.of.place.see.mrktc.lkpsell.placetype.","if.other.specify","name.of.place.8","ward.9","district.10","3.what.is.your.main.reason.for.selling.these.sheep.and.or.goats.","if.other.specify.12","4.how.were.sheep.goats.transported.to.the.market.see.mrktc.lkpsell.trans.","if.other.specify.14","5.do.you.also.sell.other.animal.species.apart.from.sheep.and.goats.","if.yes.out.of.all.the.species.that.you.sell.which.species.do.you.sell.the.most.","if.other.specify.17","will.you.transport.the.sheep.goats.you.are.buying.today.","type.of.place.see.mrktc.lkpplacetype.","if.other.specify.20","name.of.place.21","ward.22","district.23","7.what.is.your.main.reason.for.buying.these.small.ruminants.","if.other.specify.25","8.how.will.you.transport.these.small.ruminants.that.you.are.buying.see.mrktc.lkpsell.trans.","if.other.specify.27","9.what.criteria.do.you.use.to.decide.which.small.ruminants.to.buy.","if.other.specify.29","10.what.other.species.of.animals.do.you.buy.apart.from.sheep.and.goats.","if.other.specify.31","11.if.the.prices.of.sheep.and.goats.increase.for.some.reason.e.g.a.shortage.of.animals.due.to.disease.will.you.still.buy.them.","if.no.which.other.species.will.you.consider.instead.","if.other.specify.34","if.yes.how.much.of.an.increase.in.the.current.price.of.sheep.and.goat.unit.price.of.live.animal.will.cause.you.to.change.your.purchasing.behaviour.to.another.animal.species","12.how.many.times.in.a.month.do.you.buy.or.sell.sheep.and.or.goats.in.this.market.","unique.row.identifier.uuid."
1144633,1,1,"1",NA,1,NA,"Chinyika","Mpendo","Nchemba","2 3",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"673638a7-dc08-11ec-9416-9440c9ab47f0"
1144634,1,1,"1",NA,1,NA,"Babayu","Babayu","Bahi","2",NA,1,NA,1,"4 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"789c69e7-dc08-11ec-9416-9440c9ab47f0"
1144635,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Makorongo","Makorongo","Nchemba","2",NA,1,NA,"3 4",NA,"1",NA,0,"-66","Sitanunua maana bei itakua  juu kwa kila mfugo .",NA,1,"75cd2725-dc08-11ec-9416-9440c9ab47f0"
1144636,1,1,"1",NA,1,NA,"Maziwa","Nchemba","Nchemba","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6684a81d-dc08-11ec-9416-9440c9ab47f0"
1144637,1,1,"3",NA,3,NA,"Kongogo","Babayu","Bahi","1",NA,-66,"Nimewakuta hapa hapa mnadani nikaanza kununua na kisha kuwauzaa hapa hapa",0,NA,NA,0,NA,NA,NA,NA,NA,"1",NA,-66,"Siwasafirishi nawauza hapa hapa","3 4 1 2",NA,"-66","Hapana",0,"-66","Sitanunua maana biashara yangu ni ya u uchuuzi  wa mbuzi na kondoo tu",NA,1,"6d13f418-dc08-11ec-9416-9440c9ab47f0"
1144638,1,1,"3",NA,3,NA,"Kongogo","Babayu","Bahi","1",NA,-66,"Sijawatoa  popote  nimenunua hapa hapa na ninawauzia hapa hapa",0,NA,NA,0,NA,NA,NA,NA,NA,"1",NA,-66,"Siwasafirishi","1 2 3 4",NA,"-66","Hapana",0,"-66","Ntaacha tu kufanya biashara",NA,1,"6c6fd5a2-dc08-11ec-9416-9440c9ab47f0"
1144639,1,1,"-66 4","Nanunua naenda kuchinja naweka buchani",3,NA,"Kongogo","Babayu","Bahi","-66","Kuuza kama nyama",-66,"Mimi ni mnunuzi  tu",0,NA,NA,1,2,NA,"Mnada wa zamani","Miyuji","Dodoma mjini","6 5",NA,2,NA,"1 3 2 4",NA,"-66","Hapana",1,NA,NA,2e+05,1,"6d88c217-dc08-11ec-9416-9440c9ab47f0"
1144640,1,1,"1",NA,1,NA,"Babayu","Babayu","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66345545-dc08-11ec-9416-9440c9ab47f0"
1144641,1,1,"1",NA,3,NA,"Kongogo","Babayu","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6c9223c5-dc08-11ec-9416-9440c9ab47f0"
1144642,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,"Dodoma","Msalato","Bahi","1",NA,2,NA,"-66 3 6","UKubwa  wa mbuzi",NA,NA,1,NA,NA,85000,1,"6515cfba-dc08-11ec-9416-9440c9ab47f0"
1144643,1,1,"1",NA,1,NA,"Chase","Babayu","Bahi","2 6",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64b57c10-dc08-11ec-9416-9440c9ab47f0"
1144644,1,1,"1",NA,1,NA,"Tinai","Msisi","Bahi","2",NA,1,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"648125a2-dc08-11ec-9416-9440c9ab47f0"
1144645,1,1,"1",NA,1,NA,"Masinda","Masinda","Chemba","2 6",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"794bf752-dc08-11ec-9416-9440c9ab47f0"
1144646,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,"Pugu","Pugu","Kibaha","1",NA,2,NA,"3 -66","Uzito kwa kilo namuangalia tu  ili kupata faida kubwa",NA,NA,1,NA,NA,75000,1,"79377b21-dc08-11ec-9416-9440c9ab47f0"
1144647,1,1,"1",NA,1,NA,"Maziwa","Chemba","Chemba","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6fc0a2f0-dc08-11ec-9416-9440c9ab47f0"
1144648,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,"Dodoma","Msalato","Bahi","1",NA,2,NA,"3 -66","Ukubwa wa mbuzi na kondoo piaa",NA,NA,NA,NA,NA,NA,NA,"70359636-dc08-11ec-9416-9440c9ab47f0"
1144649,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,"Dodoma","Msalato","Dodoma jini","1",NA,1,NA,"3 -66 2","Uzito kwa kilo","1",NA,1,NA,NA,85000,12,"723aded4-dc08-11ec-9416-9440c9ab47f0"
1144650,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,"Msalato","Msalato","Dodoma mjini","1",NA,2,NA,"2 -66 3","Ubora wa mfugo",NA,NA,NA,NA,NA,NA,NA,"7150ff2d-dc08-11ec-9416-9440c9ab47f0"
1144651,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-66,"Nanunua kwaajili ya kuchinja hapa mnadani","Kongogo","Babayu","Bahi","8",NA,1,NA,"-66","naangaliwa uzito na kilo tu",NA,NA,1,NA,NA,75000,1,"78f15056-dc08-11ec-9416-9440c9ab47f0"
1144652,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Lukali","Lukali","Bahi","5",NA,1,NA,"3 -66","Kwa kuipendaa",NA,NA,1,NA,NA,80000,1,"673c1ea5-dc08-11ec-9416-9440c9ab47f0"
1145138,1,1,"-66","Kununua mbuzi/kondoo kwa ajili ya kuchinja hapa mnadani",1,NA,"Mnkola","Ibihwa","Bahi","-66","Kuuza nyama",1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"-66","Nanunua mbuzi/kondoo na kuchinja hapa mnadani kwa ajili ya kuuza nyama",2,NA,"1 3",NA,"-66","Sinunui aina nyingine ya wanyama",1,NA,NA,NA,1,"6dcd5dce-dc08-11ec-9416-9440c9ab47f0"
1145139,1,1,"1",NA,1,NA,"Mnkola","Ibihwa","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"797b4b34-dc08-11ec-9416-9440c9ab47f0"
1145140,1,1,"1",NA,1,NA,"Ibihwa","Ibihwa","Bahi","2",NA,1,NA,1,"1 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71cf5fcd-dc08-11ec-9416-9440c9ab47f0"
1145141,1,1,"2",NA,1,NA,"Mpamantwa","Mpamantwa","Bahi","1",NA,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"-66","Nimekuja kuuza",1,NA,"3 2",NA,"-66","Hakuna",1,NA,NA,130000,1,"6c0b4456-dc08-11ec-9416-9440c9ab47f0"
1145142,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Ilindi","Ilindi","Bahi","5",NA,1,NA,"3 1",NA,"1",NA,0,"-66","Sitanunua",NA,1,"6d76d2fd-dc08-11ec-9416-9440c9ab47f0"
1145143,1,1,"3",NA,1,NA,"Mnkola","Ibihwa","Bahi","1 -66","Kununua nbuzi/kondoo na kuwapeleka kiwandani Kibaha",1,NA,0,NA,NA,1,2,NA,"Kibaha kiwandani","Kibaha","Kibaha","1",NA,2,NA,"3 1",NA,"-66","Sinunui wanyama wengine",1,NA,NA,1e+05,1,"76929439-dc08-11ec-9416-9440c9ab47f0"
1145146,1,1,"2",NA,3,NA,"Mnkola","Ibihwa","Bahi","1",NA,-66,"Nawakuta tu mnadani hapa hapa",0,NA,NA,0,NA,NA,NA,NA,NA,"1",NA,-66,"Sisafirishi","1 4 5",NA,"-66","Hapana",0,"4",NA,NA,1,"675076eb-dc08-11ec-9416-9440c9ab47f0"
1145147,1,1,"1",NA,1,NA,"Ibihwa","Ibihwa","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"757cab11-dc08-11ec-9416-9440c9ab47f0"
1145148,1,1,"1",NA,1,NA,"Kintinku","Kintinku","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6f4fc9ae-dc08-11ec-9416-9440c9ab47f0"
1145149,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Lamaiti","Lamaiti","Bahi","2",NA,2,NA,"1 2 3 4",NA,"-66","Hapana",0,"-66","Hapana",NA,1,"712a58e1-dc08-11ec-9416-9440c9ab47f0"
1145150,1,1,"1",NA,1,NA,"Udimaa","Kintinku","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6956f04f-dc08-11ec-9416-9440c9ab47f0"
1145151,1,1,"2",NA,1,NA,"Ilindi","Ilindi","Bahi","1",NA,1,NA,1,"1",NA,0,NA,NA,NA,NA,NA,"1",NA,-66,"Hapana sisafirishi","1 2 3",NA,"1",NA,1,NA,NA,0,1,"765e383f-dc08-11ec-9416-9440c9ab47f0"
1145152,1,1,"2",NA,1,NA,"Mindolaa","Ilindi","Bahi","1",NA,-66,"Nimewakuta hapa hapa  mnadani",0,NA,NA,0,NA,NA,NA,NA,NA,"1",NA,-66,"Sisafirishi","1 2 3 4",NA,"-66","Hapana",1,NA,NA,0,1,"6e92ec78-dc08-11ec-9416-9440c9ab47f0"
1145153,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Mnkola","Ibihwa","Bahi","5",NA,1,NA,"1 2 3",NA,"-66","Hapana",0,"-66","Hapana sitanunua",NA,0,"63c8768e-dc08-11ec-9416-9440c9ab47f0"
1145154,1,1,"1",NA,1,NA,"Mkakatika","Mpamantwa","Bahi","-66","Nakuja kuuza kwaajili ya kupata ela ya kununua mbolea kwaajili ya kilimo",1,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73b6ee8c-dc08-11ec-9416-9440c9ab47f0"
1145155,1,1,"1",NA,1,NA,"Mnkola","Mnkola","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"772eb908-dc08-11ec-9416-9440c9ab47f0"
1145156,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"Mnkola","Ibihwa","Bahi","3",NA,1,NA,"-66","Nambonyeza Tumbo kupima uzito na kilo","4",NA,1,NA,NA,90000,2,"75b72945-dc08-11ec-9416-9440c9ab47f0"
1145157,1,1,"3",NA,-66,"Nawatoa m8nada tofauti tofauti",NA,NA,NA,"1",NA,-66,"Mimi nakuja tu kununua mifugo na kusafirisha mikoani",1,"1 4",NA,1,2,NA,"Dar es salam","Pugu","Temeke","1",NA,2,NA,"1 2 3",NA,"1 4",NA,1,NA,NA,1e+06,1,"6e1424fe-dc08-11ec-9416-9440c9ab47f0"
1145158,1,1,"1",NA,1,NA,"Mnkola","Ibihwa","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"691760ee-dc08-11ec-9416-9440c9ab47f0"
1145159,1,1,"1",NA,1,NA,"Mnkola","Ibihwa","Bahi","2 -66","Wakati mwingine nanunua na kuuza hapahapa",1,NA,1,"4 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6f8d4be4-dc08-11ec-9416-9440c9ab47f0"
1145160,1,1,"3",NA,1,NA,"Mnkola","Ibihwa","Bahi","1",NA,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"-66","Nanunua na kuuza hapa mnadani",1,NA,"-66","Naangalia kwa macho tu kama ni mzuri au kubwa itakayonipa faida",NA,NA,1,NA,NA,85000,1,"762c9d0a-dc08-11ec-9416-9440c9ab47f0"
1145161,1,1,"1",NA,1,NA,"MNkola","Ibihwa","Bahi","2",NA,1,NA,1,"1 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6465370f-dc08-11ec-9416-9440c9ab47f0"
1145162,1,1,"3",NA,1,NA,"Mnkola","Ibihwa","Bahi","4 2 1 3",NA,NA,NA,0,NA,NA,1,2,NA,"Kizota","Kizota","Dodoma mjini","1",NA,2,NA,"1 2 3",NA,NA,NA,1,NA,NA,80000,4,"28f1654b-dc16-11ec-9416-9440c9ab47f0"
1145163,1,1,"1",NA,1,NA,"Ibihwa","Ibihwa","Bahi","2 4",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2de9d6e0-dc16-11ec-9416-9440c9ab47f0"
1145164,1,1,"1",NA,1,NA,"Mnkola","Ibihwa","Bahi","3 2",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2f81391b-dc16-11ec-9416-9440c9ab47f0"
1145165,1,1,"2 3",NA,1,NA,"Mkakatika","Mpamantwa","Bahi","2",NA,NA,NA,0,NA,NA,1,1,NA,"Mkakatika","Mpamantwa","Bahi","1",NA,1,NA,"1 2 3",NA,"4",NA,0,NA,NA,NA,3,"2844ed8a-dc16-11ec-9416-9440c9ab47f0"
1145166,1,1,"1",NA,1,NA,"Mkakatika","Mpamantwa","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26438c1c-dc16-11ec-9416-9440c9ab47f0"
1145167,1,1,"1",NA,1,NA,"Ibihwa","Ibihwa","Bahi","2 5",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23aac8ba-dc16-11ec-9416-9440c9ab47f0"
1145168,1,1,"2",NA,3,NA,"Mnkola","Ibihwa","Bahi","2",NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1 3",NA,NA,NA,0,NA,NA,NA,1,"2d725dfe-dc16-11ec-9416-9440c9ab47f0"
1145169,1,1,"1",NA,1,NA,"Mindola","Ilindi","Bahi","5 2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"219b8db2-dc16-11ec-9416-9440c9ab47f0"
1145585,1,1,"1",NA,1,NA,"Mkombola","Chigongwe","Dodoma mjini","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"217afdc0-dc16-11ec-9416-9440c9ab47f0"
1145586,1,1,"3",NA,3,NA,"Kigwe","Kigwe","Bahi","1 2",NA,2,NA,1,NA,NA,1,2,NA,"Kibaha","Soga","Kibaha","1",NA,2,NA,"1 2 3 4 5",NA,"1",NA,0,"1",NA,NA,6,"2cd6bef6-dc16-11ec-9416-9440c9ab47f0"
1145587,1,1,"2",NA,1,NA,"Kigwe","Kigwe","Bahi","2",NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,"1",NA,-66,"Siondoki na mifugo","1 2 3",NA,NA,NA,0,NA,NA,NA,2,"265d8c28-dc16-11ec-9416-9440c9ab47f0"
1145588,1,1,"1",NA,1,NA,"Kimendeli","Chikola","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2145ba6b-dc16-11ec-9416-9440c9ab47f0"
1145589,1,1,"1",NA,1,NA,"Mhurugano","Chikola","Bahi","1 2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27f9b7e1-dc16-11ec-9416-9440c9ab47f0"
1145590,1,1,"1",NA,1,NA,"Mpinga","Kigwe","Bahi","2 5",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2cb0c71f-dc16-11ec-9416-9440c9ab47f0"
1145591,1,1,"1",NA,1,NA,"Bahi","Bahi","Bahi","2",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2543190a-dc16-11ec-9416-9440c9ab47f0"
1145592,1,1,"1",NA,1,NA,"Majili","Sasagila","Manyoni","2 1",NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"268c58c4-dc16-11ec-9416-9440c9ab47f0"
