"","4.sell.transport.other"
"87","Nitawakuta mnadani"
"88","Bajaj"
"89","Natumia pikipiki"
"90","Ananunua kwa wafugaji wanaoleta mifugo hapa mnadani."
"91","Anawanunua hapa mnadani"
"92","Amewanunua mnada huu wa Rujewa"
"93","Amenunua hapo mnadana"
"94","Pikipiki kwa kuwatoa kwenye tenga."
"95","Nimewakuta mnadani"
"96","Anawanunua kwa wafugaji walioleta hapa mnadani."
"97","Amewanunua hapa hapa mnadani kwa wafugaji."
"98","Amewanunua hapo  mnadani"
"99","Amewanunua hapa hapa"
"100","Hajawasafirisha Amewanunua hapa hapa."
"101","Nimewanunua mnadani"
"102","Anawanunua hapa mnadani kwa wafugaji."
"103","Ananunua hapa mnadani"
"104","Amewakuta hapa mnadani na kawanunua hapahapa"
"105","Amewakuta hapa mnadani"
"106","Anadalalia bei kati ya mfugaji na mnunuzi"
"107","Kanunua hapo mnadani"
"108","Kanunua hao mnadani"
"109","Kanunua mnadani"
"110","Nawakuta wanyama mnadani wakiwa wameletwa kwa miguu na wafugaji"
"111","Amewanunua hapa hapa mnadani."
"112","Hajaja na mbuzi mnadani ila amewanunua mnadani."
"113","Hasafirishi kwenda sehemu yoyote"
"114","Wanyama alionao amewanunua mnadani"
"115","Hasafirishi wanyama, huwauza wote mnadani."
"116","Kwa mguu au pikipiki"
"117","Amewanunua hapa"
"118","Hajawasafirisha amewanunua hapa hapa."
"119","Huwakuta mifugo mnadani"
"120","Amewanunua mnadani humu humu"
"121","Hajawasafirisha, Amewanunua hapa hapa."
"122","Amewanunua hapa hapa."
"123","Muuzaji ndio anafaham yeye kawakuta hapo mnadani"
