"","place","wdr.A","wdr.B","dist"
"108","njaula","mzia-mvomero.dc-morogoro","mzinga-morogoro.mc-morogoro",0.111111111111111
"109","njeula.nyumbani","mziha-mvomero.dc-morogoro","mzinga-morogoro.mc-morogoro",0.177777777777778
"110","njeura","mziha-mvomero.dc-morogoro","mzinga-morogoro.mc-morogoro",0.177777777777778
"111","sagamaganga","signal-ifakara.tc-morogoro","singisa-morogoro.dc-morogoro",0.217460317460317
"112","sagamaganga","signali-ifakara.tc-morogoro","singisa-morogoro.dc-morogoro",0.206349206349206
"113","sagamaganga.nyumbani","signal-ifakara.tc-morogoro","singisa-morogoro.dc-morogoro",0.217460317460317
"114","salulu","signali-ifakara.tc-morogoro","singisa-morogoro.dc-morogoro",0.206349206349206
"115","signal.kipingo","signal-ifakara.tc-morogoro","singisa-morogoro.dc-morogoro",0.217460317460317
"116","sululu","signal-ifakara.tc-morogoro","singisa-morogoro.dc-morogoro",0.217460317460317
"117","tanga","tanga-malinyi.dc-morogoro","kanga-mvomero.dc-morogoro",0.133333333333333
"118","tuliza.moyo","milola-ulanga.dc-morogoro","dumila-kilosa.dc-morogoro",0.222222222222222
"119","tuliza.moyo","milola-ulanga.dc-morogoro","malolo-kilosa.dc-morogoro",0.222222222222222
"120","tuliza.moyo","milola-ulanga.dc-morogoro","ilonga-ulanga.dc-morogoro",0.222222222222222
"121","tuliza.moyo","milola-ulanga.dc-morogoro","melela-mvomero.dc-morogoro",0.222222222222222
"122","tulizamoyo.igumbiro","milola-ulanga.dc-morogoro","dumila-kilosa.dc-morogoro",0.222222222222222
"123","tulizamoyo.igumbiro","milola-ulanga.dc-morogoro","malolo-kilosa.dc-morogoro",0.222222222222222
"124","tulizamoyo.igumbiro","milola-ulanga.dc-morogoro","ilonga-ulanga.dc-morogoro",0.222222222222222
"125","tulizamoyo.igumbiro","milola-ulanga.dc-morogoro","melela-mvomero.dc-morogoro",0.222222222222222
"126","turiani","turiani-mvomero.dc-morogoro","kibaoni-ifakara.tc-morogoro",0.285714285714286
"127","turiani","turiani-mvomero.dc-morogoro","mlimani-morogoro.mc-morogoro",0.285714285714286
"128","uponera.ibuyu","uponera-ulanga.dc-morogoro","konde-morogoro.dc-morogoro",0.323809523809524
"129","viwanja.sitini","viwanja.sitini-ifakara.tc-morogoro","kiwanja.cha.ndege-morogoro.mc-morogoro",0.319327731092437
"130","viwanjasitini.nyumbani","viwanjasitini-ifakara.tc-morogoro","mkwatani-kilosa.dc-morogoro",0.346153846153846
"131","wami.sokoine","dakawa-mvomero.dc-morogoro","ifakara-ifakara.tc-morogoro",0.253968253968254
"132","bagamoyo","bagamoyo-pwani-pwani","janga-kibaha.dc-pwani",0.341666666666667
"133","bagamoyo","bagamoyo-pwani-pwani","kanga-mafia.dc-pwani",0.341666666666667
"134","chalinze","chalinze-chalinze.dc-pwani","mlanzi-kibiti.dc-pwani",0.347222222222222
"135","kiwanda.cha.kongoa.kibaha","kongoa-kibaha.dc-pwani","mkongo-rufiji.dc-pwani",0.111111111111111
"136","pugu","pugu-kibaha.dc-pwani","bungu-kibiti.dc-pwani",0.216666666666667
"137","bangamoyo","bangamoyo-bahi.dc-dodoma","jangalo-chemba.dc-dodoma",0.243386243386243
"138","bwawani","chikopelo-bahi.dc-dodoma","chikola-bahi.dc-dodoma",0.158730158730159
"139","chifutuka","chifutuka-bahi.dc-dodoma","churuku-chemba.dc-dodoma",0.243386243386243
"140","chiguluka","chiguluka-bahi.dc-dodoma","chinugulu-chamwino.dc-dodoma",0.243386243386243
"141","chiguluka","chiguluka-bahi.dc-dodoma","chikola-bahi.dc-dodoma",0.243386243386243
"142","chiguluka","chiguluka-bahi.dc-dodoma","churuku-chemba.dc-dodoma",0.243386243386243
"143","chilungulu","chilungulu-bahi.dc-dodoma","chinugulu-chamwino.dc-dodoma",0.107407407407408
"144","chimendeli","chimendeli-bahi.dc-dodoma","chiboli-chamwino.dc-dodoma",0.261904761904762
"145","dodoma","dodoma-dodoma.cc-dodoma","ovada-chemba.dc-dodoma",0.3
"146","dodoma","dodoma-dodoma.cc-dodoma","mondo-chemba.dc-dodoma",0.3
"147","dodoma","dodoma-dodoma.cc-dodoma","goima-chemba.dc-dodoma",0.3
"148","dodoma","dodoma.mjini-dodoma.cc-dodoma","kondoa.mjini-kondoa.tc-dodoma",0.194444444444444
"149","dodoma","kisasa-dodoma.cc-dodoma","kisese-kondoa.dc-dodoma",0.222222222222222
"150","dodoma","kisasa-dodoma.cc-dodoma","kimaha-chemba.dc-dodoma",0.222222222222222
"151","dodoma.na.dar.es.salaam","dodoma.na.dar.es.salaam-dodoma.cc-dodoma","mazae-mpwapwa.dc-dodoma",0.342028985507246
"152","isangha","isangha-bahi.dc-dodoma","msanga-chamwino.dc-dodoma",0.150793650793651
"153","kidoka","kidoka-chemba.dc-dodoma","mkoka-kongwa.dc-dodoma",0.177777777777778
"154","kintinku","kintinku-bahi.dc-dodoma","kingiti-mpwapwa.dc-dodoma",0.286904761904762
"155","kisasa","kisasa-dodoma.cc-dodoma","kisese-kondoa.dc-dodoma",0.222222222222222
"156","kisasa","kisasa-dodoma.cc-dodoma","kimaha-chemba.dc-dodoma",0.222222222222222
"157","kisasa","makuru-bahi.dc-dodoma","makutupora-dodoma.cc-dodoma",0.188888888888889
"158","kisima.cha.ndege","kisima.cha.ndege-bahi.dc-dodoma","kimaha-chemba.dc-dodoma",0.208333333333333
"159","kisima.ndege","kisima.cha.ndege-bahi.dc-dodoma","kimaha-chemba.dc-dodoma",0.208333333333333
"160","kongogo","kongogo-bahi.dc-dodoma","songoro-chemba.dc-dodoma",0.19047619047619
"161","lugala","mbalaawala-bahi.dc-dodoma","mbalawala-dodoma.cc-dodoma",0.107407407407408
"162","lukali","lukali-bahi.dc-dodoma","mlali-kongwa.dc-dodoma",0.177777777777778
"163","magaga","chifutuka-bahi.dc-dodoma","churuku-chemba.dc-dodoma",0.243386243386243
"164","magudugudu","magudugudu-chamwino.dc-dodoma","mundemu-bahi.dc-dodoma",0.342857142857143
"165","masimba","masimba-chemba.dc-dodoma","massa-mpwapwa.dc-dodoma",0.20952380952381
"166","masinda","masinda-chemba.dc-dodoma","manda-chamwino.dc-dodoma",0.0952380952380952
"167","mayamaya","mayamaya-bahi.dc-dodoma","mbalawala-dodoma.cc-dodoma",0.273148148148148
"168","maziwa","maziwa-bahi.dc-dodoma","mazae-mpwapwa.dc-dodoma",0.177777777777778
"169","maziwa","maziwa-chemba.dc-dodoma","mazae-mpwapwa.dc-dodoma",0.177777777777778
"170","mnkola","mnkola-bahi.dc-dodoma","mkoka-kongwa.dc-dodoma",0.177777777777778
"171","mpinga","mpinga-bahi.dc-dodoma","msanga-chamwino.dc-dodoma",0.222222222222222
"172","msembeta","msembeta-dodoma.cc-dodoma","membe-chamwino.dc-dodoma",0.125
"173","mzogole","mpinga-bahi.dc-dodoma","msanga-chamwino.dc-dodoma",0.222222222222222
"174","nchinila","nchinila-bahi.dc-dodoma","nhinhi-chamwino.dc-dodoma",0.180555555555556
"175","nkhome","nkhome-bahi.dc-dodoma","chang.ombe-dodoma.cc-dodoma",0.288888888888889
"176","nkhwenda","nkhwenda-bahi.dc-dodoma","mnenia-kondoa.dc-dodoma",0.277777777777778
"177","nkome","nkome-bahi.dc-dodoma","njoge-kongwa.dc-dodoma",0.266666666666667
"178","udimaa","kintinku-bahi.dc-dodoma","kingiti-mpwapwa.dc-dodoma",0.286904761904762
"179","biti","biti-bariadi.dc-simiyu","mbita-itilima.dc-simiyu",0.216666666666667
"180","bumhala","buhala-bariadi.dc-simiyu","bunamhala-bariadi.tc-simiyu",0.222222222222222
"181","buzunza","kidinda-bariadi.tc-simiyu","binza-maswa.dc-simiyu",0.323809523809524
"182","dudulu","dudulu-itilima.dc-simiyu","lugulu-itilima.dc-simiyu",0.222222222222222
"183","gasima","gasuma-bariadi.dc-simiyu","ngasamo-busega.dc-simiyu",0.217460317460317
"184","gasuma","gasuma-bariadi.dc-simiyu","ngasamo-busega.dc-simiyu",0.217460317460317
"185","giliku","giliku-bariadi.tc-simiyu","igalukilo-busega.dc-simiyu",0.222222222222222
"186","ibilishi","ibilishi-maswa.dc-simiyu","busilili-maswa.dc-simiyu",0.25
"187","ibolyo","ibolyo-bariadi.dc-simiyu","gilya-bariadi.dc-simiyu",0.3
"188","igegu","igegu-bariadi.dc-simiyu","lingeka-meatu.dc-simiyu",0.323809523809524
"189","iguru","iguru-bariadi.dc-simiyu","guduwi-bariadi.tc-simiyu",0.3
"190","ikunguligu","ikunguligu-itilima.dc-simiyu","lugulu-itilima.dc-simiyu",0.222222222222222
"191","jija","jija-bariadi.dc-simiyu","sima-bariadi.tc-simiyu",0.333333333333333
"192","kalemela","chamngasa-busega.dc-simiyu","isanga-bariadi.tc-simiyu",0.296296296296296
"193","kalemela","chamngasa-busega.dc-simiyu","sagata-itilima.dc-simiyu",0.296296296296296
"194","kalemela","chamngasa-busega.dc-simiyu","isanga-maswa.dc-simiyu",0.296296296296296
"195","kangabilili","kangabilili-itilima.dc-simiyu","lagangabilili-itilima.dc-simiyu",0.157226107226107
"196","kidalimanda","kidalimanda-bariadi.dc-simiyu","kimali-meatu.dc-simiyu",0.262626262626263
"197","kidinda","kidi-bariadi.dc-simiyu","kimali-meatu.dc-simiyu",0.25
"198","kidinda","kidi-bariadi.dc-simiyu","kulimi-maswa.dc-simiyu",0.25
"199","kidinda","kidinda-bariadi.dc-simiyu","binza-maswa.dc-simiyu",0.323809523809524
"200","kidinda","kidinda-bariadi.tc-simiyu","binza-maswa.dc-simiyu",0.323809523809524
"201","kidinda.mnadani","kidinda-bariadi.tc-simiyu","binza-maswa.dc-simiyu",0.323809523809524
"202","kidulya","kidinda-bariadi.tc-simiyu","binza-maswa.dc-simiyu",0.323809523809524
"203","kidulya","kidulya-bariadi.dc-simiyu","gilya-bariadi.dc-simiyu",0.20952380952381
"204","kidulya","kidulya-bariadi.dc-simiyu","mkula-busega.dc-simiyu",0.20952380952381
"205","kidulya","kidulya-bariadi.tc-simiyu","gilya-bariadi.dc-simiyu",0.20952380952381
"206","kidulya","kidulya-bariadi.tc-simiyu","mkula-busega.dc-simiyu",0.20952380952381
"207","kilabela","banemhi-bariadi.dc-simiyu","mwanhuzi-meatu.dc-simiyu",0.30952380952381
"208","kisesa","imalamoto-bariadi.dc-simiyu","malambo-bariadi.tc-simiyu",0.158730158730159
"209","laini","laini-itilima.dc-simiyu","malili-busega.dc-simiyu",0.261111111111111
"210","laini.migato","laini.migato-itilima.dc-simiyu","isanga-bariadi.tc-simiyu",0.316666666666667
"211","laini.migato","laini.migato-itilima.dc-simiyu","isanga-maswa.dc-simiyu",0.316666666666667
"212","lukungu","mwasamba-busega.dc-simiyu","mwamashimba-maswa.dc-simiyu",0.132575757575758
"213","lutubiga","mwasamba-busega.dc-simiyu","mwamashimba-maswa.dc-simiyu",0.132575757575758
"214","mandang.ombe","mbaragane-maswa.dc-simiyu","madobana-bariadi.dc-simiyu",0.305555555555556
"215","mango","mango-bariadi.tc-simiyu","mhango-bariadi.dc-simiyu",0.0555555555555556
"216","maswa","maswa-maswa.dc-simiyu","masela-maswa.dc-simiyu",0.177777777777778
"217","mbalagani","mbalagani-maswa.dc-simiyu","lamadi-busega.dc-simiyu",0.27037037037037
"218","mbaragane","mbaragane-maswa.dc-simiyu","madobana-bariadi.dc-simiyu",0.305555555555556
"219","mbugani","banemhi-bariadi.dc-simiyu","mwanhuzi-meatu.dc-simiyu",0.30952380952381
"220","meatu.simiyu","meatu-meatu.dc-simiyu","migato-itilima.dc-simiyu",0.3
"221","mitobo","burabujiga-bariadi.tc-simiyu","budalabujiga-itilima.dc-simiyu",0.227777777777778
"222","mnadani.kidinda","kidinda-bariadi.tc-simiyu","binza-maswa.dc-simiyu",0.323809523809524
"223","mwakibiga","mwakidiga-maswa.dc-simiyu","mwakisandu-meatu.dc-simiyu",0.221693121693122
"224","mwamagisi","chamngasa-busega.dc-simiyu","isanga-bariadi.tc-simiyu",0.296296296296296
"225","mwamagisi","chamngasa-busega.dc-simiyu","sagata-itilima.dc-simiyu",0.296296296296296
"226","mwamagisi","chamngasa-busega.dc-simiyu","isanga-maswa.dc-simiyu",0.296296296296296
"227","mwamagisi","mwasamba-busega.dc-simiyu","mwamashimba-maswa.dc-simiyu",0.132575757575758
"228","mwamashindike","mwabaratulu-maswa.dc-simiyu","mwabusalu-meatu.dc-simiyu",0.169612794612795
"229","mwankwaya","banehmi-bariadi.dc-simiyu","buchambi-maswa.dc-simiyu",0.286904761904762
"230","mwanzoya","itubukilo-bariadi.dc-simiyu","igalukilo-busega.dc-simiyu",0.222222222222222
"231","mwasamba","mwasamba-busega.dc-simiyu","mwamashimba-maswa.dc-simiyu",0.132575757575758
"232","n.gwang.wale","kamondo-bariadi.tc-simiyu","kadoto-maswa.dc-simiyu",0.253968253968254
"233","nasa","nyashimo-busega.dc-simiyu","ngasamo-busega.dc-simiyu",0.220238095238095
"234","ngeme","mwamaplalal-bariadi.tc-simiyu","mwamapalala-itilima.dc-simiyu",0.127272727272727
"235","nkuli","ikungu-bariadi.dc-simiyu","ikungulyabashashi-bariadi.dc-simiyu",0.215686274509804
"236","nyamikoma","nyamikoma-busega.dc-simiyu","nyamalapa-itilima.dc-simiyu",0.296296296296296
"237","nyamswa","nyamuswa-bariadi.tc-simiyu","nyamalapa-itilima.dc-simiyu",0.273148148148148
"238","nyashimo","kibinda-busega.dc-simiyu","ikindiro-itilima.dc-simiyu",0.286904761904762
"239","nyashimo","nyashimo-busega.dc-simiyu","ngasamo-busega.dc-simiyu",0.220238095238095
"240","nyumbani.mnadani","mnadani-maswa.dc-simiyu","madobana-bariadi.dc-simiyu",0.220238095238095
"241","nyumbani.mnadani","mnadani-maswa.dc-simiyu","mwamtani-itilima.dc-simiyu",0.220238095238095
"242","sanga","sanga-busega.dc-simiyu","isanga-bariadi.tc-simiyu",0.0555555555555556
"243","sanga","sanga-busega.dc-simiyu","isanga-maswa.dc-simiyu",0.0555555555555556
"244","shinyanga.mwenge","shinyanga.mwenge-maswa.dc-simiyu","kinang.weli-itilima.dc-simiyu",0.257575757575758
"245","sulu","mbalagane-maswa.dc-simiyu","budalabujiga-itilima.dc-simiyu",0.277777777777778
"246","sulu","mbalagani-maswa.dc-simiyu","lamadi-busega.dc-simiyu",0.27037037037037
"247","sulu","mbaragane-maswa.dc-simiyu","madobana-bariadi.dc-simiyu",0.305555555555556
"248","sunsula","sunsula-bariadi.dc-simiyu","sukuma-maswa.dc-simiyu",0.253968253968254
"249","udui","udui-bariadi.dc-simiyu","guduwi-bariadi.tc-simiyu",0.111111111111111
"250","bugunguli","buhunda-misungwi.dc-mwanza","bukanda-ukerewe.dc-mwanza",0.19047619047619
"251","chamela","chamela-kwimba.dc-mwanza","igala-ukerewe.dc-mwanza",0.323809523809524
"252","chamela","chamela-kwimba.dc-mwanza","pamba-nyamagana.mc-mwanza",0.323809523809524
"253","chamela","chamela-kwimba.dc-mwanza","walla-kwimba.dc-mwanza",0.323809523809524
"254","chandulu","haya-magu.dc-mwanza","malya-kwimba.dc-mwanza",0.216666666666667
"255","chibuji","nyang.honga-misungwi.dc-mwanza","nyamanga-ukerewe.dc-mwanza",0.234848484848485
"256","chibuji","nyang.honga-misungwi.dc-mwanza","nyanguge-magu.dc-mwanza",0.234848484848485
"257","chibuji","nyangh.onge-misungwi.dc-mwanza","nyanguge-magu.dc-mwanza",0.162878787878788
"258","chibuji","nyangh.ongwa-misungwi.dc-mwanza","nyamanga-ukerewe.dc-mwanza",0.25
"259","chibuji","nyangh.ongwa-misungwi.dc-mwanza","nyanguge-magu.dc-mwanza",0.25
"260","hilumba","itongo-kwimba.dc-mwanza","mirongo-nyamagana.mc-mwanza",0.150793650793651
"261","igombe","kabila-magu.dc-mwanza","nkalalo-kwimba.dc-mwanza",0.253968253968254
"262","kabila","kabila-kwimba.dc-mwanza","nkalalo-kwimba.dc-mwanza",0.253968253968254
"263","kabila","kabila-magu.dc-mwanza","nkalalo-kwimba.dc-mwanza",0.253968253968254
"264","kadashi","kadashi-kwimba.dc-mwanza","bujashi-magu.dc-mwanza",0.285714285714286
