"fid (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","If yes, out of all the species that you sell, which species do you sell the most? (see mrktc_lkpothrspecies)","Unique Row Identifier (UUID)"
"998914","1","1","1","fc72d2c9-beed-11eb-8cbd-5cb901ddeae0"
"998914","1","1","2","fc72e4b2-beed-11eb-8cbd-5cb901ddeae0"
"998914","1","1","4","fc72f1ba-beed-11eb-8cbd-5cb901ddeae0"
"998915","1","1","1","fb4b146f-beed-11eb-8cbd-5cb901ddeae0"
"998915","1","1","2","fb4b31f9-beed-11eb-8cbd-5cb901ddeae0"
"998915","1","1","4","fb4b22d6-beed-11eb-8cbd-5cb901ddeae0"
"998916","1","1","1","fe8c98d7-beed-11eb-8cbd-5cb901ddeae0"
"998916","1","1","4","fe8c8500-beed-11eb-8cbd-5cb901ddeae0"
"998918","1","1","-66","fe44a982-beed-11eb-8cbd-5cb901ddeae0"
"998939","1","1","1","fa58ad7d-beed-11eb-8cbd-5cb901ddeae0"
"998939","1","1","4","fa58bf79-beed-11eb-8cbd-5cb901ddeae0"
"999404","1","1","1","faa49392-beed-11eb-8cbd-5cb901ddeae0"
"999405","1","1","1","fdc023c8-beed-11eb-8cbd-5cb901ddeae0"
"999407","1","1","-66","f80cbfc5-beed-11eb-8cbd-5cb901ddeae0"
"999407","1","1","1","f80cb1e3-beed-11eb-8cbd-5cb901ddeae0"
"999408","1","1","1","f88495d7-beed-11eb-8cbd-5cb901ddeae0"
"999409","1","1","1","fbc77310-beed-11eb-8cbd-5cb901ddeae0"
"999410","1","1","1","fea24528-beed-11eb-8cbd-5cb901ddeae0"
"999412","1","1","1","fc98cd33-beed-11eb-8cbd-5cb901ddeae0"
"999413","1","1","1","f8cc1a84-beed-11eb-8cbd-5cb901ddeae0"
"999431","1","1","1","fd2b0173-beed-11eb-8cbd-5cb901ddeae0"
"999432","1","1","1","f84df062-beed-11eb-8cbd-5cb901ddeae0"
"999433","1","1","1","fd340942-beed-11eb-8cbd-5cb901ddeae0"
"999434","1","1","1","f9b3dd05-beed-11eb-8cbd-5cb901ddeae0"
"999438","1","1","1","f94f2f63-beed-11eb-8cbd-5cb901ddeae0"
"1000423","1","1","1","fc50fc3a-beed-11eb-8cbd-5cb901ddeae0"
"1000512","1","1","1","f8f10e77-beed-11eb-8cbd-5cb901ddeae0"
"1000527","1","1","1","fab8a1e6-beed-11eb-8cbd-5cb901ddeae0"
"1000529","1","1","1","fa3a2bde-beed-11eb-8cbd-5cb901ddeae0"
"1000531","1","1","1","fd2f6636-beed-11eb-8cbd-5cb901ddeae0"
"1000532","1","1","1","fde6a8d0-beed-11eb-8cbd-5cb901ddeae0"
"1000533","1","1","1","f9e97d42-beed-11eb-8cbd-5cb901ddeae0"
"1000536","1","1","1","fae5d52c-beed-11eb-8cbd-5cb901ddeae0"
"1000536","1","1","2","fae5eb9e-beed-11eb-8cbd-5cb901ddeae0"
"1000536","1","1","5","fae6034b-beed-11eb-8cbd-5cb901ddeae0"
"1000537","1","1","1","fbb8ccea-beed-11eb-8cbd-5cb901ddeae0"
"1000537","1","1","5","fbb8ddda-beed-11eb-8cbd-5cb901ddeae0"
"1000538","1","1","1","fdfc1aa4-beed-11eb-8cbd-5cb901ddeae0"
"1000543","1","1","1","f8d49612-beed-11eb-8cbd-5cb901ddeae0"
"1000543","1","1","5","f8d4a3f5-beed-11eb-8cbd-5cb901ddeae0"
"1000544","1","1","1","fcccb4b0-beed-11eb-8cbd-5cb901ddeae0"
"1000546","1","1","1","fa94a86d-beed-11eb-8cbd-5cb901ddeae0"
"1000546","1","1","5","fa94bebd-beed-11eb-8cbd-5cb901ddeae0"
"1000547","1","1","-66","f94bc968-beed-11eb-8cbd-5cb901ddeae0"
"1000547","1","1","1","f94ba3c9-beed-11eb-8cbd-5cb901ddeae0"
"1000547","1","1","5","f94bb6ce-beed-11eb-8cbd-5cb901ddeae0"
"1000550","1","1","1","fd68bf76-beed-11eb-8cbd-5cb901ddeae0"
"1000550","1","1","4","fd68d108-beed-11eb-8cbd-5cb901ddeae0"
"1000636","1","1","1","fe614604-beed-11eb-8cbd-5cb901ddeae0"
"1000637","1","1","1","fe5557b7-beed-11eb-8cbd-5cb901ddeae0"
"1000638","1","1","1","fa5c96f5-beed-11eb-8cbd-5cb901ddeae0"
"1000641","1","1","1","fa21b31d-beed-11eb-8cbd-5cb901ddeae0"
"1000642","1","1","1","f93f9368-beed-11eb-8cbd-5cb901ddeae0"
"1000642","1","1","4","f93fab41-beed-11eb-8cbd-5cb901ddeae0"
"1000643","1","1","1","feb5b44d-beed-11eb-8cbd-5cb901ddeae0"
"1000643","1","1","4","feb59107-beed-11eb-8cbd-5cb901ddeae0"
"1000643","1","1","5","feb5a315-beed-11eb-8cbd-5cb901ddeae0"
"1000644","1","1","1","fca814ce-beed-11eb-8cbd-5cb901ddeae0"
"1000650","1","1","-66","fdad67da-beed-11eb-8cbd-5cb901ddeae0"
"1000650","1","1","1","fdad4192-beed-11eb-8cbd-5cb901ddeae0"
"1000650","1","1","3","fdad799c-beed-11eb-8cbd-5cb901ddeae0"
"1000650","1","1","4","fdad53dd-beed-11eb-8cbd-5cb901ddeae0"
"1000790","1","1","1","f828459e-beed-11eb-8cbd-5cb901ddeae0"
"1000790","1","1","5","f828561b-beed-11eb-8cbd-5cb901ddeae0"
"1000794","1","1","-66","fa6f7c1e-beed-11eb-8cbd-5cb901ddeae0"
"1000794","1","1","1","fa6f614b-beed-11eb-8cbd-5cb901ddeae0"
"1000794","1","1","4","fa6f6f5b-beed-11eb-8cbd-5cb901ddeae0"
"1000796","1","1","1","fa4d6b75-beed-11eb-8cbd-5cb901ddeae0"
"1000797","1","1","1","fbde0768-beed-11eb-8cbd-5cb901ddeae0"
"1000799","1","1","1","fc00a6e6-beed-11eb-8cbd-5cb901ddeae0"
"1000803","1","1","1","fe5120a2-beed-11eb-8cbd-5cb901ddeae0"
"1000803","1","1","5","fe513135-beed-11eb-8cbd-5cb901ddeae0"
"1000804","1","1","1","fe38c120-beed-11eb-8cbd-5cb901ddeae0"
"1000807","1","1","-66","fc850522-beed-11eb-8cbd-5cb901ddeae0"
"1000807","1","1","1","fc84f1b4-beed-11eb-8cbd-5cb901ddeae0"
"1000808","1","1","1","fef9ee3d-beed-11eb-8cbd-5cb901ddeae0"
"1000809","1","1","1","fa6807a1-beed-11eb-8cbd-5cb901ddeae0"
"1000811","1","1","1","feaa96cb-beed-11eb-8cbd-5cb901ddeae0"
"1000811","1","1","5","feaaa701-beed-11eb-8cbd-5cb901ddeae0"
"1007770","1","1","4","fa7fa3d7-beed-11eb-8cbd-5cb901ddeae0"
"1007771","1","1","4","fc8d4cb3-beed-11eb-8cbd-5cb901ddeae0"
"1007773","1","1","4","f8baa0b5-beed-11eb-8cbd-5cb901ddeae0"
"1007774","1","1","4","fe02c462-beed-11eb-8cbd-5cb901ddeae0"
"1007775","1","1","4","f993e87c-beed-11eb-8cbd-5cb901ddeae0"
"1007779","1","1","4","fe0ada71-beed-11eb-8cbd-5cb901ddeae0"
"1007781","1","1","4","fd137ad0-beed-11eb-8cbd-5cb901ddeae0"
"1007787","1","1","4","fef30072-beed-11eb-8cbd-5cb901ddeae0"
"1007788","1","1","4","f8a7f39b-beed-11eb-8cbd-5cb901ddeae0"
"1007789","1","1","4","fe647e61-beed-11eb-8cbd-5cb901ddeae0"
"1007834","1","1","4","f8af1791-beed-11eb-8cbd-5cb901ddeae0"
"1007836","1","1","4","f9057d11-beed-11eb-8cbd-5cb901ddeae0"
"1007839","1","1","4","fb93a6e9-beed-11eb-8cbd-5cb901ddeae0"
"1007842","1","1","4","f7e0f03e-beed-11eb-8cbd-5cb901ddeae0"
"1007864","1","1","4","fca0e55d-beed-11eb-8cbd-5cb901ddeae0"
"1007867","1","1","4","fc49ee8d-beed-11eb-8cbd-5cb901ddeae0"
"1007870","1","1","1","faea109b-beed-11eb-8cbd-5cb901ddeae0"
"1007870","1","1","4","faea2069-beed-11eb-8cbd-5cb901ddeae0"
"1007871","1","1","4","fad82299-beed-11eb-8cbd-5cb901ddeae0"
"1007877","1","1","4","fdc8ab44-beed-11eb-8cbd-5cb901ddeae0"
"1007887","1","1","4","f8605876-beed-11eb-8cbd-5cb901ddeae0"
"1007894","1","1","4","fb0b8fae-beed-11eb-8cbd-5cb901ddeae0"
"1007895","1","1","4","fb18923f-beed-11eb-8cbd-5cb901ddeae0"
"1007896","1","1","3","f7e849db-beed-11eb-8cbd-5cb901ddeae0"
"1007896","1","1","4","f7e8317b-beed-11eb-8cbd-5cb901ddeae0"
"1007966","1","1","4","f849e96b-beed-11eb-8cbd-5cb901ddeae0"
"1007967","1","1","4","faf119be-beed-11eb-8cbd-5cb901ddeae0"
"1007968","1","1","4","fe59d393-beed-11eb-8cbd-5cb901ddeae0"
"1007969","1","1","4","f8fb955c-beed-11eb-8cbd-5cb901ddeae0"
"1007971","1","1","4","faa026c9-beed-11eb-8cbd-5cb901ddeae0"
"1007972","1","1","4","fc103f58-beed-11eb-8cbd-5cb901ddeae0"
"1007973","1","1","4","fb2e08b8-beed-11eb-8cbd-5cb901ddeae0"
"1007974","1","1","4","f87931af-beed-11eb-8cbd-5cb901ddeae0"
"1007977","1","1","4","fcdb7958-beed-11eb-8cbd-5cb901ddeae0"
"1007980","1","1","4","fb89ab24-beed-11eb-8cbd-5cb901ddeae0"
"1007988","1","1","4","f947bc75-beed-11eb-8cbd-5cb901ddeae0"
"1007991","1","1","4","fa0b731b-beed-11eb-8cbd-5cb901ddeae0"
"1007994","1","1","4","f9911273-beed-11eb-8cbd-5cb901ddeae0"
"1008008","1","1","4","fdf87f10-beed-11eb-8cbd-5cb901ddeae0"
"1008010","1","1","4","fad012d6-beed-11eb-8cbd-5cb901ddeae0"
"1008012","1","1","1","f917eee0-beed-11eb-8cbd-5cb901ddeae0"
"1008012","1","1","4","f918003f-beed-11eb-8cbd-5cb901ddeae0"
"1008013","1","1","4","fa8e32e5-beed-11eb-8cbd-5cb901ddeae0"
"1008017","1","1","4","faca044f-beed-11eb-8cbd-5cb901ddeae0"
"1008024","1","1","4","fcef3b4f-beed-11eb-8cbd-5cb901ddeae0"
"1008026","1","1","4","f9d2c4a4-beed-11eb-8cbd-5cb901ddeae0"
"1008027","1","1","4","fca43502-beed-11eb-8cbd-5cb901ddeae0"
"1008028","1","1","3","fb4fc843-beed-11eb-8cbd-5cb901ddeae0"
"1008028","1","1","4","fb4fb700-beed-11eb-8cbd-5cb901ddeae0"
"1010636","1","1","1","418a9af8-c253-11eb-8cbd-5cb901ddeae0"
"1010642","1","1","1","3f98db33-c253-11eb-8cbd-5cb901ddeae0"
"1010642","1","1","5","3f98efd4-c253-11eb-8cbd-5cb901ddeae0"
"1010644","1","1","1","3c941bce-c253-11eb-8cbd-5cb901ddeae0"
"1010648","1","1","1","3e26e6b9-c253-11eb-8cbd-5cb901ddeae0"
"1010648","1","1","2","3e26fa8e-c253-11eb-8cbd-5cb901ddeae0"
"1010795","1","1","4","4275da48-c253-11eb-8cbd-5cb901ddeae0"
"1010799","1","1","4","40c06c96-c253-11eb-8cbd-5cb901ddeae0"
"1010800","1","1","4","3a0056cd-c253-11eb-8cbd-5cb901ddeae0"
"1010804","1","1","4","3c4e9a93-c253-11eb-8cbd-5cb901ddeae0"
"1010806","1","1","4","40ddd022-c253-11eb-8cbd-5cb901ddeae0"
"1010809","1","1","4","3fb72b09-c253-11eb-8cbd-5cb901ddeae0"
"1010810","1","1","4","41ff237f-c253-11eb-8cbd-5cb901ddeae0"
"1010812","1","1","4","3d6cc33f-c253-11eb-8cbd-5cb901ddeae0"
"1010813","1","1","4","3e15dccf-c253-11eb-8cbd-5cb901ddeae0"
"1010814","1","1","4","3ecf92c5-c253-11eb-8cbd-5cb901ddeae0"
"1010815","1","1","4","3f7aa896-c253-11eb-8cbd-5cb901ddeae0"
"1010818","1","1","4","3f27774c-c253-11eb-8cbd-5cb901ddeae0"
"1010819","1","1","4","3f014f16-c253-11eb-8cbd-5cb901ddeae0"
"1010820","1","1","4","41f319b1-c253-11eb-8cbd-5cb901ddeae0"
"1010821","1","1","4","42be7051-c253-11eb-8cbd-5cb901ddeae0"
"1010822","1","1","1","3ffd73f1-c253-11eb-8cbd-5cb901ddeae0"
"1010822","1","1","4","3ffd6631-c253-11eb-8cbd-5cb901ddeae0"
"1010823","1","1","1","423434ea-c253-11eb-8cbd-5cb901ddeae0"
"1010823","1","1","4","42342778-c253-11eb-8cbd-5cb901ddeae0"
"1010879","1","1","4","42812c3d-c253-11eb-8cbd-5cb901ddeae0"
"1010882","1","1","4","41a35210-c253-11eb-8cbd-5cb901ddeae0"
"1010905","1","1","4","3b6968f8-c253-11eb-8cbd-5cb901ddeae0"
"1010907","1","1","4","41b53df0-c253-11eb-8cbd-5cb901ddeae0"
"1010908","1","1","4","40f62f73-c253-11eb-8cbd-5cb901ddeae0"
"1011018","1","1","1","67a45c04-c31c-11eb-8cbd-5cb901ddeae0"
"1011032","1","1","1","62a233b4-c31c-11eb-8cbd-5cb901ddeae0"
"1011032","1","1","4","62a253df-c31c-11eb-8cbd-5cb901ddeae0"
"1011040","1","1","1","6414e4fe-c31c-11eb-8cbd-5cb901ddeae0"
"1011154","1","1","1","6246582c-c31c-11eb-8cbd-5cb901ddeae0"
"1011161","1","1","1","63d58549-c31c-11eb-8cbd-5cb901ddeae0"
"1011162","1","1","-66","6238edc2-c31c-11eb-8cbd-5cb901ddeae0"
"1011173","1","1","1","679c3f4e-c31c-11eb-8cbd-5cb901ddeae0"
"1011174","1","1","1","6a865f1a-c31c-11eb-8cbd-5cb901ddeae0"
"1011175","1","1","1","65e37fad-c31c-11eb-8cbd-5cb901ddeae0"
"1011176","1","1","1","67446b9e-c31c-11eb-8cbd-5cb901ddeae0"
"1011767","1","1","1","e3333231-c577-11eb-8cbd-5cb901ddeae0"
"1011770","1","1","1","e2553464-c577-11eb-8cbd-5cb901ddeae0"
"1016374","1","1","4","b6b729b4-d2d3-11eb-9de1-9440c9ab47f0"
"1020167","1","1","1","0a87582c-d91d-11eb-9de1-9440c9ab47f0"
"1020172","1","1","1","0e236cdc-d91d-11eb-9de1-9440c9ab47f0"
"1020172","1","1","2","0e2344cd-d91d-11eb-9de1-9440c9ab47f0"
"1020183","1","1","1","0ccbc530-d91d-11eb-9de1-9440c9ab47f0"
"1020186","1","1","1","095a6e1a-d91d-11eb-9de1-9440c9ab47f0"
"1020187","1","1","1","06b23e13-d91d-11eb-9de1-9440c9ab47f0"
"1020188","1","1","1","063d742c-d91d-11eb-9de1-9440c9ab47f0"
"1020200","1","1","1","04c1cb53-d91d-11eb-9de1-9440c9ab47f0"
"1020206","1","1","1","05bd01ba-d91d-11eb-9de1-9440c9ab47f0"
"1020214","1","1","1","0aa92f86-d91d-11eb-9de1-9440c9ab47f0"
"1020216","1","1","1","0c791482-d91d-11eb-9de1-9440c9ab47f0"
"1020219","1","1","1","04e7e468-d91d-11eb-9de1-9440c9ab47f0"
"1020222","1","1","1","05c1a596-d91d-11eb-9de1-9440c9ab47f0"
"1020225","1","1","1","0c29691a-d91d-11eb-9de1-9440c9ab47f0"
"1070196","1","1","1","ead76703-3c1f-11ec-ab28-9440c9ab47f0"
"1070196","1","1","4","ead77515-3c1f-11ec-ab28-9440c9ab47f0"
"1070196","1","1","5","ead797e4-3c1f-11ec-ab28-9440c9ab47f0"
"1070205","1","1","1","ea3f8dbe-3c1f-11ec-ab28-9440c9ab47f0"
"1070206","1","1","1","eaed7be7-3c1f-11ec-ab28-9440c9ab47f0"
"1070206","1","1","4","eaeda1f8-3c1f-11ec-ab28-9440c9ab47f0"
"1070213","1","1","1","ee22f573-3c1f-11ec-ab28-9440c9ab47f0"
"1070213","1","1","4","ee231e1f-3c1f-11ec-ab28-9440c9ab47f0"
"1070213","1","1","5","ee232bd5-3c1f-11ec-ab28-9440c9ab47f0"
"1070215","1","1","1","ed18b555-3c1f-11ec-ab28-9440c9ab47f0"
"1070225","1","1","1","effe3849-3c1f-11ec-ab28-9440c9ab47f0"
"1070225","1","1","4","effe5faf-3c1f-11ec-ab28-9440c9ab47f0"
"1070237","1","1","1","ef6d8b87-3c1f-11ec-ab28-9440c9ab47f0"
"1070237","1","1","4","ef6d9a18-3c1f-11ec-ab28-9440c9ab47f0"
"1070241","1","1","1","ecd0f6d4-3c1f-11ec-ab28-9440c9ab47f0"
"1070243","1","1","1","ea6cfe62-3c1f-11ec-ab28-9440c9ab47f0"
"1070245","1","1","1","ea632318-3c1f-11ec-ab28-9440c9ab47f0"
"1070350","1","1","1","e9b607f7-3c1f-11ec-ab28-9440c9ab47f0"
"1070351","1","1","1","eabc9317-3c1f-11ec-ab28-9440c9ab47f0"
"1070352","1","1","1","f00c1abc-3c1f-11ec-ab28-9440c9ab47f0"
"1070355","1","1","1","ec8ee54d-3c1f-11ec-ab28-9440c9ab47f0"
"1070360","1","1","1","ebd0760c-3c1f-11ec-ab28-9440c9ab47f0"
"1070360","1","1","4","ebd0a46b-3c1f-11ec-ab28-9440c9ab47f0"
"1144529","1","1","1","27ef3788-dc16-11ec-9416-9440c9ab47f0"
"1144627","1","1","1","6fd1f071-dc08-11ec-9416-9440c9ab47f0"
"1144631","1","1","1","75ef757c-dc08-11ec-9416-9440c9ab47f0"
"1144634","1","1","1","789cae17-dc08-11ec-9416-9440c9ab47f0"
"1144634","1","1","4","789c9d4d-dc08-11ec-9416-9440c9ab47f0"
"1144644","1","1","1","64816812-dc08-11ec-9416-9440c9ab47f0"
"1145140","1","1","1","71cf9e6b-dc08-11ec-9416-9440c9ab47f0"
"1145140","1","1","4","71cfae0f-dc08-11ec-9416-9440c9ab47f0"
"1145151","1","1","1","765e6a9d-dc08-11ec-9416-9440c9ab47f0"
"1145154","1","1","1","73b72148-dc08-11ec-9416-9440c9ab47f0"
"1145157","1","1","1","6e14630c-dc08-11ec-9416-9440c9ab47f0"
"1145157","1","1","4","6e147354-dc08-11ec-9416-9440c9ab47f0"
"1145159","1","1","1","6f8d9b60-dc08-11ec-9416-9440c9ab47f0"
"1145159","1","1","4","6f8d8e08-dc08-11ec-9416-9440c9ab47f0"
"1145161","1","1","1","64656c1d-dc08-11ec-9416-9440c9ab47f0"
"1145161","1","1","4","64657c68-dc08-11ec-9416-9440c9ab47f0"
"1145626","1","1","1","39743972-dc0e-11ec-9416-9440c9ab47f0"
"1145632","1","1","1","4469eb44-dc0e-11ec-9416-9440c9ab47f0"
"1145639","1","1","1","3fcad9a1-dc0e-11ec-9416-9440c9ab47f0"
"1145656","1","1","4","3efaa197-dc0e-11ec-9416-9440c9ab47f0"
"1145658","1","1","4","4308e881-dc0e-11ec-9416-9440c9ab47f0"
"1145661","1","1","1","42d8b70e-dc0e-11ec-9416-9440c9ab47f0"
"1145664","1","1","1","40b418f9-dc0e-11ec-9416-9440c9ab47f0"
"1145664","1","1","4","40b42bb9-dc0e-11ec-9416-9440c9ab47f0"
"1146623","1","1","-66","4526ae30-dc0e-11ec-9416-9440c9ab47f0"
"1146624","1","1","1","36c57ce3-dc0e-11ec-9416-9440c9ab47f0"
"1146628","1","1","1","3a5cc29c-dc0e-11ec-9416-9440c9ab47f0"
"1146632","1","1","1","3ee9378c-dc0e-11ec-9416-9440c9ab47f0"
"1146640","1","1","1","43388f85-dc0e-11ec-9416-9440c9ab47f0"
"1146646","1","1","1","3c35dcd6-dc0e-11ec-9416-9440c9ab47f0"
"1146665","1","1","1","37815e73-dc0e-11ec-9416-9440c9ab47f0"
"1147076","1","1","1","43af9107-dc0e-11ec-9416-9440c9ab47f0"
"1147460","1","1","1","420fdf45-dc0e-11ec-9416-9440c9ab47f0"
"1147495","1","1","-66","43558d3f-dc0e-11ec-9416-9440c9ab47f0"
"1147519","1","1","1","455d46bb-dc0e-11ec-9416-9440c9ab47f0"
"1147529","1","1","1","429af10e-dc0e-11ec-9416-9440c9ab47f0"
"1147531","1","1","1","3bba805e-dc0e-11ec-9416-9440c9ab47f0"
"1147536","1","1","1","4840b066-dc0e-11ec-9416-9440c9ab47f0"
"1147537","1","1","1","445175f9-dc0e-11ec-9416-9440c9ab47f0"
"1148061","1","1","1","39bf286a-dc0e-11ec-9416-9440c9ab47f0"
"1148063","1","1","1","41a85438-dc0e-11ec-9416-9440c9ab47f0"
"1148064","1","1","1","36ed0a1c-dc0e-11ec-9416-9440c9ab47f0"
"1148065","1","1","1","3e5862d6-dc0e-11ec-9416-9440c9ab47f0"
"1148073","1","1","1","365cd737-dc0e-11ec-9416-9440c9ab47f0"
"1148090","1","1","1","46fb9130-dc0e-11ec-9416-9440c9ab47f0"
"1148567","1","1","1","3d16023c-dc0e-11ec-9416-9440c9ab47f0"
"1148568","1","1","1","4393a91b-dc0e-11ec-9416-9440c9ab47f0"
"1148737","1","1","1","477653ee-dc0e-11ec-9416-9440c9ab47f0"
"1148738","1","1","1","3ac4724f-dc0e-11ec-9416-9440c9ab47f0"
"1148739","1","1","1","4743ba63-dc0e-11ec-9416-9440c9ab47f0"
"1148749","1","1","1","38228d42-dc0e-11ec-9416-9440c9ab47f0"
"1148858","1","1","1","44987ec4-dc0e-11ec-9416-9440c9ab47f0"
"1148862","1","1","1","38c486b9-dc0e-11ec-9416-9440c9ab47f0"
"1148867","1","1","1","46d1bcd9-dc0e-11ec-9416-9440c9ab47f0"
"1148868","1","1","1","3bf70d5f-dc0e-11ec-9416-9440c9ab47f0"
"1148869","1","1","1","37b3a307-dc0e-11ec-9416-9440c9ab47f0"
