"fid (see mrktc_idtable)","Unique Row ID","End time","Deviceid","Date","Country (see mrkta_lkpcountry)","Enumerator name (see mrkta_lkpenum)","Enter Password","Get selected staff current password","District/ Region (see mrkta_lkpregion)","Ward (see mrkta_lkpward)","Village","Date of interview","Interview code","Name of market","Type of market (see mrktc_lkpmrkt_type)","Respondent role","Gender of respondent (see mrktc_lkpresp_gender)","Respondent age (see mrktc_lkpresp_age)","13. Have you visited other markets to sell or buy sheep and goats in the past one month?","Number of other markets you have visited to sell or buy sheep and goats in the past one month","Researcher: Is this person a trader, meaning they buy and sell animals as a business?","14. What is your usual pattern of trading sheep and/or goats?","15. What are the main disease problems that you observe in the sheep and/or goats at this time?","16. Have you seen a disease with signs of nasal discharge, coughing, diarrhoea, eye discharge, sores in the mouth – in your own animals or someone else’s flock?","If yes, what is the local name of the disease?","Where did you see it?","When did you see it?","Did any animals die?","How many animals died?","What species died? (see mrktc_lkpdse_deathsspecies)","Other information?","Any other remarks?","GPS Coordinates of the market","Unique Row Identifier (UUID)"
"975385","1","2021-02-28T12:22:51","collect:1jtYiuuy40y07T7P","2021-02-23T00:00:00","2","2014","2014","2014","24","2401","BOUSSIN","2021-02-23","SEBS14","BOUSSIN","1","ACHETEUR","1","3","0","","1","JE J`ACHÈTE ET REVENDS AU MÊME MARCHÉ","DERMATOSES,PIÉTIN","0","","","","","","","","RAS","13.5065347 -5.9345617 325.18034720389727 5.0","f8f76d59-beed-11eb-8cbd-5cb901ddeae0"
"975386","1","2021-02-28T12:15:36","collect:1jtYiuuy40y07T7P","2021-02-23T00:00:00","2","2014","2014","2014","24","2401","BOUSSIN","2021-02-23","SEBS15","BOUSSIN","1","ACHETEUR","1","3","1","3","1","DE BOUSSIN À FATINÈ,KATIÈNA ET PUIS YOLO","AFFECTIONS PULMONAIRES ,PIÉTIN","0","","","","","","","","RAS","13.5064487 -5.9345692 324.6810095760465 4.62","fd98d964-beed-11eb-8cbd-5cb901ddeae0"
"975387","1","2021-03-01T21:31:50","collect:AwmARgGnzC6806NY","2021-03-01T00:00:00","2","2016","2016","2016","24","2401","SEGOU","2021-03-01","SEBS08","CITE COMATEX","1","Acheteur","1","2","1","1","1","Il achète et amène à d`autres marchés","Safa, courou courou","0","","","","","","","","","13.4327275 -6.2268103 0.0 2000.0","fbcac261-beed-11eb-8cbd-5cb901ddeae0"
"975389","1","2021-03-01T21:30:56","collect:AwmARgGnzC6806NY","2021-03-01T00:00:00","2","2016","2016","2016","24","2401","SEGOU","2021-03-01","SEBS09","CITE COMATEX","1","Acheteurs","1","2","0","","1","Il achète et revendre","Moura","0","","","","","","","","Il l`appel cette maladies moura","13.4309299 -6.2268103 0.0 2299.999","fc263242-beed-11eb-8cbd-5cb901ddeae0"
"975390","1","2021-03-01T20:31:29","collect:1jtYiuuy40y07T7P","2021-03-01T00:00:00","2","2014","2014","2014","24","2401","SÉGOU","2021-03-01","SEBS11","SÉGOU","1","ACHETEUR","1","2","1","4","1","DE SÉGOU À PELENGANA ET PUIS KONODIMINI OU BOUSSIN","-DERMATOSES, - -MOURABA, - -DISTOMATAOSE","1","-DIARRHÉE - -ECOULEMENT OCULAIRE ET NASAL - -HYOERSALIVATION","SÉGOU","2021-02-01","0","","","","CAS DE PPR SIGNALÉ","13.4397334 -6.2273712 272.50883809939666 4.763","f9aa7959-beed-11eb-8cbd-5cb901ddeae0"
"975391","1","2021-03-01T21:29:27","collect:AwmARgGnzC6806NY","2021-03-01T00:00:00","2","2016","2016","2016","24","2401","SEGOU","2021-03-01","SEBS10","CITE COMATEX","1","Acheteur","1","2","0","","","","Maya","0","","","","","","","","","13.4422628 -6.2337784 0.0 2400.0","f8403c2b-beed-11eb-8cbd-5cb901ddeae0"
"975392","1","2021-03-01T20:28:51","collect:1jtYiuuy40y07T7P","2021-03-01T00:00:00","2","2014","2014","2014","24","2401","SÉGOU","2021-03-01","SEBS12","SÉGOU","1","ACHETEUR","1","2","1","1","1","DE SANANDING  À SÉGOU ET PUIS À DOUCABOUCOU","-DERMATOSES  - -MOURA - -PIETIN","0","","","","","","","","RAS","13.4397314 -6.2274447 295.37444891488934 4.766","f960e27c-beed-11eb-8cbd-5cb901ddeae0"
"975393","1","2021-03-01T21:00:49","collect:1jtYiuuy40y07T7P","2021-03-01T00:00:00","2","2014","2014","2014","24","2401","SÉGOU","2021-03-01","SEBS13","SÉGOU","1","ACHETEUR","1","2","1","5","1","DE SÉGOU A FAÎRA ENSUITE DE BOUSSIN ÀTOUNA PUIS CINZANA CARE ENFIN KATIÈNA","-SOUMA. - -,MAGNA","0","","","","","","","","RAS","13.4397317 -6.2274 271.9306030323808 4.3","f87178fc-beed-11eb-8cbd-5cb901ddeae0"
"975394","1","2021-03-01T20:51:24","collect:1jtYiuuy40y07T7P","2021-03-01T00:00:00","2","2014","2014","2014","24","2401","SÉGOU","2021-03-01","SEBS14","SÉGOU","1","ACHETEUR","1","3","0","","0","","-MURA  - -DERMATOSE  - -PIÉTIN","0","","","","","","","","RAS","13.4397422 -6.2274295 291.852796984274 4.22","fd9cf6e9-beed-11eb-8cbd-5cb901ddeae0"
"975396","1","2021-03-01T20:57:11","collect:1jtYiuuy40y07T7P","2021-03-01T00:00:00","2","2014","2014","2014","24","2401","SÉGOU","2021-03-01","SEBS15","SÉGOU","1","ACHETEUR","1","2","1","2","1","DE SÉGOU À KONONDIMINI ET DE TOUNA À DIORO","-KABA  - -MOURA","0","","","","","","","","RAS","13.4397779 -6.227402 290.8080520215063 3.92","f985e6c1-beed-11eb-8cbd-5cb901ddeae0"
"975398","1","2021-02-28T12:23:03","collect:7j0ZZ2mn3Ex7WBEc","2021-02-23T00:00:00","2","2013","2013","2013","24","2401","BOUSSIN","2021-02-23","SEBS16","Marché de Boussin","1","Vendeur","1","2","0","","1","Mes animaux sont achetés sur le marché de Boussin et vendus sur ce même marché en cas où j`ai pu tout vendre je les amène chez jusqu`au prochain","MOURA","1","Je ne sais","Ici","2021-01-01","1","10","3","Rien à signaler","Rien à signaler","13.5064974 -5.9346983 333.3993927828559 96.0","fa835b27-beed-11eb-8cbd-5cb901ddeae0"
"975399","1","2021-02-28T12:22:42","collect:7j0ZZ2mn3Ex7WBEc","2021-02-23T00:00:00","2","2013","2013","2013","24","2401","BOUSSIN","2021-02-23","SEBS17","Marché de Boussin","1","Vendeur","1","1","1","4","1","Dioro à Yolo - Yolo a Boussin - Boussin à Markala - Markala à Ségou","AFFECTION PULMONAIRE","1","Safa","Ici","2021-02-01","1","10","3","Rien à signaler","Rien à signaler","13.506531 -5.934773 338.7490382907277 96.0","fc461f7b-beed-11eb-8cbd-5cb901ddeae0"
"975400","1","2021-02-28T12:22:01","collect:7j0ZZ2mn3Ex7WBEc","2021-02-23T00:00:00","2","2013","2013","2013","24","2401","BOUSSIN","2021-02-06","SEBS18","Marché de Boussin","1","Vendeur","1","2","1","2","1","Katiana à Boussin - Boussin à cinzana care","Safa ,n`boyi","1","N`boyi","Katiana et Boussin","2021-01-01","1","20","3","Rien à signaler","Rien à signaler","13.5065626 -5.934862 408.4396310563758 96.0","f8ea66e7-beed-11eb-8cbd-5cb901ddeae0"
"975401","1","2021-02-28T12:21:39","collect:7j0ZZ2mn3Ex7WBEc","2021-02-23T00:00:00","2","2013","2013","2013","24","2401","BOUSSIN","2021-02-23","SEBS19","Marché de Boussin","1","Vendeur","1","1","1","4","1","Katiana à djouna - Djouna à Boussin - Boussin à cinzana care","MOURA","1","Konoboli","Katiana","2020-12-01","1","4","1","Rien à signaler","Rien à signaler","13.5065494 -5.9347871 342.05284897267353 96.0","f82dd292-beed-11eb-8cbd-5cb901ddeae0"
"975402","1","2021-02-28T12:21:07","collect:7j0ZZ2mn3Ex7WBEc","2021-02-23T00:00:00","2","2013","2013","2013","24","2401","BOUSSIN","2021-02-23","SEBS20","Marché de Boussin","1","Vendeur","1","2","1","2","1","N`Goulebenkoro à boussin - Boussin à bougouda  - Bougouda à nabougou  - Nabougou à cinzana care","Moura","1","J`ignore","A la maison","2020-09-01","0","","","","Rien à signaler","13.5065245 -5.9345894 243.50119541176753 96.0","f809488d-beed-11eb-8cbd-5cb901ddeae0"
"975404","1","2021-03-01T16:21:54","collect:7j0ZZ2mn3Ex7WBEc","2021-03-01T00:00:00","2","2013","2013","2013","24","2401","Ségou","2021-03-01","SEBS16","Ségou","1","Vendeur","1","2","1","3","1","Katiana à Boussin - Boussin à Ségou - Ségou à Niono","KABA","0","","","","","","","","","13.4396713 -6.2274129 303.5424197783446 4.88","fb11d4e1-beed-11eb-8cbd-5cb901ddeae0"
"975405","1","2021-03-01T16:25:37","collect:7j0ZZ2mn3Ex7WBEc","2021-03-01T00:00:00","2","2013","2013","2013","24","2401","Ségou","2021-03-01","SEBS17","Ségou","1","Vendeur","1","1","0","","1","Moi j`achète seulement mes moutons et chèvre a cinzana care et Dougabougou pour les revendres à Ségou","Safa","1","N`boyi","Commune de cinzana care","2020-09-01","0","","","","","13.4397681 -6.2274528 305.14713980013084 4.66","fe88b709-beed-11eb-8cbd-5cb901ddeae0"
"975406","1","2021-03-01T19:04:32","collect:7j0ZZ2mn3Ex7WBEc","2021-03-01T00:00:00","2","2013","2013","2013","24","2401","Ségou","2021-03-01","SEBS18","Ségou","1","Vendeur","1","2","0","","0","","Je l`es achète et vendre sur place","0","","","","","","","","Rien à signaler","13.4394912 -6.2273149 308.20590237356174 4.82","fd6bfacc-beed-11eb-8cbd-5cb901ddeae0"
"975407","1","2021-03-01T19:15:42","collect:7j0ZZ2mn3Ex7WBEc","2021-03-01T00:00:00","2","2013","2013","2013","24","2401","Ségou","2021-03-01","SEBS19","Ségou","1","Vendeur","1","2","1","4","1","Tona à Boussin - Boussin à Ségou - Ségou à cinzana care - Cinzana care à Dioro","Moura ","1","N`boyi","Je ne sais pas","2018-04-01","0","","","","","13.4394923 -6.2273255 309.0451162053662 4.98","fb226e93-beed-11eb-8cbd-5cb901ddeae0"
"975408","1","2021-03-01T19:18:13","collect:7j0ZZ2mn3Ex7WBEc","2021-03-01T00:00:00","2","2013","2013","2013","24","2401","Ségou","2021-03-01","SEBS20","Ségou","1","Vendeur","1","2","0","","1","Niono à Ségou","YÉRÉ YÉRÉ","1","Ségou","Ségou","2020-11-01","1","5","3","Rien à signaler","Rien à signaler","","f9fb03fe-beed-11eb-8cbd-5cb901ddeae0"
"975412","1","2021-02-28T12:14:49","collect:spe591ryRSt4uwpQ","2021-02-23T00:00:00","2","2015","2015","2015","24","2401","BOUSSIN","2021-02-23","SEBS01","BOUSSIN","1","Vendeurs","1","2","1","4","1","Il commence par CINZANA GARE, Katièna, DIOUNA, SEGOU puis BOUSSIN.","Affections pulmonaires, Trypanosomiase,    - Infections microbiennes, Distomatose,  - Charbon symptômatique, la peste des petits ruminants.","1","Safa","Au village de N`gakoro (Commune CINZANA GARE)","2020-12-01","1","6","3","Maintenant c`est une seule brebis qui souffre de la maladie.","RAS","13.506508 -5.934506 288.6 3.9","fec022e4-beed-11eb-8cbd-5cb901ddeae0"
"975413","1","2021-02-28T12:16:11","collect:spe591ryRSt4uwpQ","2021-02-23T00:00:00","2","2015","2015","2015","24","2401","BOUSSIN","2021-02-23","SEBS02","BOUSSIN","1","Intermédiaire","1","2","0","","1","Je travaille à DIORO et à BOUSSIN seulement.","Affections pulmonaires, Distomatose,","1","Mouradiè","Chez moi même à Diakènèbougou","2018-12-01","1","2","1","RAS","RAS","13.5065111 -5.9346311 265.2 96.0","fd6fbe08-beed-11eb-8cbd-5cb901ddeae0"
"975414","1","2021-02-28T12:17:31","collect:spe591ryRSt4uwpQ","2021-02-23T00:00:00","2","2015","2015","2015","24","2401","BOUSSIN","2021-02-23","SEBS03","BOUSSIN","1","Vendeurs","1","2","1","3","1","Fatinè, YOLO, DIORO, BOUSSIN","Affections pulmonaires, infections bactériennes,","1","Moura","Pogo ( village voisin)","2020-10-01","1","2","2","","RAS","13.5066029 -5.9345886 256.9 3.9","f9c0eeef-beed-11eb-8cbd-5cb901ddeae0"
"975415","1","2021-02-28T12:20:08","collect:spe591ryRSt4uwpQ","2021-02-23T00:00:00","2","2015","2015","2015","24","2401","BOUSSIN","2021-02-23","SEBS04","BOUSSIN","1","Vendeur","1","2","1","3","1","YOLO, BOUSSIN, Fatinè, Katièna  - Je prépare du fumier pour le champ.","Diarrhée, affection pulmonaire, trypanosomiase.","1","Boutiali","Teuba(Commune de Banamba)","2020-09-01","1","5","3","","RAS","13.5064922 -5.9347041 278.1 4.7","fd85c138-beed-11eb-8cbd-5cb901ddeae0"
"975416","1","2021-02-28T12:21:34","collect:spe591ryRSt4uwpQ","2021-02-23T00:00:00","2","2015","2015","2015","24","2401","BOUSSIN","2021-02-23","SEBS05","BOUSSIN","1","Vendeur","1","2","1","2","1","YOLO, DIORO, BOUSSIN","Affections pulmonaires, dermatoses,","0","","","","","","","","RAS","13.5065765 -5.9345429 283.6 4.8","f7f3a916-beed-11eb-8cbd-5cb901ddeae0"
"975418","1","2021-03-01T23:32:34","collect:spe591ryRSt4uwpQ","2021-03-01T00:00:00","2","2015","2015","2015","24","2401","SEGOU","2021-03-01","SEBS01","Marché de SEGOU","1","Vendeur","1","2","0","","1","Soungobougou à Ségou","Dermatoses, affection pulmonaire.","0","","","","","","","","Ras","13.4397282 -6.2273748 278.9 4.5","f91fae6e-beed-11eb-8cbd-5cb901ddeae0"
"975419","1","2021-03-01T23:29:24","collect:spe591ryRSt4uwpQ","2021-03-01T00:00:00","2","2015","2015","2015","24","2401","SEGOU","2021-03-01","SEBS02","Marché de SEGOU","1","Vendeur","1","2","1","1","1","De Ségou à BOUSSIN.","La fièvre aphteuse, la pasteurellose , les dermatoses.","1","Yèrè yèrè","A BOUSSIN","2020-09-01","1","5","2","","RAS","13.4397391 -6.2275318 283.2 5.0","fdfede41-beed-11eb-8cbd-5cb901ddeae0"
"975420","1","2021-03-01T23:24:55","collect:spe591ryRSt4uwpQ","2021-03-01T00:00:00","2","2015","2015","2015","24","2401","SEGOU","2021-03-01","SEBS03","Marché de SEGOU","1","Vendeur","1","2","1","2","1","SEGOU, BOUSSIN,NIONO","Dermatoses, trypanosomiase, Distomatose, PPR","1","Boï","NIONO","2020-12-01","1","60","3","","RAS","13.4397433 -6.2271181 252.5 4.1","fb8c8368-beed-11eb-8cbd-5cb901ddeae0"
"975421","1","2021-03-01T23:18:27","collect:spe591ryRSt4uwpQ","2021-03-01T00:00:00","2","2015","2015","2015","24","2401","SEGOU","2021-03-01","SEBS04","Marché de SEGOU","1","Vendeur","1","2","1","2","1","KONOBOUGOU, SEGOU, KONODIMINI","Trypanosomiase, dermatoses, maladies respiratoires,","0","","","","","","","","RAS","13.4398062 -6.2273291 278.4 3.9","f8dd3afe-beed-11eb-8cbd-5cb901ddeae0"
"975422","1","2021-03-01T23:08:02","collect:spe591ryRSt4uwpQ","2021-03-01T00:00:00","2","2015","2015","2015","24","2401","SEGOU","2021-03-01","SEBS05","Marché de SEGOU","1","Vendeur","1","2","1","2","1","DOUGABOUGOU, MARKALA, SEGOU, KONODIMINI","Dermatoses, trypanosomiase","0","","","","","","","","RAS","13.4397962 -6.2273554 283.8 4.266","fcf1bd5f-beed-11eb-8cbd-5cb901ddeae0"
"975672","1","2021-03-02T12:24:50","collect:AwmARgGnzC6806NY","2021-03-02T00:00:00","2","2016","2016","2016","24","2401","KONONDIMINI","2021-03-02","SEBS06","Marché de konondimini","1","Acheteurs","1","2","0","","1","Il achète amène chez lui et aller vendre à fana","Moura","0","","","","","","","","","13.32316 -6.4210133 310.3578753079244 8.1","fb38191f-beed-11eb-8cbd-5cb901ddeae0"
"975673","1","2021-03-02T12:23:21","collect:AwmARgGnzC6806NY","2021-03-02T00:00:00","2","2016","2016","2016","24","2401","KONONDIMINI","2021-03-02","SEBS07","Marché de konondimi","1","Acheteurs","1","2","1","1","1","Il achète amener chez lui et revendre à Bamako","Futéni","1","Boyi","Konondimini","2021-01-01","1","6","3","","","13.3231425 -6.4209538 299.16180174766833 4.26","fa8a5557-beed-11eb-8cbd-5cb901ddeae0"
"975674","1","2021-03-02T12:20:21","collect:AwmARgGnzC6806NY","2021-03-02T00:00:00","2","2016","2016","2016","24","2401","KONONDIMINI","2021-03-02","SEBS08","Marché de konondimi","1","Acheteurs","1","2","1","1","1","Il achète et amène chez lui pour vendre à Ségou","Biedimi,ynimini, moura","1","Boyi","Niono","2021-02-01","1","2","3","","","13.3231432 -6.4210301 296.3619234970657 4.86","fa2eccad-beed-11eb-8cbd-5cb901ddeae0"
"975675","1","2021-03-02T12:26:51","collect:AwmARgGnzC6806NY","2021-03-02T00:00:00","2","2016","2016","2016","24","2401","KONONDIMINI","2021-03-02","SEBS09","Marché de konondimini","1","Acheteurs","1","2","0","","1","Il achète ici et vendre","Bojali","0","","","","","","","","","13.323175 -6.42121 300.8963691096348 11.2","ff07b45b-beed-11eb-8cbd-5cb901ddeae0"
"975676","1","2021-03-02T12:25:42","collect:AwmARgGnzC6806NY","2021-03-02T00:00:00","2","2016","2016","2016","24","2401","KONONDIMINI","2021-03-02","SEBS10","Marché de konondimini","1","Acheteurs","1","2","1","1","1","Il achète et vendre fana","Kourou Kourou","1","Boyi","Konondimi","2020-12-01","1","7","3","","","13.3231187 -6.4212212 288.8930274334262 7.7","fcddaf08-beed-11eb-8cbd-5cb901ddeae0"
"975680","1","2021-03-02T12:21:08","collect:1jtYiuuy40y07T7P","2021-03-02T00:00:00","2","2014","2014","2014","24","2401","KONONDIMINI","2021-03-02","SEBS11","KOKONDIMINI","1","ACHETEUR","1","2","1","1","0","","-MURA  - -DISTOMATOSE","0","","","","","","","","RAS","","f802e54f-beed-11eb-8cbd-5cb901ddeae0"
"975681","1","2021-03-02T12:25:07","collect:1jtYiuuy40y07T7P","2021-03-02T00:00:00","2","2014","2014","2014","24","2401","KONONDIMINI","2021-03-02","SEBS12","KONONDIMINI","1","ACHETEUR","1","2","1","2","0","","-KABA  - -MOURA","0","","","","","","","","RAS","13.3231639 -6.4210831 323.4599938964844 4.9","fc1f45a5-beed-11eb-8cbd-5cb901ddeae0"
"975682","1","2021-03-02T12:33:03","collect:1jtYiuuy40y07T7P","2021-03-02T00:00:00","2","2014","2014","2014","24","2401","KONONDIMINI","2021-03-02","SEBS13","KONONDIMINI","1","ACHETEUR","1","2","1","1","1","DE KONONDIMINI À BANAKORONI WÈRÈ PUIS SÉGOU","-MURA - - KABA  - -PIÉTIN","0","","","","","","","","RAS","13.3231148 -6.4210617 323.4599938964844 4.2","fabbac71-beed-11eb-8cbd-5cb901ddeae0"
"975683","1","2021-03-02T12:40:33","collect:1jtYiuuy40y07T7P","2021-03-02T00:00:00","2","2014","2014","2014","24","2401","KONONDIMINI","2021-03-02","SEBS14","KONONDIMINI","1","ACHETEUR","1","2","1","2","1","DE KONONDIMINI À SIRAKOROBOUGOU ,TISSALA , KONONBOUGOU PUIS SÉGOU","-FOUNTENI  - -KABA  - -SUMA","1","MBOYI","SIRAKOROBOUGOU","2020-10-01","1","5","2","CAS DE PPR SIGNALÉS","","13.3231364 -6.4209817 323.4599938964844 4.6","f836a502-beed-11eb-8cbd-5cb901ddeae0"
"975684","1","2021-03-02T12:46:14","collect:1jtYiuuy40y07T7P","2021-03-02T00:00:00","2","2014","2014","2014","24","2401","KONODIMINI","2021-03-02","SEBS15","KONONDIMINI","1","ACHETEURS","1","2","1","4","1","DE KONONDIMINI À FANA","-MURA - - KABA","0","","","","","","","","RAS","13.323031 -6.4210187 323.4599938964844 96.0","f8206c58-beed-11eb-8cbd-5cb901ddeae0"
"975686","1","2021-03-02T12:20:46","collect:7j0ZZ2mn3Ex7WBEc","2021-03-02T00:00:00","2","2013","2013","2013","24","2401","KONONDIMINI","2021-03-02","SEBS16","KONONDIMINI","1","Vendeur","1","2","1","2","1","KONONDIMINI à TISSALA - TISSALA à KONOBOUGOU","N`boyi","1","N`boyi","Chez à banankoroni","2020-07-01","1","2","3","Rien à signaler","RAS","13.3232467 -6.4209251 263.2757385301553 96.0","f95d5cf2-beed-11eb-8cbd-5cb901ddeae0"
"975687","1","2021-03-02T12:24:46","collect:7j0ZZ2mn3Ex7WBEc","2021-03-02T00:00:00","2","2013","2013","2013","24","2401","KONONDIMINI","2021-03-02","SEBS17","KONONDIMINI","1","Vendeur","1","2","0","","1","NIONO à KONONDIMINI","MOURA","1","J`ignore","NIONO","2020-07-01","1","10","3","Pendant les fêtes la vente ce fait à Bamako et kati dral ","Rien à signaler","13.3233228 -6.4208187 284.13095441520557 96.0","fbce4651-beed-11eb-8cbd-5cb901ddeae0"
"975688","1","2021-03-02T12:32:37","collect:7j0ZZ2mn3Ex7WBEc","2021-03-02T00:00:00","2","2013","2013","2013","24","2401","KONONDIMINI","2021-03-02","SEBS18","KONONDIMINI","1","Vendeur","1","1","0","","1","Fassongo a konondimini","MOURA","1","N`boyi","Ségou","2020-01-01","0","","","","","13.323403 -6.4208968 313.7169771437675 96.0","ff123e5b-beed-11eb-8cbd-5cb901ddeae0"
"975689","1","2021-03-02T12:37:37","collect:7j0ZZ2mn3Ex7WBEc","2021-03-02T00:00:00","2","2013","2013","2013","24","2401","KONONDIMINI","2021-03-02","SEBS19","KONONDIMINI","1","Vendeur","1","2","1","1","1","NIONO à KONONDIMINI - KONONDIMINI à KONOBOUGOU","Couro-couro","1","J`ignore","N`dokono","2020-12-01","1","8","3","Rien à signaler","","13.323293 -6.4209074 304.75304894577897 96.0","f9c428a5-beed-11eb-8cbd-5cb901ddeae0"
"975690","1","2021-03-02T12:41:34","collect:7j0ZZ2mn3Ex7WBEc","2021-03-02T00:00:00","2","2013","2013","2013","24","2401","KONONDIMINI","2021-03-02","SEBS20","KONONDIMINI","1","Vendeur","1","2","1","1","1","NIONO à KONONDIMINI - KONONDIMINI à KONOBOUGOU","Couro-couro","1","Fougofougodimi","Ici-même","2020-12-01","1","15","3","Rien à signaler","Rien à signaler","13.3231235 -6.4210371 313.24966637256694 3.9","f9d6975c-beed-11eb-8cbd-5cb901ddeae0"
