"fid (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","Unique Row ID (see mrktc_mrktactivities)","1. What are the activities that you are doing in this market today? (see mrktc_lkpmrkt_actvty)","Unique Row Identifier (UUID)"
"975413","1","1","2","fd70014e-beed-11eb-8cbd-5cb901ddeae0"
"975414","1","1","3","f9c12e69-beed-11eb-8cbd-5cb901ddeae0"
"975415","1","1","3","fd86048f-beed-11eb-8cbd-5cb901ddeae0"
"975416","1","1","3","f7f3eef3-beed-11eb-8cbd-5cb901ddeae0"
"975418","1","1","2","f9200270-beed-11eb-8cbd-5cb901ddeae0"
"975419","1","1","3","fdff1cd3-beed-11eb-8cbd-5cb901ddeae0"
"975420","1","1","3","fb8cc045-beed-11eb-8cbd-5cb901ddeae0"
"975421","1","1","2","f8dd8866-beed-11eb-8cbd-5cb901ddeae0"
"975422","1","1","1","fcf202b2-beed-11eb-8cbd-5cb901ddeae0"
"975672","1","1","4","fb38582c-beed-11eb-8cbd-5cb901ddeae0"
"975673","1","1","4","fa8a9d2c-beed-11eb-8cbd-5cb901ddeae0"
"975674","1","1","4","fa2f0d47-beed-11eb-8cbd-5cb901ddeae0"
"975675","1","1","4","ff07ff86-beed-11eb-8cbd-5cb901ddeae0"
"975676","1","1","4","fcddf357-beed-11eb-8cbd-5cb901ddeae0"
"975680","1","1","4","f80320ac-beed-11eb-8cbd-5cb901ddeae0"
"975681","1","1","3","fc1f83fd-beed-11eb-8cbd-5cb901ddeae0"
"975682","1","1","3","fabbed03-beed-11eb-8cbd-5cb901ddeae0"
"975683","1","1","3","f836e83b-beed-11eb-8cbd-5cb901ddeae0"
"975684","1","1","3","f820a75b-beed-11eb-8cbd-5cb901ddeae0"
"975686","1","1","1","f95db273-beed-11eb-8cbd-5cb901ddeae0"
"975687","1","1","1","fbce904b-beed-11eb-8cbd-5cb901ddeae0"
"975688","1","1","1","ff127cca-beed-11eb-8cbd-5cb901ddeae0"
"975689","1","1","1","f9c46fff-beed-11eb-8cbd-5cb901ddeae0"
"975690","1","1","1","f9d6d8be-beed-11eb-8cbd-5cb901ddeae0"
"975690","1","1","3","f9d6eca8-beed-11eb-8cbd-5cb901ddeae0"
"975692","1","1","3","f9e1de32-beed-11eb-8cbd-5cb901ddeae0"
"975693","1","1","1","fc94bfe5-beed-11eb-8cbd-5cb901ddeae0"
"975694","1","1","3","fd40208a-beed-11eb-8cbd-5cb901ddeae0"
"975695","1","1","3","f8c85383-beed-11eb-8cbd-5cb901ddeae0"
"975696","1","1","3","fc381757-beed-11eb-8cbd-5cb901ddeae0"
"976801","1","1","4","f7fc009b-beed-11eb-8cbd-5cb901ddeae0"
"976802","1","1","4","fb99ce64-beed-11eb-8cbd-5cb901ddeae0"
"976803","1","1","4","f8ab19a1-beed-11eb-8cbd-5cb901ddeae0"
"976804","1","1","4","f9edd71b-beed-11eb-8cbd-5cb901ddeae0"
"976805","1","1","4","f8e4628b-beed-11eb-8cbd-5cb901ddeae0"
"977114","1","1","3","feeedc44-beed-11eb-8cbd-5cb901ddeae0"
"977115","1","1","3","fd7cced7-beed-11eb-8cbd-5cb901ddeae0"
"977116","1","1","3","fcc0a92b-beed-11eb-8cbd-5cb901ddeae0"
"977117","1","1","3","faf49e72-beed-11eb-8cbd-5cb901ddeae0"
"977118","1","1","3","f843ad39-beed-11eb-8cbd-5cb901ddeae0"
"977127","1","1","1","f97e95ff-beed-11eb-8cbd-5cb901ddeae0"
"977128","1","1","1","fcaf4315-beed-11eb-8cbd-5cb901ddeae0"
"977129","1","1","3","f8136e3a-beed-11eb-8cbd-5cb901ddeae0"
"977130","1","1","1","fa90e32b-beed-11eb-8cbd-5cb901ddeae0"
"977131","1","1","1","fd61263a-beed-11eb-8cbd-5cb901ddeae0"
"977202","1","1","1","fadb6ff6-beed-11eb-8cbd-5cb901ddeae0"
"977203","1","1","1","fa1ad2ec-beed-11eb-8cbd-5cb901ddeae0"
"977204","1","1","3","fda4f0a6-beed-11eb-8cbd-5cb901ddeae0"
"977205","1","1","2","f83412c7-beed-11eb-8cbd-5cb901ddeae0"
"977206","1","1","2","fdcf52b5-beed-11eb-8cbd-5cb901ddeae0"
"977397","1","1","3","fec74bb6-beed-11eb-8cbd-5cb901ddeae0"
"977398","1","1","3","fc084364-beed-11eb-8cbd-5cb901ddeae0"
"977399","1","1","3","fdb8a1c4-beed-11eb-8cbd-5cb901ddeae0"
"977400","1","1","3","f8d9d681-beed-11eb-8cbd-5cb901ddeae0"
"977401","1","1","1","f875179c-beed-11eb-8cbd-5cb901ddeae0"
"977401","1","1","3","f87527d7-beed-11eb-8cbd-5cb901ddeae0"
"977403","1","1","3","fd008627-beed-11eb-8cbd-5cb901ddeae0"
"977404","1","1","2","fdc40c8e-beed-11eb-8cbd-5cb901ddeae0"
"977404","1","1","3","fdc41bbd-beed-11eb-8cbd-5cb901ddeae0"
"977405","1","1","3","ff150616-beed-11eb-8cbd-5cb901ddeae0"
"977406","1","1","1","fbb41930-beed-11eb-8cbd-5cb901ddeae0"
"977406","1","1","3","fbb42bdd-beed-11eb-8cbd-5cb901ddeae0"
"977407","1","1","3","f8c200fe-beed-11eb-8cbd-5cb901ddeae0"
"977411","1","1","3","fa9b68c5-beed-11eb-8cbd-5cb901ddeae0"
"977412","1","1","3","f8698699-beed-11eb-8cbd-5cb901ddeae0"
"977413","1","1","3","f89c5abc-beed-11eb-8cbd-5cb901ddeae0"
"977414","1","1","3","fdf4bc0f-beed-11eb-8cbd-5cb901ddeae0"
"977415","1","1","3","ff0f1e1b-beed-11eb-8cbd-5cb901ddeae0"
"977417","1","1","3","fbf79214-beed-11eb-8cbd-5cb901ddeae0"
"977418","1","1","3","f9762977-beed-11eb-8cbd-5cb901ddeae0"
"977419","1","1","3","f7ff8d72-beed-11eb-8cbd-5cb901ddeae0"
"977420","1","1","3","fb67b47e-beed-11eb-8cbd-5cb901ddeae0"
"977421","1","1","3","fae1cf4e-beed-11eb-8cbd-5cb901ddeae0"
"977649","1","1","3","fd4792f8-beed-11eb-8cbd-5cb901ddeae0"
"977650","1","1","1","fd803b2d-beed-11eb-8cbd-5cb901ddeae0"
"977651","1","1","2","fc600c56-beed-11eb-8cbd-5cb901ddeae0"
"977652","1","1","2","fd950fda-beed-11eb-8cbd-5cb901ddeae0"
"977653","1","1","1","fd52f6b0-beed-11eb-8cbd-5cb901ddeae0"
"977657","1","1","3","f8be443c-beed-11eb-8cbd-5cb901ddeae0"
"977658","1","1","3","fb79e12f-beed-11eb-8cbd-5cb901ddeae0"
"977659","1","1","2","f90cd10e-beed-11eb-8cbd-5cb901ddeae0"
"977660","1","1","2","f887de25-beed-11eb-8cbd-5cb901ddeae0"
"977661","1","1","1","fd4f005a-beed-11eb-8cbd-5cb901ddeae0"
"977661","1","1","2","fd4f1213-beed-11eb-8cbd-5cb901ddeae0"
"977663","1","1","2","fe14cf27-beed-11eb-8cbd-5cb901ddeae0"
"977664","1","1","2","f9ce0481-beed-11eb-8cbd-5cb901ddeae0"
"977665","1","1","2","f9017437-beed-11eb-8cbd-5cb901ddeae0"
"977666","1","1","3","fbf3ba76-beed-11eb-8cbd-5cb901ddeae0"
"977667","1","1","3","f7e3eb74-beed-11eb-8cbd-5cb901ddeae0"
"977669","1","1","2","fcc81c54-beed-11eb-8cbd-5cb901ddeae0"
"977670","1","1","2","fbbf7b53-beed-11eb-8cbd-5cb901ddeae0"
"977671","1","1","3","fa6b1a2e-beed-11eb-8cbd-5cb901ddeae0"
"977672","1","1","1","fa1755bf-beed-11eb-8cbd-5cb901ddeae0"
"977673","1","1","2","f9af42dd-beed-11eb-8cbd-5cb901ddeae0"
"977681","1","1","1","f86e3eae-beed-11eb-8cbd-5cb901ddeae0"
"977682","1","1","3","f80675f3-beed-11eb-8cbd-5cb901ddeae0"
"977683","1","1","4","ff013da5-beed-11eb-8cbd-5cb901ddeae0"
"977684","1","1","4","fd1994ac-beed-11eb-8cbd-5cb901ddeae0"
"977685","1","1","4","fdda5ef0-beed-11eb-8cbd-5cb901ddeae0"
"977687","1","1","1","fc895b87-beed-11eb-8cbd-5cb901ddeae0"
"977688","1","1","3","fbd1f279-beed-11eb-8cbd-5cb901ddeae0"
"977690","1","1","3","f7dc22d1-beed-11eb-8cbd-5cb901ddeae0"
"977691","1","1","3","fb3b465f-beed-11eb-8cbd-5cb901ddeae0"
"977693","1","1","3","fd9117a1-beed-11eb-8cbd-5cb901ddeae0"
"977695","1","1","3","fcbc405f-beed-11eb-8cbd-5cb901ddeae0"
"977697","1","1","3","fe9a1185-beed-11eb-8cbd-5cb901ddeae0"
"977698","1","1","3","fb33ff45-beed-11eb-8cbd-5cb901ddeae0"
"977699","1","1","3","fc303ea9-beed-11eb-8cbd-5cb901ddeae0"
"977700","1","1","3","fbe18317-beed-11eb-8cbd-5cb901ddeae0"
"977703","1","1","3","f9643555-beed-11eb-8cbd-5cb901ddeae0"
"977704","1","1","3","fdb447fe-beed-11eb-8cbd-5cb901ddeae0"
"977706","1","1","3","fb0788a7-beed-11eb-8cbd-5cb901ddeae0"
"977707","1","1","3","fc2368d7-beed-11eb-8cbd-5cb901ddeae0"
"977708","1","1","3","fc9d2710-beed-11eb-8cbd-5cb901ddeae0"
"977975","1","1","3","f9822a95-beed-11eb-8cbd-5cb901ddeae0"
"977976","1","1","3","f959f292-beed-11eb-8cbd-5cb901ddeae0"
"977977","1","1","4","fd8cfb9c-beed-11eb-8cbd-5cb901ddeae0"
"977978","1","1","3","fd5a9f47-beed-11eb-8cbd-5cb901ddeae0"
"977979","1","1","3","fe5d10de-beed-11eb-8cbd-5cb901ddeae0"
"977981","1","1","4","f865b970-beed-11eb-8cbd-5cb901ddeae0"
"977982","1","1","4","fa7368cf-beed-11eb-8cbd-5cb901ddeae0"
"977983","1","1","4","fc7e9da7-beed-11eb-8cbd-5cb901ddeae0"
"977984","1","1","3","fe2d5264-beed-11eb-8cbd-5cb901ddeae0"
"977985","1","1","3","f989b7bd-beed-11eb-8cbd-5cb901ddeae0"
"977987","1","1","1","fba96d6d-beed-11eb-8cbd-5cb901ddeae0"
"977988","1","1","1","fa45d7d0-beed-11eb-8cbd-5cb901ddeae0"
"977989","1","1","1","fef67a60-beed-11eb-8cbd-5cb901ddeae0"
"977990","1","1","3","fa48d5a2-beed-11eb-8cbd-5cb901ddeae0"
"977991","1","1","1","fcfa4672-beed-11eb-8cbd-5cb901ddeae0"
"977996","1","1","1","f83d6343-beed-11eb-8cbd-5cb901ddeae0"
"977997","1","1","1","fb2a3f63-beed-11eb-8cbd-5cb901ddeae0"
"977998","1","1","1","fa288e37-beed-11eb-8cbd-5cb901ddeae0"
"977999","1","1","1","fb903ba3-beed-11eb-8cbd-5cb901ddeae0"
"978000","1","1","1","fe193687-beed-11eb-8cbd-5cb901ddeae0"
"980516","1","1","4","fed20ff0-beed-11eb-8cbd-5cb901ddeae0"
"980518","1","1","3","fd1fa82f-beed-11eb-8cbd-5cb901ddeae0"
"980521","1","1","4","f971f07c-beed-11eb-8cbd-5cb901ddeae0"
"980523","1","1","3","fec42f26-beed-11eb-8cbd-5cb901ddeae0"
"980525","1","1","4","fc679532-beed-11eb-8cbd-5cb901ddeae0"
"980526","1","1","4","fb603ac5-beed-11eb-8cbd-5cb901ddeae0"
"980528","1","1","3","f9f4e051-beed-11eb-8cbd-5cb901ddeae0"
"980530","1","1","3","f839f6e2-beed-11eb-8cbd-5cb901ddeae0"
"980532","1","1","4","fd386555-beed-11eb-8cbd-5cb901ddeae0"
"980534","1","1","-66","fa362c64-beed-11eb-8cbd-5cb901ddeae0"
"980536","1","1","3","fadf151c-beed-11eb-8cbd-5cb901ddeae0"
"980538","1","1","2","fa0ddbf7-beed-11eb-8cbd-5cb901ddeae0"
"980540","1","1","-66","faccf3fe-beed-11eb-8cbd-5cb901ddeae0"
"980543","1","1","4","fe7372d7-beed-11eb-8cbd-5cb901ddeae0"
"980545","1","1","4","fbac5eab-beed-11eb-8cbd-5cb901ddeae0"
"980547","1","1","4","fa871b84-beed-11eb-8cbd-5cb901ddeae0"
"980548","1","1","4","fb9d62ce-beed-11eb-8cbd-5cb901ddeae0"
"980549","1","1","1","fc42e593-beed-11eb-8cbd-5cb901ddeae0"
"980550","1","1","1","fdbce2f9-beed-11eb-8cbd-5cb901ddeae0"
"980551","1","1","-66","fdcb58ca-beed-11eb-8cbd-5cb901ddeae0"
"985950","1","1","4","fed5dd4c-beed-11eb-8cbd-5cb901ddeae0"
"985951","1","1","3","fed9e8a7-beed-11eb-8cbd-5cb901ddeae0"
"985952","1","1","1","fd7992d2-beed-11eb-8cbd-5cb901ddeae0"
"985953","1","1","3","fd087086-beed-11eb-8cbd-5cb901ddeae0"
"985953","1","1","4","fd088374-beed-11eb-8cbd-5cb901ddeae0"
"985954","1","1","4","fdb0ba1a-beed-11eb-8cbd-5cb901ddeae0"
"985955","1","1","4","fb81ebc6-beed-11eb-8cbd-5cb901ddeae0"
"985956","1","1","3","fe6fd890-beed-11eb-8cbd-5cb901ddeae0"
"985957","1","1","3","fc5c9943-beed-11eb-8cbd-5cb901ddeae0"
"985958","1","1","1","fd76ddf1-beed-11eb-8cbd-5cb901ddeae0"
"985961","1","1","1","fa107bc8-beed-11eb-8cbd-5cb901ddeae0"
"986926","1","1","4","fb52798f-beed-11eb-8cbd-5cb901ddeae0"
"986927","1","1","4","f7eb1198-beed-11eb-8cbd-5cb901ddeae0"
"986928","1","1","3","f899098c-beed-11eb-8cbd-5cb901ddeae0"
"986929","1","1","3","f91c66d6-beed-11eb-8cbd-5cb901ddeae0"
"986930","1","1","3","fa256110-beed-11eb-8cbd-5cb901ddeae0"
"986931","1","1","3","fc3ba93d-beed-11eb-8cbd-5cb901ddeae0"
"986933","1","1","3","f91430e3-beed-11eb-8cbd-5cb901ddeae0"
"986934","1","1","3","fd56d7f0-beed-11eb-8cbd-5cb901ddeae0"
"986935","1","1","3","f8e7156b-beed-11eb-8cbd-5cb901ddeae0"
"986936","1","1","3","fcb59898-beed-11eb-8cbd-5cb901ddeae0"
"992659","1","1","3","f8fe7635-beed-11eb-8cbd-5cb901ddeae0"
"992817","1","1","1","fd73830a-beed-11eb-8cbd-5cb901ddeae0"
"992818","1","1","-66","f8313688-beed-11eb-8cbd-5cb901ddeae0"
"992818","1","1","1","f831237b-beed-11eb-8cbd-5cb901ddeae0"
"992819","1","1","3","fa136aa4-beed-11eb-8cbd-5cb901ddeae0"
"992820","1","1","2","feea35bb-beed-11eb-8cbd-5cb901ddeae0"
"992821","1","1","2","fd643429-beed-11eb-8cbd-5cb901ddeae0"
"992822","1","1","1","f95344e8-beed-11eb-8cbd-5cb901ddeae0"
"992823","1","1","1","f81d8cd8-beed-11eb-8cbd-5cb901ddeae0"
"992824","1","1","1","fb6b7da1-beed-11eb-8cbd-5cb901ddeae0"
"992825","1","1","1","fd89e793-beed-11eb-8cbd-5cb901ddeae0"
"992916","1","1","1","fac3580f-beed-11eb-8cbd-5cb901ddeae0"
"992916","1","1","4","fac369e1-beed-11eb-8cbd-5cb901ddeae0"
"992917","1","1","1","fe81cd35-beed-11eb-8cbd-5cb901ddeae0"
"992918","1","1","1","f9cb6817-beed-11eb-8cbd-5cb901ddeae0"
"992919","1","1","2","fdf15995-beed-11eb-8cbd-5cb901ddeae0"
"992920","1","1","4","fd43d6fc-beed-11eb-8cbd-5cb901ddeae0"
"992921","1","1","2","fa987614-beed-11eb-8cbd-5cb901ddeae0"
"992922","1","1","1","f7d88b0e-beed-11eb-8cbd-5cb901ddeae0"
"992923","1","1","1","fe317fcd-beed-11eb-8cbd-5cb901ddeae0"
"992924","1","1","1","fc18bbe9-beed-11eb-8cbd-5cb901ddeae0"
"992925","1","1","1","feae1b2d-beed-11eb-8cbd-5cb901ddeae0"
"996123","1","1","1","ff054d25-beed-11eb-8cbd-5cb901ddeae0"
"996124","1","1","4","fd164177-beed-11eb-8cbd-5cb901ddeae0"
"996125","1","1","1","fe118835-beed-11eb-8cbd-5cb901ddeae0"
"996126","1","1","4","fe3c949b-beed-11eb-8cbd-5cb901ddeae0"
"996127","1","1","3","fc7a9985-beed-11eb-8cbd-5cb901ddeae0"
"996128","1","1","4","fc4d3818-beed-11eb-8cbd-5cb901ddeae0"
"996129","1","1","2","fcb2e417-beed-11eb-8cbd-5cb901ddeae0"
"996130","1","1","4","fb6ec45e-beed-11eb-8cbd-5cb901ddeae0"
"996131","1","1","1","fab0f89e-beed-11eb-8cbd-5cb901ddeae0"
"996132","1","1","4","f9561c02-beed-11eb-8cbd-5cb901ddeae0"
"996300","1","1","1","fd109d2d-beed-11eb-8cbd-5cb901ddeae0"
"996301","1","1","4","fb5ca0f2-beed-11eb-8cbd-5cb901ddeae0"
"996302","1","1","1","fb3116a9-beed-11eb-8cbd-5cb901ddeae0"
"996303","1","1","2","f9baf652-beed-11eb-8cbd-5cb901ddeae0"
"996304","1","1","4","fe687953-beed-11eb-8cbd-5cb901ddeae0"
"996305","1","1","1","faee1275-beed-11eb-8cbd-5cb901ddeae0"
"996306","1","1","2","f96b008a-beed-11eb-8cbd-5cb901ddeae0"
"996307","1","1","4","fc3ed0ee-beed-11eb-8cbd-5cb901ddeae0"
"996308","1","1","3","fea6b2de-beed-11eb-8cbd-5cb901ddeae0"
"996309","1","1","4","f9f0e466-beed-11eb-8cbd-5cb901ddeae0"
"998356","1","1","2","fe22afc9-beed-11eb-8cbd-5cb901ddeae0"
"998358","1","1","4","f98d2f7c-beed-11eb-8cbd-5cb901ddeae0"
"998361","1","1","1","fd8365ea-beed-11eb-8cbd-5cb901ddeae0"
"998363","1","1","1","fabfe088-beed-11eb-8cbd-5cb901ddeae0"
"998365","1","1","4","fce47e5d-beed-11eb-8cbd-5cb901ddeae0"
"998418","1","1","1","fee150ae-beed-11eb-8cbd-5cb901ddeae0"
"998418","1","1","3","fee165c7-beed-11eb-8cbd-5cb901ddeae0"
"998420","1","1","1","fb3f23e7-beed-11eb-8cbd-5cb901ddeae0"
"998420","1","1","2","fb3f0f59-beed-11eb-8cbd-5cb901ddeae0"
"998421","1","1","2","f93b1da3-beed-11eb-8cbd-5cb901ddeae0"
"998421","1","1","3","f93b2f3b-beed-11eb-8cbd-5cb901ddeae0"
"998423","1","1","2","f8950f4b-beed-11eb-8cbd-5cb901ddeae0"
"998423","1","1","3","f895201d-beed-11eb-8cbd-5cb901ddeae0"
"998678","1","1","2","fa03b92f-beed-11eb-8cbd-5cb901ddeae0"
"998678","1","1","3","fa03ca44-beed-11eb-8cbd-5cb901ddeae0"
"998679","1","1","2","f8d096e8-beed-11eb-8cbd-5cb901ddeae0"
"998679","1","1","3","f8d0838b-beed-11eb-8cbd-5cb901ddeae0"
"998680","1","1","4","f846cf54-beed-11eb-8cbd-5cb901ddeae0"
"998683","1","1","1","fafc58ca-beed-11eb-8cbd-5cb901ddeae0"
"998683","1","1","2","fafc4829-beed-11eb-8cbd-5cb901ddeae0"
"998683","1","1","3","fafc3706-beed-11eb-8cbd-5cb901ddeae0"
"998685","1","1","1","fcab04d1-beed-11eb-8cbd-5cb901ddeae0"
"998685","1","1","2","fcab2896-beed-11eb-8cbd-5cb901ddeae0"
"998685","1","1","3","fcab16a6-beed-11eb-8cbd-5cb901ddeae0"
"998719","1","1","2","f7f7e2b1-beed-11eb-8cbd-5cb901ddeae0"
"998719","1","1","3","f7f7cf09-beed-11eb-8cbd-5cb901ddeae0"
"998720","1","1","1","fa32d9e9-beed-11eb-8cbd-5cb901ddeae0"
"998720","1","1","2","fa32c85f-beed-11eb-8cbd-5cb901ddeae0"
"998720","1","1","3","fa32b567-beed-11eb-8cbd-5cb901ddeae0"
"998721","1","1","4","f932c45c-beed-11eb-8cbd-5cb901ddeae0"
"998722","1","1","1","faa8fa22-beed-11eb-8cbd-5cb901ddeae0"
"998722","1","1","3","faa8e491-beed-11eb-8cbd-5cb901ddeae0"
"998724","1","1","3","fb14f8a1-beed-11eb-8cbd-5cb901ddeae0"
"998908","1","1","3","f7ced839-beed-11eb-8cbd-5cb901ddeae0"
"998909","1","1","2","f9a1f27c-beed-11eb-8cbd-5cb901ddeae0"
"998909","1","1","3","f9a20478-beed-11eb-8cbd-5cb901ddeae0"
"998909","1","1","4","f9a215d5-beed-11eb-8cbd-5cb901ddeae0"
"998910","1","1","2","f8e0b95e-beed-11eb-8cbd-5cb901ddeae0"
"998910","1","1","3","f8e0c8a5-beed-11eb-8cbd-5cb901ddeae0"
"998911","1","1","1","fd23726d-beed-11eb-8cbd-5cb901ddeae0"
"998911","1","1","2","fd234e2d-beed-11eb-8cbd-5cb901ddeae0"
"998911","1","1","3","fd236008-beed-11eb-8cbd-5cb901ddeae0"
"998912","1","1","2","fd4a749b-beed-11eb-8cbd-5cb901ddeae0"
"998912","1","1","3","fd4a8817-beed-11eb-8cbd-5cb901ddeae0"
"998913","1","1","4","f99a4361-beed-11eb-8cbd-5cb901ddeae0"
"998914","1","1","2","fc723457-beed-11eb-8cbd-5cb901ddeae0"
"998914","1","1","3","fc726ce7-beed-11eb-8cbd-5cb901ddeae0"
"998914","1","1","4","fc724680-beed-11eb-8cbd-5cb901ddeae0"
"998915","1","1","2","fb4a943c-beed-11eb-8cbd-5cb901ddeae0"
"998915","1","1","3","fb4a7210-beed-11eb-8cbd-5cb901ddeae0"
"998915","1","1","4","fb4a8369-beed-11eb-8cbd-5cb901ddeae0"
"998916","1","1","1","fe8be763-beed-11eb-8cbd-5cb901ddeae0"
"998916","1","1","2","fe8bd00d-beed-11eb-8cbd-5cb901ddeae0"
"998916","1","1","3","fe8bbd7a-beed-11eb-8cbd-5cb901ddeae0"
"998916","1","1","4","fe8bff98-beed-11eb-8cbd-5cb901ddeae0"
"998918","1","1","2","fe444c92-beed-11eb-8cbd-5cb901ddeae0"
"998918","1","1","3","fe443c18-beed-11eb-8cbd-5cb901ddeae0"
"998918","1","1","4","fe445dd9-beed-11eb-8cbd-5cb901ddeae0"
"998933","1","1","1","fb58ca44-beed-11eb-8cbd-5cb901ddeae0"
"998934","1","1","1","f87cb999-beed-11eb-8cbd-5cb901ddeae0"
"998935","1","1","3","f7d38887-beed-11eb-8cbd-5cb901ddeae0"
"998936","1","1","1","fbd5df67-beed-11eb-8cbd-5cb901ddeae0"
"998936","1","1","4","fbd5f080-beed-11eb-8cbd-5cb901ddeae0"
"998937","1","1","1","fba1abf9-beed-11eb-8cbd-5cb901ddeae0"
"998937","1","1","4","fba1c44c-beed-11eb-8cbd-5cb901ddeae0"
"998939","1","1","1","fa5863bb-beed-11eb-8cbd-5cb901ddeae0"
"998940","1","1","4","f857ae6d-beed-11eb-8cbd-5cb901ddeae0"
"999404","1","1","1","faa43b12-beed-11eb-8cbd-5cb901ddeae0"
"999404","1","1","3","faa44e01-beed-11eb-8cbd-5cb901ddeae0"
"999405","1","1","1","fdbfdb19-beed-11eb-8cbd-5cb901ddeae0"
"999405","1","1","4","fdbfee9d-beed-11eb-8cbd-5cb901ddeae0"
"999406","1","1","4","fd042a7b-beed-11eb-8cbd-5cb901ddeae0"
"999407","1","1","1","f80c3617-beed-11eb-8cbd-5cb901ddeae0"
"999407","1","1","2","f80c5543-beed-11eb-8cbd-5cb901ddeae0"
"999407","1","1","3","f80c4613-beed-11eb-8cbd-5cb901ddeae0"
"999407","1","1","4","f80c6497-beed-11eb-8cbd-5cb901ddeae0"
"999408","1","1","1","f8843ef3-beed-11eb-8cbd-5cb901ddeae0"
"999408","1","1","2","f8845e7d-beed-11eb-8cbd-5cb901ddeae0"
"999408","1","1","4","f8844f5e-beed-11eb-8cbd-5cb901ddeae0"
"999409","1","1","1","fbc734e7-beed-11eb-8cbd-5cb901ddeae0"
"999409","1","1","2","fbc71063-beed-11eb-8cbd-5cb901ddeae0"
"999409","1","1","4","fbc7227d-beed-11eb-8cbd-5cb901ddeae0"
"999410","1","1","1","fea1d55b-beed-11eb-8cbd-5cb901ddeae0"
"999410","1","1","3","fea1e8d7-beed-11eb-8cbd-5cb901ddeae0"
"999410","1","1","4","fea1c167-beed-11eb-8cbd-5cb901ddeae0"
"999411","1","1","1","fb723542-beed-11eb-8cbd-5cb901ddeae0"
"999411","1","1","2","fb7212f6-beed-11eb-8cbd-5cb901ddeae0"
"999411","1","1","4","fb722727-beed-11eb-8cbd-5cb901ddeae0"
"999412","1","1","1","fc98554f-beed-11eb-8cbd-5cb901ddeae0"
"999412","1","1","4","fc986c71-beed-11eb-8cbd-5cb901ddeae0"
"999413","1","1","1","f8cbcef9-beed-11eb-8cbd-5cb901ddeae0"
"999413","1","1","4","f8cbdf37-beed-11eb-8cbd-5cb901ddeae0"
"999430","1","1","1","fe4c4e5f-beed-11eb-8cbd-5cb901ddeae0"
"999430","1","1","4","fe4c3e19-beed-11eb-8cbd-5cb901ddeae0"
